date,ForeignHoldingRatio
2016-01-04,77.13
2016-01-05,77.11
2016-01-06,77.06
2016-01-07,76.98
2016-01-08,76.98
2016-01-11,76.97
2016-01-12,76.93
2016-01-13,76.96
2016-01-14,76.95
2016-01-15,77.05
2016-01-18,77.04
2016-01-19,77.05
2016-01-20,77.01
2016-01-21,77.01
2016-01-22,77.05
2016-01-25,77.07
2016-01-26,77.06
2016-01-27,77.07
2016-01-28,77.11
2016-01-29,77.19
2016-01-30,77.21
2016-02-01,77.29
2016-02-02,77.3
2016-02-03,77.42
2016-02-04,77.42
2016-02-05,77.42
2016-02-15,77.43
2016-02-16,77.5
2016-02-17,77.55
2016-02-18,77.68
2016-02-19,77.72
2016-02-22,77.78
2016-02-23,77.79
2016-02-24,77.8
2016-02-25,77.86
2016-02-26,77.89
2016-03-01,77.92
2016-03-02,77.98
2016-03-03,78.04
2016-03-04,78.05
2016-03-07,78.05
2016-03-08,78.07
2016-03-09,78.12
2016-03-10,78.17
2016-03-11,78.24
2016-03-14,78.31
2016-03-15,78.34
2016-03-16,78.39
2016-03-17,78.52
2016-03-18,78.64
2016-03-21,78.69
2016-03-22,78.71
2016-03-23,78.76
2016-03-24,78.77
2016-03-25,78.77
2016-03-28,78.81
2016-03-29,78.83
2016-03-30,78.89
2016-03-31,78.93
2016-04-01,78.94
2016-04-06,78.88
2016-04-07,78.86
2016-04-08,78.86
2016-04-11,78.84
2016-04-12,78.82
2016-04-13,78.91
2016-04-14,78.91
2016-04-15,78.91
2016-04-18,78.89
2016-04-19,78.87
2016-04-20,78.83
2016-04-21,78.88
2016-04-22,78.91
2016-04-25,78.92
2016-04-26,78.92
2016-04-27,78.89
2016-04-28,78.84
2016-04-29,78.72
2016-05-03,78.54
2016-05-04,78.43
2016-05-05,78.36
2016-05-06,78.33
2016-05-09,78.29
2016-05-10,78.25
2016-05-11,78.18
2016-05-12,78.15
2016-05-13,78.02
2016-05-16,77.98
2016-05-17,77.94
2016-05-18,77.93
2016-05-19,77.9
2016-05-20,77.92
2016-05-23,78.07
2016-05-24,78.05
2016-05-25,78.1
2016-05-26,78.12
2016-05-27,78.14
2016-05-30,78.23
2016-05-31,78.26
2016-06-01,78.31
2016-06-02,78.34
2016-06-03,78.4
2016-06-04,78.4
2016-06-06,78.43
2016-06-07,78.49
2016-06-08,78.57
