date,Dealer_self,Foreign_Dealer_Self,外資,投信,自營商,三大法人合計
2016-01-04,183000,0,-988000,136000,0,-669000
2016-01-05,583000,0,112000,401000,0,1096000
2016-01-06,565000,0,-1431000,1987000,0,1121000
2016-01-07,-1729000,0,-1058000,-1213000,87000,-3913000
2016-01-08,-475000,0,1337143,381000,179000,1422143
2016-01-11,-403000,0,5000,701000,18000,321000
2016-01-12,-551000,0,-391000,1164000,-85000,137000
2016-01-13,-295000,0,1179000,342000,-10000,1216000
2016-01-14,-547000,0,736000,-46000,30000,173000
2016-01-15,-698000,0,2382000,-1562000,-19000,103000
2016-01-18,1198000,0,2450000,1983000,343000,5974000
2016-01-19,-504000,0,-221000,2243000,128000,1646000
2016-01-20,-688000,0,-1546000,102000,-160000,-2292000
2016-01-21,10000,0,3437000,2334000,353000,6134000
2016-01-22,-4000,0,-2599973,342000,-165000,-2426973
2016-01-25,903000,0,1024000,1580000,-134000,3373000
2016-01-26,465000,0,-1279000,1099000,367000,652000
2016-01-27,76000,0,507000,1246000,226000,2055000
2016-01-28,122000,0,-2291717,-200000,199000,-2170717
2016-01-29,-256000,0,127000,-3402000,-238000,-3769000
2016-01-30,-230000,0,9000,-2600000,594000,-2227000
2016-02-01,-160000,0,478000,-3104000,-588000,-3374000
2016-02-02,-58000,0,-53000,170000,-44000,15000
2016-02-03,-107000,0,-1140008,214000,-302000,-1335008
2016-02-05,-50000,0,423199,123000,132000,628199
2016-02-15,41000,0,-2518000,-2488233,325000,-4640233
2016-02-16,37000,0,-710085,-224000,439000,-458085
2016-02-17,18000,0,-335000,-134000,-308000,-759000
2016-02-18,627000,0,-1558379,-444000,903000,-472379
2016-02-19,-130000,0,-2224260,-352000,-811000,-3517260
2016-02-22,-9000,0,-340094,-113000,383000,-79094
2016-02-23,-116000,0,162000,-477000,-178000,-609000
2016-02-24,-72000,0,-811000,128000,-267000,-1022000
2016-02-25,-80000,0,-78000,-338000,-42000,-538000
2016-02-26,237000,0,-344135,846000,-61000,677865
2016-03-01,701000,0,208100,827000,980000,2716100
2016-03-02,-279000,0,-5349000,3314000,-591000,-2905000
2016-03-03,-7000,0,-2488900,880000,-340000,-1955900
2016-03-04,-213000,0,-592652,1295000,-60000,429348
2016-03-07,346000,0,-795100,3943000,1390000,4883900
2016-03-08,-89000,0,-5225302,1694000,-859000,-4479302
2016-03-09,451000,0,-2947052,2451000,287000,241948
2016-03-10,4000,0,-1242198,1327000,-93000,-4198
2016-03-11,68000,0,-56000,0,-268000,-256000
2016-03-14,317000,0,-755000,-30000,701000,233000
2016-03-15,-70000,0,-642158,-140000,-890000,-1742158
2016-03-16,-111000,0,961000,-50000,264000,1064000
2016-03-17,-40000,0,-1444000,-268000,-233000,-1985000
2016-03-18,-257000,0,-199514,1058000,163000,764486
2016-03-21,100000,0,-3000,801000,596000,1494000
2016-03-22,543000,0,2778259,2679000,1567000,7567259
2016-03-23,-139000,0,-4718000,950000,-1932000,-5839000
2016-03-24,-116000,0,-1167000,1000,-16000,-1298000
2016-03-25,209000,0,-801000,660000,576000,644000
2016-03-28,7000,0,-914000,355000,-242000,-794000
2016-03-29,-269000,0,1586000,-949000,-616000,-248000
2016-03-30,-34000,0,-347563,188000,-26000,-219563
2016-03-31,26000,0,1266996,-1508000,19000,-196004
2016-04-01,-7000,0,-263800,-230000,4000,-496800
2016-04-06,-158000,0,-320000,-399000,92000,-785000
2016-04-07,-606000,0,159135,-209000,7000,-648865
2016-04-08,-615000,0,-1034800,-335000,89000,-1895800
2016-04-11,-455000,0,1403000,-1868000,-114000,-1034000
2016-04-12,-349000,0,4069489,-6880000,-219000,-3378511
2016-04-13,0,0,1555000,-34000,23000,1544000
2016-04-14,0,0,-160000,-125000,-60000,-345000
2016-04-15,-100000,0,2115628,-1709000,-178000,128628
2016-04-18,0,0,1019103,-1093000,50000,-23897
2016-04-19,598000,0,-236711,-366000,106000,101289
2016-04-20,-19000,0,-567549,-61000,-58000,-705549
2016-04-21,-162000,0,638693,-1846000,-1000,-1370307
2016-04-22,-584000,0,2125000,-441000,112390,1212390
