date,DayTradingVolume,DT_Buy,DT_Sell
2016-01-04,1236000,160673000,160867000
2016-01-05,852000,105521500,105183500
2016-01-06,748000,89967000,90115500
2016-01-07,962000,115345000,113599500
2016-01-08,476000,59480500,60382500
2016-01-11,1601000,215768000,218286000
2016-01-12,2334000,321956500,317277000
2016-01-13,750000,96489500,96218500
2016-01-14,426000,54052000,54056500
2016-01-15,389000,49432500,48963000
2016-01-18,694000,86820500,86882000
2016-01-19,1201000,166182000,168543000
2016-01-20,1148000,161472000,159822500
2016-01-21,2715000,387743000,389527000
2016-01-22,871000,125466500,125154500
2016-01-25,408000,58344500,58309500
2016-01-26,1562000,230810500,231154500
2016-01-27,1444000,218537000,218803500
2016-01-28,967000,147089500,147290000
2016-01-29,595000,90266000,90585000
2016-02-01,734000,119572500,119681000
2016-02-02,1042000,176813000,176205000
2016-02-03,3642000,665751000,667001500
2016-02-15,1610000,307055000,306782000
2016-02-16,1067000,204145500,204789000
2016-02-17,770000,148475500,149171000
2016-02-18,1641000,332349500,333365000
2016-02-19,2001000,430488500,427319000
2016-02-22,2371000,555736000,557306500
2016-02-23,2888000,714781500,715285000
2016-02-24,2809000,654630000,650297500
2016-02-25,2373000,558226500,558587500
2016-02-26,1638000,393306000,393816000
2016-03-01,1048000,251013500,251224500
2016-03-02,1663000,407838000,407853000
2016-03-03,1768000,440256000,439735500
2016-03-04,1809000,455430500,455309500
2016-03-07,1644000,385187000,386053000
2016-03-08,857000,200030000,200315000
2016-03-09,1371000,314914000,316135000
2016-03-10,1869000,455519500,457004000
2016-03-11,1277000,318482000,317279500
2016-03-14,2284000,588976000,590040000
2016-03-15,954000,242839000,241535500
2016-03-16,1489000,368001500,368759500
2016-03-17,1831000,440489000,438770500
2016-03-18,1919000,458425000,459934500
2016-03-21,1360000,338833000,336925500
2016-03-22,1532000,381737500,381268000
2016-03-23,1148000,291574000,291423500
2016-03-24,803000,201082000,200824500
2016-03-25,856000,211603500,211626500
