date,融資餘額,融券餘額
2016-01-04,9233,2832
2016-01-05,9424,2684
2016-01-06,10635,3478
2016-01-07,9967,3769
2016-01-08,10472,4409
2016-01-11,10930,5241
2016-01-12,10913,4877
2016-01-13,10716,5428
2016-01-14,11151,5534
2016-01-15,11119,5549
2016-01-18,11438,5568
2016-01-19,11791,6065
2016-01-20,11637,5998
2016-01-21,11673,6047
2016-01-22,11916,6307
2016-01-25,11816,6476
2016-01-26,12185,6443
2016-01-27,12390,7095
2016-01-28,12205,6925
2016-01-29,12211,6531
2016-01-30,12101,6501
2016-02-01,11977,6361
2016-02-02,11907,6338
2016-02-03,11968,6323
2016-02-15,12203,6653
2016-02-16,12009,6759
2016-02-17,12033,6720
2016-02-18,11999,6942
2016-02-19,12672,7767
2016-02-22,11904,6859
2016-02-23,11613,6698
2016-02-24,11433,6555
2016-02-25,11367,6509
2016-02-26,11206,6462
2016-03-01,10745,6049
2016-03-02,10335,5421
2016-03-03,10157,5425
2016-03-04,10114,5410
2016-03-07,9952,5288
2016-03-08,11540,5674
2016-03-09,11488,5645
2016-03-10,11544,5937
2016-03-11,11777,5882
2016-03-14,11849,5420
2016-03-15,11849,5031
2016-03-16,11917,5115
2016-03-17,12448,5089
2016-03-18,12819,3874
2016-03-21,12912,3841
2016-03-22,13007,4029
2016-03-23,13194,3879
2016-03-24,13267,3832
2016-03-25,13531,3647
2016-03-28,13213,3247
2016-03-29,12605,2292
2016-03-30,10932,19
2016-03-31,10837,0
2016-04-01,11161,0
2016-04-06,11104,0
2016-04-07,11171,653
2016-04-08,10902,1059
2016-04-11,10349,1775
2016-04-12,9989,2548
2016-04-13,10665,3849
2016-04-14,10724,4115
2016-04-15,10570,4044
2016-04-18,10572,4085
2016-04-19,10724,4273
2016-04-20,10528,4255
2016-04-21,10532,4272
2016-04-22,11121,4147
2016-04-25,11404,3757
2016-04-26,11934,3656
2016-04-27,11688,3722
2016-04-28,11698,3804
2016-04-29,11575,4074
2016-05-03,11425,4186
2016-05-04,11381,4217
2016-05-05,11314,4352
2016-05-06,11297,4316
2016-05-09,11145,4334
2016-05-10,11336,4293
2016-05-11,11304,4064
2016-05-12,10844,4070
2016-05-13,11078,4182
2016-05-16,10859,4059
2016-05-17,11265,4600
2016-05-18,11577,4851
2016-05-19,11425,4511
2016-05-20,11534,4667
2016-05-23,11908,5282
2016-05-24,12046,5296
2016-05-25,12492,5539
2016-05-26,12262,5299
2016-05-27,12187,5047
2016-05-30,12223,5052
2016-05-31,12240,4978
2016-06-01,12070,5245
2016-06-02,12172,5129
2016-06-03,11768,4886
2016-06-04,11819,5198
2016-06-06,11809,5059
2016-06-07,11753,4922
2016-06-08,11501,4898
2016-06-13,11404,4915
2016-06-14,10976,4718
2016-06-15,10803,4319
2016-06-16,10594,3593
2016-06-17,10083,2904
2016-06-20,9926,2105
2016-06-21,9267,46
2016-06-22,9047,0
2016-06-23,9117,0
2016-06-24,8666,0
2016-06-27,8951,997
2016-06-28,9194,1362
2016-06-29,9127,1331
2016-06-30,9203,1412
2016-07-01,9345,1508
2016-07-04,9451,1896
2016-07-05,9670,2152
2016-07-06,9535,2080
2016-07-07,9610,2166
2016-07-08,9610,2166
2016-07-11,9767,2377
2016-07-12,9788,2496
2016-07-13,9782,2795
2016-07-14,9695,2778
2016-07-15,9885,2698
2016-07-18,9514,3156
2016-07-19,9710,3166
2016-07-20,9431,3020
2016-07-21,9524,3054
2016-07-22,9361,2939
2016-07-25,9236,3032
2016-07-26,9419,3290
2016-07-27,9201,3307
2016-07-28,9722,3188
2016-07-29,9900,3368
2016-08-01,10068,3750
2016-08-02,9788,3822
2016-08-03,9979,3924
2016-08-04,10561,3873
2016-08-05,10263,4249
2016-08-08,10997,4757
2016-08-09,10636,5055
2016-08-10,10587,5180
2016-08-11,10402,5120
2016-08-12,10494,4585
2016-08-15,10651,4576
2016-08-16,10603,4700
2016-08-17,10978,4783
2016-08-18,11475,4437
2016-08-19,12121,4413
2016-08-22,12449,4561
2016-08-23,12406,4289
2016-08-24,12704,4156
2016-08-25,12945,4527
2016-08-26,12508,4557
2016-08-29,12740,4725
2016-08-30,12662,4532
2016-08-31,12542,4462
2016-09-01,12327,4660
2016-09-02,12778,4629
2016-09-05,12729,4600
2016-09-06,12941,4838
2016-09-07,12961,4553
2016-09-08,13068,4542
2016-09-09,13028,4279
2016-09-10,12994,3827
2016-09-12,12493,3014
2016-09-13,12237,2474
2016-09-14,11864,1956
2016-09-19,11175,69
2016-09-20,11153,0
2016-09-21,11088,0
2016-09-22,11353,0
2016-09-23,11242,599
2016-09-26,11129,705
2016-09-27,11203,705
2016-09-28,11203,705
2016-09-29,11227,843
2016-09-30,11580,1150
2016-10-03,11399,1123
2016-10-04,12446,1832
2016-10-05,12380,1895
2016-10-06,12510,1794
2016-10-07,12337,1711
2016-10-11,12544,2333
2016-10-12,12089,1035
2016-10-13,12417,2648
2016-10-14,12448,3038
2016-10-17,12383,3312
2016-10-18,12378,3803
2016-10-19,12114,4280
2016-10-20,12022,4527
2016-10-21,11959,4732
2016-10-24,11794,4835
2016-10-25,11759,5089
2016-10-26,11556,5288
2016-10-27,11638,5348
