date,融資餘額,融券餘額,融資限額
2016-01-04,3101,31,15391
2016-01-05,3120,31,15391
2016-01-06,3162,26,15391
2016-01-07,3134,27,15391
2016-01-08,3078,26,15391
2016-01-11,3124,29,15391
2016-01-12,3096,44,15391
2016-01-13,3108,60,15391
2016-01-14,3137,33,15391
2016-01-15,3115,33,15391
2016-01-18,3107,28,15391
2016-01-19,3146,24,15391
2016-01-20,3145,24,15391
2016-01-21,3150,24,15391
2016-01-22,3184,24,15391
2016-01-25,3182,19,15391
2016-01-26,3165,19,15391
2016-01-27,3274,20,15391
2016-01-28,3269,24,15391
2016-01-29,3242,22,15391
2016-01-30,3133,20,15391
2016-02-01,3062,21,15391
2016-02-02,3043,21,15391
2016-02-03,3034,20,15391
2016-02-15,3060,31,15391
2016-02-16,3033,30,15391
2016-02-17,3406,38,15391
2016-02-18,3324,35,15391
2016-02-19,3289,36,15391
2016-02-22,3259,36,15391
2016-02-23,3244,35,15391
2016-02-24,3233,36,15391
2016-02-25,3222,36,15391
2016-02-26,3208,31,15391
2016-03-01,3370,35,15391
2016-03-02,3481,40,15391
2016-03-03,3523,37,15391
2016-03-04,3480,38,15391
2016-03-07,3426,36,15391
2016-03-08,3415,36,15391
2016-03-09,3438,35,15391
2016-03-10,3612,36,15391
2016-03-11,3709,52,15391
2016-03-14,3681,32,15391
2016-03-15,3664,31,15391
2016-03-16,3645,32,15391
2016-03-17,3596,31,15391
2016-03-18,3563,28,15391
2016-03-21,3571,28,15391
2016-03-22,3567,28,15391
2016-03-23,3613,28,15391
2016-03-24,3669,28,15391
2016-03-25,3683,27,15391
2016-03-28,3662,27,15391
2016-03-29,3678,27,15391
2016-03-30,3685,27,15391
2016-03-31,3970,14,15391
2016-04-01,4005,13,15391
2016-04-06,4065,13,15391
2016-04-07,4053,13,15391
2016-04-08,4031,13,15391
2016-04-11,4474,37,15391
2016-04-12,4591,14,15391
2016-04-13,4350,65,15391
2016-04-14,5079,67,15391
2016-04-15,5332,60,15391
2016-04-18,5200,0,15391
2016-04-19,5282,0,15391
2016-04-20,5417,0,15391
2016-04-21,5558,0,15391
2016-04-22,5989,26,15391
2016-04-25,6126,48,15391
2016-04-26,6338,61,15391
2016-04-27,6363,58,15391
2016-04-28,6366,40,15391
2016-04-29,6361,33,15391
2016-05-03,6316,23,15391
2016-05-04,6337,14,15391
2016-05-05,6245,19,15391
2016-05-06,6241,21,15391
2016-05-09,6228,23,15391
2016-05-10,6164,16,15391
2016-05-11,6095,49,15391
2016-05-12,5998,37,15391
2016-05-13,5392,53,15391
2016-05-16,5452,81,15391
2016-05-17,5420,80,15391
2016-05-18,5356,91,15391
2016-05-19,5455,102,15391
2016-05-20,5466,111,15391
2016-05-23,5375,106,15391
2016-05-24,5415,105,15391
2016-05-25,5381,110,15391
2016-05-26,5434,113,15391
2016-05-27,5408,122,15391
2016-05-30,5361,166,15391
2016-05-31,5609,309,15391
2016-06-01,5499,330,15391
2016-06-02,5545,401,15391
2016-06-03,5423,514,15391
2016-06-04,5398,578,15391
2016-06-06,5234,558,15391
2016-06-07,5176,549,15391
2016-06-08,5090,636,15391
2016-06-13,5097,495,15391
2016-06-14,5103,511,15391
2016-06-15,5084,462,15391
2016-06-16,5092,440,15391
2016-06-17,5155,360,15391
2016-06-20,5025,289,15391
2016-06-21,5027,282,15391
2016-06-22,5004,274,15391
2016-06-23,5078,272,15391
2016-06-24,5122,332,15391
2016-06-27,5076,349,15391
2016-06-28,5018,343,15391
2016-06-29,5011,329,15391
2016-06-30,5016,328,15391
2016-07-01,5042,329,15391
2016-07-04,5054,315,15391
2016-07-05,5132,302,15391
2016-07-06,5146,287,15391
2016-07-07,5110,289,15391
2016-07-11,5101,279,15391
2016-07-12,5100,184,15391
2016-07-13,5240,219,15391
2016-07-14,5331,263,15391
2016-07-15,5277,292,15391
2016-07-18,5342,305,15391
2016-07-19,5363,345,15391
2016-07-20,5410,368,15391
2016-07-21,5395,391,15391
2016-07-22,5363,373,15391
2016-07-25,5359,380,15391
2016-07-26,5304,371,15391
2016-07-27,5303,411,15391
2016-07-28,5303,424,15391
2016-07-29,5344,417,15391
2016-08-01,5402,487,15391
2016-08-02,5350,468,15391
2016-08-03,5337,436,15391
2016-08-04,5285,409,15391
2016-08-05,5224,371,15391
2016-08-08,5136,290,15391
2016-08-09,5119,263,15391
2016-08-10,5033,251,15391
2016-08-11,4909,111,15391
2016-08-12,4896,0,15391
2016-08-15,4880,0,15391
2016-08-16,4874,0,15391
2016-08-17,4813,0,15391
2016-08-18,4819,0,15391
2016-08-19,4837,10,15391
2016-08-22,4838,10,15391
2016-08-23,4827,15,15391
2016-08-24,4835,13,15391
2016-08-25,4825,13,15391
2016-08-26,4772,13,15391
2016-08-29,4720,13,15391
2016-08-30,4728,13,15391
2016-08-31,4723,13,15391
2016-09-01,4717,11,15391
2016-09-02,4634,12,15391
2016-09-05,4646,23,15391
2016-09-06,4641,27,15391
2016-09-07,4648,27,15391
2016-09-08,4648,27,15391
2016-09-09,4650,27,15391
2016-09-10,4651,25,15391
2016-09-12,4632,29,15391
2016-09-13,4593,28,15391
2016-09-14,4588,31,15391
2016-09-19,4589,35,15391
2016-09-20,4531,44,15391
2016-09-21,4673,86,15391
2016-09-22,4596,101,15391
2016-09-23,4661,86,15391
2016-09-26,4606,47,15391
2016-09-29,4587,49,15391
2016-09-30,4542,41,15391
2016-10-03,4543,39,15391
2016-10-04,4515,38,15391
2016-10-05,4507,86,15391
2016-10-06,4526,56,15391
2016-10-07,4511,49,15391
2016-10-11,4467,45,15391
2016-10-12,4423,52,15391
2016-10-13,4398,53,15391
2016-10-14,4435,67,15391
2016-10-17,4416,74,15391
2016-10-18,4516,72,15391
2016-10-19,4547,76,15391
2016-10-20,4607,81,15391
2016-10-21,4585,100,15391
2016-10-24,4720,88,15391
2016-10-25,4787,94,15391
2016-10-26,4760,94,15391
2016-10-27,4766,90,15391
2016-10-28,4745,88,15391
2016-10-31,4760,89,15391
2016-11-01,4724,87,15391
2016-11-02,4770,84,15391
2016-11-03,4761,87,15391
2016-11-04,4770,87,15391
2016-11-07,4779,88,15391
2016-11-08,4777,88,15391
2016-11-09,4717,72,15391
2016-11-10,4759,79,15391
2016-11-11,4892,78,15391
2016-11-14,4938,82,15391
2016-11-15,5231,159,15391
2016-11-16,5307,321,15391
2016-11-17,5653,448,15391
2016-11-18,5620,528,15391
2016-11-21,5552,547,15391
2016-11-22,5617,361,15391
2016-11-23,5772,350,15391
2016-11-24,6005,334,15175
2016-11-25,6032,308,15175
2016-11-28,5976,293,15175
2016-11-29,5944,313,15175
2016-11-30,5889,292,15175
2016-12-01,5795,250,15175
2016-12-02,5765,206,15175
2016-12-05,5699,193,15175
2016-12-06,5676,196,15175
2016-12-07,5652,191,15175
2016-12-08,5742,199,15175
2016-12-09,5726,203,15175
2016-12-12,5669,206,15175
2016-12-13,5638,169,15175
2016-12-14,5641,169,15175
2016-12-15,5632,142,15175
2016-12-16,5716,134,15175
2016-12-19,5737,132,15175
2016-12-20,5741,136,15175
2016-12-21,5644,160,15175
2016-12-22,5631,137,15175
2016-12-23,5591,140,15175
2016-12-26,5605,127,15175
2016-12-27,5482,246,15175
2016-12-28,5333,215,15175
2016-12-29,5304,196,15175
2016-12-30,5221,192,15175
2017-01-03,5180,158,15175
2017-01-04,5179,149,15175
