ticker,mode,cagr,sharpe,mdd,n_trades,stop_outs,hit_rate,avg_pnl_pct,avg_hold_days,final_equity
TWII,B&H,0.13200003615257572,0.8250885532686327,-0.31631862810264644,1,0,1.0,305.48481686617305,4124.0,4.054848168661731
TWII,fixed,0.0771146719501381,0.7106366702494533,-0.2543886608353061,12,11,0.5,8.50483006415366,141.16666666666666,2.313482662425564
TWII,atr_K2.0,0.10726342735601646,0.8249916085738105,-0.3225292880472742,171,170,0.4444444444444444,0.7611781379936585,13.929824561403509,3.1596062567535594
TWII,atr_K2.5,0.09342835711004494,0.7471629881093773,-0.35260648983399634,119,118,0.453781512605042,0.9632712424432253,19.45378151260504,2.7414330104633557
TWII,atr_K3.0,0.08540900340957447,0.6997131955915481,-0.3142524591019781,87,86,0.47126436781609193,1.2147403751197843,25.95402298850575,2.5227930343835516
2330,B&H,0.26598811897063945,1.038306301894372,-0.4568081991215227,1,0,1.0,1326.5232974910393,4116.0,14.265232974910393
2330,fixed,0.11967809009285668,0.7789159370579435,-0.3002710941104858,26,25,0.5,6.120870138432494,51.92307692307692,3.574627095647984
2330,atr_K2.0,0.10286244910964792,0.6165320978843448,-0.4280249503305069,148,147,0.44594594594594594,0.9020136976376841,11.885135135135135,3.014205304005314
2330,atr_K2.5,0.12785197092362677,0.8249101204865216,-0.27578659734489663,75,74,0.49333333333333335,2.1554468535018554,18.506666666666668,3.8799722967252226
2330,atr_K3.0,0.10913682869748853,0.7137124083689945,-0.30407643750792235,53,52,0.49056603773584906,2.7309360747830222,26.37735849056604,3.2131952042252423
2454,B&H,0.11776762134082386,0.49400718553490813,-0.6190476190476191,1,0,1.0,250.64935064935065,4116.0,3.5064935064935066
2454,fixed,0.01704129871436555,0.19347466331710708,-0.3474670200582757,19,19,0.3684210526315789,1.7458418936023037,17.105263157894736,1.2097580181173866
2454,atr_K2.0,-0.00972717205049578,0.0009155933388811357,-0.36561145391425254,33,33,0.2727272727272727,0.01734190872350218,9.363636363636363,0.8956979352711331
2454,atr_K2.5,-0.0008822504981016444,0.06597297188843111,-0.4211308639893395,22,22,0.36363636363636365,0.5894573794347252,14.045454545454545,0.9901028387629848
2454,atr_K3.0,0.0009675581041561632,0.08159651498017612,-0.4416787803719405,17,17,0.35294117647058826,0.7670279751332492,20.294117647058822,1.0109577358641701
