track,factor,direction,label,exclude_v,n_obs,n_events_rows,n_events_distinct,auc,auc_lo,auc_hi,precision_top5,recall_top5,fire_rate,lead_days_median,fp_per_year
A,rv10,1,label_10pct,False,6709,2018,29,0.6884,0.6198,0.7568,0.5387,0.0897,0.0501,45.0,9.99
A,rv10,1,label_10pct,True,6644,1953,28,0.6862,0.6219,0.7536,0.5195,0.0886,0.0501,45.0,9.8
A,rv10,1,label_20pct,False,6709,658,14,0.7182,0.6307,0.8053,0.2351,0.1201,0.0501,57.5,11.34
A,rv10,1,label_20pct,True,6684,633,14,0.7127,0.621,0.8031,0.206,0.109,0.0501,57.5,11.3
A,rv30,1,label_10pct,False,6699,2018,29,0.6943,0.6221,0.7716,0.4209,0.0699,0.05,57.0,10.02
A,rv30,1,label_10pct,True,6634,1953,28,0.6901,0.6148,0.7675,0.4187,0.0712,0.05,57.0,9.95
A,rv30,1,label_20pct,False,6699,658,14,0.7151,0.62,0.8031,0.1104,0.0562,0.05,58.5,11.45
A,rv30,1,label_20pct,True,6674,633,14,0.7071,0.6065,0.7982,0.1108,0.0585,0.05,58.5,11.41
A,m1b_ratio_pct,1,label_10pct,False,6710,2018,29,0.7186,0.645,0.7909,0.6637,0.1105,0.0501,55.0,5.56
A,m1b_ratio_pct,1,label_10pct,True,6645,1953,28,0.7151,0.6388,0.7942,0.6306,0.1075,0.0501,60.0,6.51
A,m1b_ratio_pct,1,label_20pct,False,6710,658,14,0.6951,0.5906,0.7959,0.1637,0.0836,0.0501,60.0,8.05
A,m1b_ratio_pct,1,label_20pct,True,6685,633,14,0.6957,0.5922,0.7971,0.1612,0.0853,0.0501,60.0,8.05
B,rv10,1,label_10pct,False,2413,402,9,0.6526,0.5295,0.7737,0.1488,0.0448,0.0501,53.0,11.04
B,rv10,1,label_10pct,True,2407,396,8,0.6537,0.5269,0.7694,0.1488,0.0455,0.0503,41.0,11.53
B,rv10,1,label_20pct,False,2413,99,2,0.6179,0.3225,0.8263,0.0826,0.101,0.0501,,12.22
B,rv10,1,label_20pct,True,2413,99,2,0.6179,0.3898,0.8345,0.0826,0.101,0.0501,,12.22
B,rv30,1,label_10pct,False,2413,402,9,0.6781,0.5166,0.8231,0.0,0.0,0.0501,,12.22
B,rv30,1,label_10pct,True,2407,396,8,0.6752,0.5287,0.8067,0.0,0.0,0.0503,,12.22
B,rv30,1,label_20pct,False,2413,99,2,0.6289,0.3293,0.8527,0.0,0.0,0.0501,,12.22
B,rv30,1,label_20pct,True,2413,99,2,0.6289,0.3095,0.854,0.0,0.0,0.0501,,12.22
B,m1b_ratio_pct,1,label_10pct,False,2413,402,9,0.6174,0.4658,0.7555,0.0331,0.01,0.0501,23.0,9.96
B,m1b_ratio_pct,1,label_10pct,True,2407,396,8,0.6132,0.4772,0.7657,0.0331,0.0101,0.0503,,12.22
B,m1b_ratio_pct,1,label_20pct,False,2413,99,2,0.5202,0.2506,0.805,0.0,0.0,0.0501,,12.22
B,m1b_ratio_pct,1,label_20pct,True,2413,99,2,0.5202,0.2584,0.8111,0.0,0.0,0.0501,,12.22
B,foreign_5d_z,-1,label_10pct,False,2261,370,9,0.5164,0.4209,0.5906,0.193,0.0595,0.0504,47.0,8.87
B,foreign_5d_z,-1,label_10pct,True,2255,364,8,0.5164,0.4205,0.597,0.1947,0.0604,0.0501,47.0,8.87
B,foreign_5d_z,-1,label_20pct,False,2261,99,2,0.5949,0.4361,0.7847,0.0439,0.0505,0.0504,,11.44
B,foreign_5d_z,-1,label_20pct,True,2261,99,2,0.5949,0.4316,0.7671,0.0439,0.0505,0.0504,,11.44
B,foreign_20d_z,-1,label_10pct,False,1952,370,9,0.5315,0.4195,0.6296,0.0918,0.0243,0.0502,34.0,8.48
B,foreign_20d_z,-1,label_10pct,True,1946,364,8,0.5346,0.4096,0.6354,0.0918,0.0247,0.0504,34.0,8.48
B,foreign_20d_z,-1,label_20pct,False,1952,99,2,0.6011,0.3849,0.851,0.0612,0.0606,0.0502,23.0,9.76
B,foreign_20d_z,-1,label_20pct,True,1952,99,2,0.6011,0.3522,0.87,0.0612,0.0606,0.0502,23.0,9.76
