quarter_end,n,ic_ret_3m,ic_ret_6m,ic_ret_12m
2015-12-31,1193,-0.015313761929108225,-0.05226629806042594,0.0707957475796461
2016-03-31,1201,-0.03896550504548883,0.06886740632870225,-0.029165178693576734
2016-06-30,1207,0.13090391047040772,0.1284753142617028,-0.03912466681771466
2016-09-30,1220,0.02029631394735646,-0.11683065856377581,-0.11064650038337649
2016-12-31,1241,-0.13744537200501997,-0.1431291557560782,-0.03818927631254504
2017-03-31,1240,-0.09144289707771824,-0.08452087322910845,0.0023697270019039734
2017-06-30,1239,-0.03193860821966349,0.06856129549164913,0.03677799401662224
2017-09-30,1238,0.11384219914329163,0.0504209978672048,0.02890640962333114
2017-12-31,1277,-0.0549199702453601,-0.05350189933580934,-0.0648900702090908
2018-03-31,1272,-0.019445422835790656,-0.001893391308210336,-0.06254140598794379
2018-06-30,1287,0.004750990127598675,-0.042842577877377476,-0.08590366931669119
2018-09-30,1287,-0.03602115847871898,-0.08388077913875981,-0.062189297817101905
2018-12-31,1312,-0.08209095581521338,-0.09787837844727404,-0.08837378955766617
2019-03-31,1304,-0.07288944971748065,0.04935209552115278,-0.15510175944695714
2019-06-30,1306,0.1544964123875401,-0.026450511977587684,-0.14809177676372354
2019-09-30,1304,-0.18189467992051425,-0.1921041065437732,-0.17696975843280222
2019-12-31,1341,-0.21394704914390844,-0.16601993269111923,-0.09862013087717132
2020-03-31,1325,0.1606791176304001,0.10254600695037001,0.2831899844968398
2020-06-30,1342,-0.08288454328818952,-0.03495387767848057,0.10461729450969764
2020-09-30,1350,-0.010699059961258283,0.26672915805735664,0.14881009832937853
2020-12-31,1387,0.3489079788728509,0.22118018595121194,0.2442398039128729
2021-03-31,1395,-0.10463934339729476,-0.043559906188577066,0.11530227808987212
2021-06-30,1402,0.06493726005381398,0.19905278986940117,0.14951110544113666
2021-09-30,1403,0.2548724225093579,0.22904165023947531,0.2048436568960656
2021-12-31,1412,0.13324471718216505,0.00846071596037161,0.07254048578487471
2022-03-31,1411,-0.13802024470625324,0.029939914667649038,-0.14569580745687305
2022-06-30,1412,0.15329709103944908,0.08417601990191599,-0.02167676189865695
2022-09-30,1410,-0.10693871517725032,-0.2062859567563275,-0.07205197253016163
2022-12-31,1431,-0.199066787171536,-0.07073770112508954,-0.010638514854581376
2023-03-31,1435,0.19656695719221368,0.20871319912951874,0.13627066698727766
2023-06-30,1435,0.08616521215416387,0.08015757377555799,0.05982041925542289
2023-09-30,1435,0.02442156115494463,0.009097217571891266,0.04543227975497385
2023-12-31,1456,0.04208891273375132,0.05214640859816828,0.0241990337282176
2024-03-31,1448,0.027724204834192873,0.056060290492260786,0.021337310533833455
2024-06-30,1455,0.019030559485096927,-0.0074312179008344074,0.011364789156436133
2024-09-30,1458,-0.0796544933167103,-0.03479196270248747,-0.0073079837840865905
2024-12-31,1464,-0.016132700065340778,-0.010553633090700938,0.02837233774904345
