,[TECH] log(RVOL),[TECH] ATR%,[TECH] Squeeze,[TECH] TD Setup,[TECH] BB %B,[TECH] EFI,[TECH] RSI 偏離,[TECH] MA20 偏離,[CHIP] 券資比,[CHIP] 投信 10D,[CHIP] 融資變動 20D,[CHIP] 融券變動 5D,[CHIP] 借券變動 5D,[CHIP] 投信 20D,[CHIP] 外資 5D,[CHIP] 融資變動 10D
[TECH] log(RVOL),1.0,0.08043579945365215,0.04471651920101844,0.2459905391858051,-0.270000119671019,-0.18270102293523313,-0.21473325784720257,-0.2940226417252751,-0.03377171030575579,-0.026989946626177118,-0.055866938762361124,-0.20357715668629855,-0.053207075177814665,-0.004887183949186433,0.03875418189284591,-0.13119612234289374
[TECH] ATR%,0.08043579945365215,1.0,0.15369489348862592,0.02983488386178311,0.024575391896114025,0.17637708903623245,0.08661377777702041,-0.011458057389667145,0.5460307281331273,0.010884114628832656,0.12187596884722378,-0.04008227404846286,0.05345388911883183,0.02270687225678389,-0.024712140917938313,0.08115742220059151
[TECH] Squeeze,0.04471651920101844,0.15369489348862592,1.0,0.009770685131442062,0.023712232907630873,0.03685858395325607,0.03388493421046216,0.006360502647935197,0.1304058983694576,0.01439046207085056,0.06007141106596154,0.015604921524409853,0.029801370759598662,0.020069260375338203,-3.923630707310266e-05,0.02629587596169693
[TECH] TD Setup,0.2459905391858051,0.02983488386178311,0.009770685131442062,1.0,-0.6571670112891839,-0.4785674552326167,-0.5857727367646304,-0.5948573787399783,-0.032813008770950274,-0.0754126557711973,-0.07243094794439874,-0.17109488001101758,0.03789686002399525,-0.042405437970090706,0.2257835313192441,-0.10178987212786555
[TECH] BB %B,-0.270000119671019,0.024575391896114025,0.023712232907630873,-0.6571670112891839,1.0,0.7488035732111367,0.8870186361018642,0.8846057739485494,0.07114436090924958,0.12953461415823292,0.15558758797062308,0.16078528800132572,-0.059131874785246015,0.09087073429191533,-0.28229735556452945,0.17282378996147177
[TECH] EFI,-0.18270102293523313,0.17637708903623245,0.03685858395325607,-0.4785674552326167,0.7488035732111367,1.0,0.7813689474721812,0.7825889950542381,0.123261591039254,0.13878416931864251,0.2075846986865985,0.1333566524897485,-0.022947922444813067,0.11481727827526692,-0.20945144020399595,0.20104432545593426
[TECH] RSI 偏離,-0.21473325784720257,0.08661377777702041,0.03388493421046216,-0.5857727367646304,0.8870186361018642,0.7813689474721812,1.0,0.8719601538030262,0.10370597570691793,0.15749008259565947,0.20815869100736858,0.14310295162010522,-0.05276971162303488,0.14465867675190106,-0.2630064353911316,0.19194806892090308
[TECH] MA20 偏離,-0.2940226417252751,-0.011458057389667145,0.006360502647935197,-0.5948573787399783,0.8846057739485494,0.7825889950542381,0.8719601538030262,1.0,0.0564859626262386,0.15945556847157066,0.18204920380553455,0.1790325380084166,-0.04706854784497334,0.11682496827308504,-0.22032670271168128,0.20156167842109976
[CHIP] 券資比,-0.03377171030575579,0.5460307281331273,0.1304058983694576,-0.032813008770950274,0.07114436090924958,0.123261591039254,0.10370597570691793,0.0564859626262386,1.0,0.03242889126551972,0.0766055727554403,0.08518316507473586,0.04649571757344357,0.03758118584375683,-0.03697244664832857,0.05940712775126342
[CHIP] 投信 10D,-0.026989946626177118,0.010884114628832656,0.01439046207085056,-0.0754126557711973,0.12953461415823292,0.13878416931864251,0.15749008259565947,0.15945556847157066,0.03242889126551972,1.0,0.022841358006527385,0.03702067407703513,0.03032734308935973,0.6769544364059753,0.02526011660151618,0.014150683303762195
[CHIP] 融資變動 20D,-0.055866938762361124,0.12187596884722378,0.06007141106596154,-0.07243094794439874,0.15558758797062308,0.2075846986865985,0.20815869100736858,0.18204920380553455,0.0766055727554403,0.022841358006527385,1.0,0.06684122531139106,0.11645517821223367,0.022541821641994073,0.07537162867540995,0.700712423839235
[CHIP] 融券變動 5D,-0.20357715668629855,-0.04008227404846286,0.015604921524409853,-0.17109488001101758,0.16078528800132572,0.1333566524897485,0.14310295162010522,0.1790325380084166,0.08518316507473586,0.03702067407703513,0.06684122531139106,1.0,0.06250096582712411,0.023110789027965876,-0.022387658979896977,0.0891584978178411
[CHIP] 借券變動 5D,-0.053207075177814665,0.05345388911883183,0.029801370759598662,0.03789686002399525,-0.059131874785246015,-0.022947922444813067,-0.05276971162303488,-0.04706854784497334,0.04649571757344357,0.03032734308935973,0.11645517821223367,0.06250096582712411,1.0,0.031611973405096354,0.30781076114347633,0.1191661833576628
[CHIP] 投信 20D,-0.004887183949186433,0.02270687225678389,0.020069260375338203,-0.042405437970090706,0.09087073429191533,0.11481727827526692,0.14465867675190106,0.11682496827308504,0.03758118584375683,0.6769544364059753,0.022541821641994073,0.023110789027965876,0.031611973405096354,1.0,0.019938969384328785,0.010582191196212115
[CHIP] 外資 5D,0.03875418189284591,-0.024712140917938313,-3.923630707310266e-05,0.2257835313192441,-0.28229735556452945,-0.20945144020399595,-0.2630064353911316,-0.22032670271168128,-0.03697244664832857,0.02526011660151618,0.07537162867540995,-0.022387658979896977,0.30781076114347633,0.019938969384328785,1.0,0.10540811153115912
[CHIP] 融資變動 10D,-0.13119612234289374,0.08115742220059151,0.02629587596169693,-0.10178987212786555,0.17282378996147177,0.20104432545593426,0.19194806892090308,0.20156167842109976,0.05940712775126342,0.014150683303762195,0.700712423839235,0.0891584978178411,0.1191661833576628,0.010582191196212115,0.10540811153115912,1.0
