combo,description,horizon,universe,mean,std,ir,p,ci_low,ci_high,win_rate,n
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,1,all,0.04689469075622934,0.09670304539033897,0.48493499420768305,0.0,0.043760727863181054,0.05066969501653893,69.69945355191257,3660
combo_tech50_chip50,Tech 50% + Chip 50%,1,all,0.04718733433565235,0.09803321527363253,0.481340270274131,0.0,0.04402152711705064,0.050979738870436234,69.50819672131148,3660
combo_tech70_chip30,Tech 70% + Chip 30%,1,all,0.04794477501793386,0.10005758015408756,0.4791718422942014,0.0,0.04462805035561673,0.05172540112930409,69.64480874316939,3660
combo_chip_equal,Chip 20 equal-wt (flipped),1,all,0.01906525508754506,0.05498621257766013,0.34672791948741927,0.0,0.015583616770903409,0.022694911764258606,63.58381502890174,1211
combo_ols_h1,"OLS optimal (h=1d, in-sample)",1,all,0.022891933387097288,0.08318541294625574,0.27519167815981466,0.0,0.01846605118075901,0.02588108430789303,63.02521008403361,1190
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,all,0.032776521258064836,0.1304139615555899,0.25132678178857104,0.0,0.029123759241087056,0.03637160458971675,59.96705107084019,3642
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,all,0.022913879640066574,0.09208946408778168,0.24882194577899341,0.0,0.019015931176427088,0.027406043871553765,58.21635012386458,1211
combo_tech_only,Tech baseline: RVOL - ATR%,1,all,0.032153780669419936,0.13516615765090975,0.23788336687399741,0.0,0.02843998466849491,0.03581766290025829,59.857221306974196,3642
combo_tech70_chip30,Tech 70% + Chip 30%,1,momentum,0.03540763257347536,0.13331467455291826,0.2655944118096359,0.0,0.030803881527254877,0.040391923850785674,60.302717578259376,2907
combo_tech50_chip50,Tech 50% + Chip 50%,1,momentum,0.03460708511968272,0.130522908532307,0.2651418475793219,0.0,0.03023037501462606,0.03935848766938481,60.26831785345718,2907
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,1,momentum,0.03400764244792905,0.12900618639377112,0.2636124933119569,0.0,0.02963578623342563,0.03868822825676677,60.130718954248366,2907
combo_chip_equal,Chip 20 equal-wt (flipped),1,momentum,0.017241451872555425,0.08496290371146141,0.20292917402056224,2.821964883992223e-12,0.01224309012622789,0.02236962906559933,58.429752066115704,1210
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),1,momentum,0.011763473337407649,0.08020540630829483,0.14666683804569258,3.9031196297223403e-07,0.00779643355309273,0.016329904732683285,54.46280991735537,1210
combo_tech_chip_top,Tech top (RVOL+ATR) + Chip top3,1,momentum,0.017747218181622844,0.16004114024321994,0.11089160046380446,2.5205169063013955e-09,0.012634521236222019,0.023393259099758455,52.90677674578603,2907
combo_tech_only,Tech baseline: RVOL - ATR%,1,momentum,0.017014648004450413,0.1796907975611703,0.09468847729198981,3.516038327155968e-07,0.01129021117689271,0.023545429096744376,52.459580323357414,2907
combo_tech_chip_equal,Tech15 + Chip20 all equal-wt,5,all,0.0451724672442971,0.09271867771092458,0.48719921767148594,0.0,0.03965245390300683,0.05140880332851829,69.55689277899344,3656
combo_tech50_chip50,Tech 50% + Chip 50%,5,all,0.045485682584813183,0.09388486138243403,0.48448367409874676,0.0,0.03994826225299171,0.051878739812423996,69.47483588621444,3656
combo_tech70_chip30,Tech 70% + Chip 30%,5,all,0.04602386605717929,0.09575079208832273,0.48066303216296974,0.0,0.04028120432125424,0.05248170608123788,69.00984682713349,3656
combo_chip_equal,Chip 20 equal-wt (flipped),5,all,0.022664151349358036,0.05198776375432652,0.4359516492469227,0.0,0.016482531210108103,0.028752109976607803,68.8483844241922,1207
combo_chip_top3,Chip top3 (margin_short + trust10 + margin20),5,all,0.032461995489915615,0.08654404646342514,0.3750921850370673,0.0,0.02364858864174049,0.04089944535126963,63.463131731565866,1207
