indicator,label,horizon,mean,std,ir,p,ci_low,ci_high,win_rate,n
inst_foreign_10d,外資 10D,5,0.0035502992074128003,0.05487753583684106,0.0646949458147749,0.024780202824016495,-0.0027079401144836134,0.009111696033926552,52.44407622203811,1207
inst_foreign_5d,外資 5D,5,0.0033736065589090565,0.05683889742727672,0.059353835341817845,0.03941534229616228,-0.002902169867272329,0.009262798937301234,51.53272576636289,1207
inst_foreign_20d,外資 20D,5,-0.001434030409428273,0.0535607463750023,-0.026773906386367292,0.3524658433513288,-0.008168191126463695,0.004088185345440299,47.970173985086994,1207
inst_total_5d,法人合計 5D,5,-0.0022741913609629644,0.05775659567597994,-0.039375439884327616,0.17157385002654113,-0.009204049037442501,0.0036309022596390313,47.80447390223695,1207
inst_total_10d,法人合計 10D,5,-0.0032028444639849735,0.05519886348983775,-0.058023739285404406,0.04403653728589685,-0.010601177504700477,0.00243492891196934,47.970173985086994,1207
sbl_chg_20d,借券變動 20D,5,-0.0037927496455408597,0.04973488041939229,-0.0762593498477985,0.008744522547050604,-0.009097963486107403,0.0024409653734590274,45.44688026981451,1186
inst_foreign_trust_sync,外資投信同步,5,-0.0036076515667291804,0.04065208190457128,-0.08874457094714021,0.0020946846610376824,-0.008235982828305654,0.0013143272807513077,46.72742336371169,1207
short_chg_20d,融券變動 20D,5,-0.005967254449577052,0.06442072563729673,-0.09262941996608429,0.001453259810637375,-0.013434736269269713,0.003191986754995507,42.122999157540015,1187
inst_trust_5d,投信 5D,5,-0.004769160335757638,0.044964926084942965,-0.10606400924018528,0.00023897378546755554,-0.009934141517539201,0.00018341133563203418,45.48467274233637,1207
sbl_chg_10d,借券變動 10D,5,-0.005742532691766176,0.04806862157813709,-0.11946530820384571,3.826439798348957e-05,-0.011482610367399447,-0.000218619891186736,42.77360066833751,1197
margin_chg_5d,融資變動 5D,5,-0.007004174298140058,0.050488611488274694,-0.1387278059680188,1.7034257173698109e-06,-0.012107774448194754,-0.002450002388061091,44.00998336106489,1202
inst_total_20d,法人合計 20D,5,-0.007677895529845445,0.053730505525990936,-0.1428963947888306,7.87726356588081e-07,-0.014955274837663084,-0.0018059754699651265,43.496271748135875,1207
short_chg_10d,融券變動 10D,5,-0.008909548160906524,0.05625666960265107,-0.15837318888295274,5.2014434315239555e-08,-0.015270023100466186,-0.001161513278525609,42.439431913116124,1197
