indicator,label,horizon,universe,regime,mean,std,ir,p,ci_low,ci_high,win_rate,n
sig_squeeze,Squeeze,1,all,all,0.002144713696667258,0.08269367020929395,0.025935645270539865,0.06686059926724086,0.0003469282616287596,0.004313381008261204,52.27227227227227,4995
sig_ma_align,MA 排列,1,all,all,-0.004124528379310496,0.13491906352134095,-0.030570389918679615,0.031470257362176124,-0.007299266973712558,-0.00048358379078642494,49.677028663706096,4954
sig_obv_mom,OBV 動能,1,all,all,-0.008079748364910197,0.08136317848896854,-0.09930472868640049,2.5572877149215856e-12,-0.01011917362327633,-0.005975616577930965,45.074088906688026,4994
sig_rvol_log,log(RVOL),1,all,all,-0.009502821282500377,0.09124303871784036,-0.10414845248509168,2.2715163083830703e-13,-0.012492165002417887,-0.006863462143678469,45.213726670680316,4983
sig_supertrend,Supertrend,1,all,all,-0.01130297521452301,0.0748344342300403,-0.1510397630558384,0.0,-0.013399166147379562,-0.009240190933108584,43.52683024137243,5013
sig_adx_dir,ADX×方向,1,all,all,-0.024422542593958003,0.11745920784824859,-0.20792361059944064,0.0,-0.028160410343317437,-0.021225169878010503,40.5053138159214,4987
sig_macd_hist,MACD Hist,1,all,all,-0.027489628404664866,0.1320077615591195,-0.20824251604594987,0.0,-0.030834582699596037,-0.023895979363880753,39.81927710843374,4980
sig_vwap_dev,VWAP 偏離,1,all,all,-0.03200074154454871,0.1475428551640078,-0.2168911636485336,0.0,-0.036170230139973426,-0.027684645127506395,39.01901901901902,4995
sig_atr_pct,ATR%,1,all,all,-0.03279855832976939,0.20609057637883474,-0.15914632733851564,0.0,-0.03798963016216255,-0.027478750510264757,43.97120575884823,5001
sig_rsi_dev,RSI 偏離,1,all,all,-0.033723484938388754,0.12449037086041988,-0.27089231645232975,0.0,-0.03761186308933541,-0.029783898084182907,36.45270945810838,5001
sig_ma20_dev,MA20 偏離,1,all,all,-0.03736782133825132,0.14878555181268316,-0.25115221796062803,0.0,-0.0414762779807198,-0.033182781099663675,37.57757757757758,4995
