horizon,universe,indicator,label,weight,in_sample_ic
1,all,sig_ma20_dev,MA20 偏離,-0.0016910928800358362,0.027331470714522292
1,all,sig_ma_align,MA 排列,0.0005720430729203439,0.027331470714522292
1,all,sig_supertrend,Supertrend,5.118455235708614e-05,0.027331470714522292
1,all,sig_adx_dir,ADX×方向,0.0008887439130982606,0.027331470714522292
1,all,sig_vwap_dev,VWAP 偏離,0.0005411879402964696,0.027331470714522292
1,all,sig_macd_hist,MACD Hist,0.0006523547377643872,0.027331470714522292
1,all,sig_rsi_dev,RSI 偏離,-0.0009426882106494936,0.027331470714522292
1,all,sig_kd_diff,KD 差,-0.00019665392588523098,0.027331470714522292
1,all,sig_efi,EFI,0.00012099544646638086,0.027331470714522292
1,all,sig_td_setup,TD Setup,-0.0004466812431789727,0.027331470714522292
1,all,sig_rvol_log,log(RVOL),0.0009351911410960989,0.027331470714522292
1,all,sig_obv_mom,OBV 動能,0.00026881686128300245,0.027331470714522292
1,all,sig_bb_pos,BB %B,0.0005542145778317381,0.027331470714522292
1,all,sig_atr_pct,ATR%,-5.240784347154448e-05,0.027331470714522292
1,all,sig_squeeze,Squeeze,-0.00014256037799829658,0.027331470714522292
1,momentum,sig_ma20_dev,MA20 偏離,-0.0006031862400680682,-0.01126778990267655
1,momentum,sig_ma_align,MA 排列,0.0006066936372325185,-0.01126778990267655
1,momentum,sig_supertrend,Supertrend,0.0002272195658662576,-0.01126778990267655
1,momentum,sig_adx_dir,ADX×方向,0.000252932098679695,-0.01126778990267655
1,momentum,sig_vwap_dev,VWAP 偏離,0.0006445560512428989,-0.01126778990267655
1,momentum,sig_macd_hist,MACD Hist,0.0005808499288702223,-0.01126778990267655
1,momentum,sig_rsi_dev,RSI 偏離,-0.0006122862660009833,-0.01126778990267655
1,momentum,sig_kd_diff,KD 差,0.00025524795410164416,-0.01126778990267655
1,momentum,sig_efi,EFI,-0.00019152777000925892,-0.01126778990267655
1,momentum,sig_td_setup,TD Setup,-0.0006722444564026808,-0.01126778990267655
1,momentum,sig_rvol_log,log(RVOL),0.00026011479200076384,-0.01126778990267655
1,momentum,sig_obv_mom,OBV 動能,2.995857953053863e-05,-0.01126778990267655
1,momentum,sig_bb_pos,BB %B,0.0007080310557935214,-0.01126778990267655
1,momentum,sig_atr_pct,ATR%,0.0001527776575703104,-0.01126778990267655
1,momentum,sig_squeeze,Squeeze,5.608975333970043e-05,-0.01126778990267655
5,all,sig_ma20_dev,MA20 偏離,-0.005617355533982758,0.025187939712514686
5,all,sig_ma_align,MA 排列,0.0019028606167709,0.025187939712514686
