,MA20 偏離,MA 排列,Supertrend,ADX×方向,VWAP 偏離,MACD Hist,RSI 偏離,KD 差,EFI,TD Setup,log(RVOL),OBV 動能,BB %B,ATR%,Squeeze
MA20 偏離,1.0,0.2652616016377564,0.08047755671665127,0.7412602786520128,0.9333695572843073,0.7674412127889138,0.8771298642846043,0.13350121775524865,0.7853309303308376,0.5896065268513829,0.251036679303188,0.39889066099938275,0.8886652716825643,-0.007902032902899148,-0.03264662442935585
MA 排列,0.2652616016377564,1.0,0.15025440903577095,0.5057235473049713,0.17915174234149273,-0.23936180890536632,0.5102216675284829,-0.06559737046539901,0.3156172989647659,0.07818291130630525,-0.059932097695911415,0.3035437373773887,0.20930575224398007,0.16654040820159877,-0.062159766316146836
Supertrend,0.08047755671665127,0.15025440903577095,1.0,0.17785473250539052,0.017428158198130102,0.0030496843516410513,0.13218361997751155,-0.0133903768974419,0.1737463873575505,0.02015496065608343,-0.020303485758179158,0.06995866488946022,0.07142651883707096,0.27109592673086325,-0.00997168324197229
ADX×方向,0.7412602786520128,0.5057235473049713,0.17785473250539052,1.0,0.6333083076228292,0.4299852119038844,0.833986430547378,-0.011588868178592712,0.7120531269938877,0.4491235468894334,0.13178115294026663,0.41378733108884996,0.6968234397690883,0.13875651846536013,-0.048033690999052824
VWAP 偏離,0.9333695572843073,0.17915174234149273,0.017428158198130102,0.6333083076228292,1.0,0.7500814329386526,0.8053149702538748,0.17444487648481025,0.6624967091135098,0.5981678888519437,0.2930107089976285,0.3268894433362656,0.8438626033779395,-0.11761277672186515,0.01927585191189907
MACD Hist,0.7674412127889138,-0.23936180890536632,0.0030496843516410513,0.4299852119038844,0.7500814329386526,1.0,0.5269214631377156,0.01269554477802569,0.565966761192636,0.5409391079249268,0.26287882595831225,0.22092814527709212,0.6908601496209009,-0.05725414761192095,-0.01185421514933753
RSI 偏離,0.8771298642846043,0.5102216675284829,0.13218361997751155,0.833986430547378,0.8053149702538748,0.5269214631377156,1.0,0.13698868920942692,0.7722387360572215,0.5814565932415027,0.1914639098409466,0.43967224688712814,0.8834838953866565,0.06461688470830593,-0.05406126108580068
KD 差,0.13350121775524865,-0.06559737046539901,-0.0133903768974419,-0.011588868178592712,0.17444487648481025,0.01269554477802569,0.13698868920942692,1.0,0.10325239690248625,0.12827128560682616,0.09197173783604883,-0.01883756536584067,0.23288267841548682,-0.04995400360343974,-0.0018761811091373053
EFI,0.7853309303308376,0.3156172989647659,0.1737463873575505,0.7120531269938877,0.6624967091135098,0.565966761192636,0.7722387360572215,0.10325239690248625,1.0,0.47440858312041934,0.17050923873191431,0.4526250092322457,0.7438111980244458,0.1608303356465266,-0.05602927517762595
TD Setup,0.5896065268513829,0.07818291130630525,0.02015496065608343,0.4491235468894334,0.5981678888519437,0.5409391079249268,0.5814565932415027,0.12827128560682616,0.47440858312041934,1.0,0.21554706715492725,0.19441648823635596,0.652165949372729,-0.03283471262096629,-0.003893135618998678
log(RVOL),0.251036679303188,-0.059932097695911415,-0.020303485758179158,0.13178115294026663,0.2930107089976285,0.26287882595831225,0.1914639098409466,0.09197173783604883,0.17050923873191431,0.21554706715492725,1.0,0.05272186183180711,0.24321926254279064,-0.05044552168333199,0.034757861983285114
OBV 動能,0.39889066099938275,0.3035437373773887,0.06995866488946022,0.41378733108884996,0.3268894433362656,0.22092814527709212,0.43967224688712814,-0.01883756536584067,0.4526250092322457,0.19441648823635596,0.05272186183180711,1.0,0.3567206045860009,0.09306811824669908,-0.03352960196420075
BB %B,0.8886652716825643,0.20930575224398007,0.07142651883707096,0.6968234397690883,0.8438626033779395,0.6908601496209009,0.8834838953866565,0.23288267841548682,0.7438111980244458,0.652165949372729,0.24321926254279064,0.3567206045860009,1.0,0.012239499899205707,-0.04390551879779795
ATR%,-0.007902032902899148,0.16654040820159877,0.27109592673086325,0.13875651846536013,-0.11761277672186515,-0.05725414761192095,0.06461688470830593,-0.04995400360343974,0.1608303356465266,-0.03283471262096629,-0.05044552168333199,0.09306811824669908,0.012239499899205707,1.0,-0.13649533313664577
Squeeze,-0.03264662442935585,-0.062159766316146836,-0.00997168324197229,-0.048033690999052824,0.01927585191189907,-0.01185421514933753,-0.05406126108580068,-0.0018761811091373053,-0.05602927517762595,-0.003893135618998678,0.034757861983285114,-0.03352960196420075,-0.04390551879779795,-0.13649533313664577,1.0
