score,label,liquidity,horizon,direction,gross_spread,cost_roundtrip,net_spread,monotonic_rho,ic_mean,ic_spread_sign_ok
sig_lambda_level,lambda level (低衝擊=高分),all,10,bot,0.003970062557747314,0.0025,-0.0010299374422526857,-0.8303030303030302,0.005480651457637981,False
sig_lambda_level,lambda level (低衝擊=高分),all,10,bot,0.003970062557747314,0.0035,-0.0030299374422526858,-0.8303030303030302,0.005480651457637981,False
sig_lambda_level,lambda level (低衝擊=高分),all,20,bot,0.009908681794917313,0.0025,0.004908681794917313,-0.8666666666666665,-0.003200397081492399,True
sig_lambda_level,lambda level (低衝擊=高分),all,20,bot,0.009908681794917313,0.0035,0.002908681794917313,-0.8666666666666665,-0.003200397081492399,True
sig_lambda_level,lambda level (低衝擊=高分),all,60,bot,0.03550974173121834,0.0025,0.03050974173121834,-0.8787878787878788,-0.023873463247020794,True
sig_lambda_level,lambda level (低衝擊=高分),all,60,bot,0.03550974173121834,0.0035,0.02850974173121834,-0.8787878787878788,-0.023873463247020794,True
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,top,0.0067841087334110746,0.0025,0.0017841087334110745,0.9878787878787878,-0.00167957381618781,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,top,0.0067841087334110746,0.0035,-0.0002158912665889256,0.9878787878787878,-0.00167957381618781,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,top,0.0082802857588661,0.0025,0.0032802857588661,0.8424242424242423,-0.008143506993109702,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,top,0.0082802857588661,0.0035,0.0012802857588661,0.8424242424242423,-0.008143506993109702,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,top,0.02190777212443345,0.0025,0.016907772124433448,0.9272727272727272,0.009142960579413495,True
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,top,0.02190777212443345,0.0035,0.01490777212443345,0.9272727272727272,0.009142960579413495,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,top,0.006232815227975872,0.0025,0.0012328152279758716,0.7696969696969697,-0.0004387130521682263,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,top,0.006232815227975872,0.0035,-0.0007671847720241284,0.7696969696969697,-0.0004387130521682263,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,top,0.0071584866353746925,0.0025,0.0021584866353746924,0.5757575757575757,-0.005798140342485715,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,top,0.0071584866353746925,0.0035,0.0001584866353746923,0.5757575757575757,-0.005798140342485715,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,top,0.017404699103317857,0.0025,0.012404699103317856,0.6121212121212121,0.010683742272909299,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,60,top,0.017404699103317857,0.0035,0.010404699103317858,0.6121212121212121,0.010683742272909299,True
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,bot,0.0010880206032084557,0.0025,-0.003911979396791544,-0.6242424242424242,0.027921688095737918,False
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,10,bot,0.0010880206032084557,0.0035,-0.005911979396791544,-0.6242424242424242,0.027921688095737918,False
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,bot,0.0014547808123235011,0.0025,-0.003545219187676499,-0.49090909090909085,0.029313999973672723,False
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,20,bot,0.0014547808123235011,0.0035,-0.005545219187676499,-0.49090909090909085,0.029313999973672723,False
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,bot,0.00406398295195777,0.0025,-0.0009360170480422298,-0.2606060606060606,0.037191100134336186,False
sig_lambda_level,lambda level (低衝擊=高分),liq_50m,60,bot,0.00406398295195777,0.0035,-0.00293601704804223,-0.2606060606060606,0.037191100134336186,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,top,0.006440728234418928,0.0025,0.0014407282344189275,0.9757575757575757,-0.00961303963585045,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,10,top,0.006440728234418928,0.0035,-0.0005592717655810726,0.9757575757575757,-0.00961303963585045,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,top,0.006275906560595583,0.0025,0.0012759065605955832,0.8666666666666665,-0.017863387227247507,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,20,top,0.006275906560595583,0.0035,-0.0007240934394044168,0.8666666666666665,-0.017863387227247507,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,top,0.0210925865575475,0.0025,0.0160925865575475,0.9878787878787878,-0.004045698122669354,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_50m,60,top,0.0210925865575475,0.0035,0.014092586557547502,0.9878787878787878,-0.004045698122669354,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,top,0.007692024808839069,0.0025,0.002692024808839069,0.9393939393939393,-0.0019611629193326944,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,10,top,0.007692024808839069,0.0035,0.0006920248088390689,0.9393939393939393,-0.0019611629193326944,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,top,0.0071353092483862224,0.0025,0.0021353092483862223,0.8303030303030302,-0.009279448806729236,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,20,top,0.0071353092483862224,0.0035,0.0001353092483862223,0.8303030303030302,-0.009279448806729236,False
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,top,0.018387155281876042,0.0025,0.013387155281876041,0.9272727272727272,0.0033744761296156636,True
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),liq_50m,60,top,0.018387155281876042,0.0035,0.011387155281876043,0.9272727272727272,0.0033744761296156636,True
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,bot,0.002144903874350816,0.0025,-0.0028550961256491843,-0.11515151515151514,0.027683727038271773,False
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,10,bot,0.002144903874350816,0.0035,-0.004855096125649184,-0.11515151515151514,0.027683727038271773,False
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,bot,0.0036835903038125208,0.0025,-0.0013164096961874793,-0.12727272727272726,0.02987626383556972,False
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,20,bot,0.0036835903038125208,0.0035,-0.0033164096961874794,-0.12727272727272726,0.02987626383556972,False
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,bot,0.005221795144189759,0.0025,0.00022179514418975855,-0.18787878787878787,0.04277848737708271,False
sig_lambda_level,lambda level (低衝擊=高分),liq_100m,60,bot,0.005221795144189759,0.0035,-0.0017782048558102415,-0.18787878787878787,0.04277848737708271,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,top,0.005176503699649497,0.0025,0.00017650369964949692,0.9393939393939393,-0.013223580650650196,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,10,top,0.005176503699649497,0.0035,-0.0018234963003505031,0.9393939393939393,-0.013223580650650196,False
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),liq_100m,20,top,0.005676308843437382,0.0025,0.000676308843437382,0.6727272727272726,-0.02066706242422518,False
