score,label,liquidity,horizon,top_n,direction,mean_ret,std_ret,sharpe_proxy,win_rate,n_days
sig_lambda_level,lambda level (低衝擊=高分),all,10,10,top,0.005323475054645598,0.044198846956952184,1.9119853220106895,0.57876781055589,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,10,bot,0.010451420230756462,0.05850267768742748,2.8359582710813345,0.5743527995183624,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,20,top,0.005734069351290995,0.04520924773536322,2.013427198707386,0.5867951033513947,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,20,bot,0.011459036980661618,0.05075703539142834,3.5838691382960155,0.6096728878185832,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,50,top,0.006208651737332837,0.04450607790242257,2.214513061789837,0.6064619707003813,4983
sig_lambda_level,lambda level (低衝擊=高分),all,10,50,bot,0.0097392015752046,0.04452417973095231,3.472383611605114,0.6243226971703792,4983
sig_lambda_level,lambda level (低衝擊=高分),all,20,10,top,0.010793474867183284,0.0644716189160227,2.6576205866326563,0.5877739794892419,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,10,bot,0.023347177803298022,0.09381683277113077,3.9505166263772176,0.5851598632616127,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,20,top,0.011228085262949558,0.06531168623942439,2.7290725151048205,0.5936054695354916,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,20,bot,0.02412182515617216,0.08079106877242846,4.73965883867549,0.6199477176754474,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,50,top,0.012205691627452723,0.06486845891478187,2.9869577757233574,0.6115021114015685,4973
sig_lambda_level,lambda level (低衝擊=高分),all,20,50,bot,0.020913266535133472,0.07070614218482689,4.695317887037518,0.6386487029961794,4973
sig_lambda_level,lambda level (低衝擊=高分),all,60,10,top,0.032551681859581,0.11646140897975975,4.437022823876961,0.6251773768497871,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,10,bot,0.08336370262122322,0.1775411767715453,7.4538074890348245,0.6894384755726738,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,20,top,0.032776297099481246,0.11907269133448085,4.369663440924515,0.6365294952361646,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,20,bot,0.08095405504635622,0.16011604312591626,8.026090069180244,0.7166024731400771,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,50,top,0.03494904259627526,0.12064939070894636,4.598438900994348,0.6497060612203527,4933
sig_lambda_level,lambda level (低衝擊=高分),all,60,50,bot,0.0712722508755323,0.14610827083871508,7.743654077103675,0.7222785323332658,4933
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,10,top,0.01375008965265157,0.07487053146127699,2.9153780812607635,0.5724013619066693,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,10,bot,0.0061400681117164315,0.06302047460974643,1.5466490873511052,0.548367714800721,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,20,top,0.01265098370066017,0.06277024529568795,3.1994162095056606,0.5908271580212298,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,20,bot,0.005104051410094604,0.05558280202011096,1.457722556532451,0.5639895854195874,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,50,top,0.01204034675009769,0.05307968883927877,3.600898637088856,0.6266773482876027,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,10,50,bot,0.004504487235593495,0.049521435548440525,1.44395083186806,0.5762066893651111,4993
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,10,top,0.02353641114500032,0.10608215211817319,3.522071681310015,0.5739514348785872,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,10,bot,0.014039801910965282,0.09049524502608552,2.462835984519373,0.5526791089704997,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,20,top,0.022138808336133013,0.09023759327663267,3.8946371941348854,0.6028496889424042,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,20,bot,0.011905717343049618,0.08048523942796311,2.3482244068663864,0.562512542644993,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,50,top,0.020361886865826934,0.07737238576848993,4.177652401636308,0.6305438490868954,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,20,50,bot,0.01092777050476915,0.07264750054686331,2.3878726388959803,0.5765603050371262,4983
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,10,top,0.07078366513141138,0.20208975657092468,5.560182109210357,0.626137972890957,4943
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,10,bot,0.03851579451792521,0.16518063504637234,3.701519145287956,0.5925551284644952,4943
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,20,top,0.0626777625776044,0.17079240502281118,5.8256608948908575,0.65264009710702,4943
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,20,bot,0.03590092623008366,0.14746734051302102,3.8646491749794616,0.6198664778474611,4943
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,50,top,0.05743554340853962,0.14571815662248067,6.257017016837856,0.683592959741048,4943
sig_lambda_diverge,lambda 背離 (價漲+lambda 降=吸籌),all,60,50,bot,0.03402139310658035,0.13471472188338857,4.009011524095855,0.6275541169330366,4943
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,10,top,0.01486969424276922,0.06028257219163187,3.915710123935036,0.5954336070498698,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,10,bot,0.009955016405396118,0.06101176809197062,2.5901722106997127,0.5748047266172641,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,20,top,0.013920554102980293,0.05086887106754018,4.3441488079975175,0.6282795914279992,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,20,bot,0.007935792921268985,0.05163781500959438,2.43962311595292,0.5834167834968956,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,50,top,0.01243903146491938,0.047544332192499615,4.1532501085640625,0.6350891247746846,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,10,50,bot,0.006187253363252302,0.04771619178197087,2.0584124281140315,0.5922291207690767,4993
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,10,top,0.026276246404059067,0.09212053782149106,4.528007435743188,0.5994380895043147,4983
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,10,bot,0.020619255271582308,0.08660726558098414,3.7793657127036013,0.5968292193457756,4983
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,20,top,0.024462608685112883,0.0783208614828614,4.958217601949662,0.6287377082079069,4983
sig_lambda_diverge_signed,lambda 背離(帶符號 CLV),all,20,20,bot,0.01761200174857682,0.07540002202510517,3.7079811489647105,0.610274934778246,4983
