prior_window,liquidity,prior_bin,vol_bin,fwd_20d_mean,n_days,diag_key
5,all,1,1,0.011751143588373501,4958,
5,all,1,2,0.011247234852798355,4960,
5,all,1,3,0.012794205805908343,4961,
5,all,1,4,0.014676259472671932,4962,
5,all,1,5,0.017912795858629895,4915,
5,all,2,1,0.009514139393881514,4964,
5,all,2,2,0.010649751362579556,4964,
5,all,2,3,0.011121962828701782,4963,
5,all,2,4,0.011414378837832353,4960,
5,all,2,5,0.010553826095371654,4887,
5,all,3,1,0.009346948629607558,4964,
5,all,3,2,0.010836853194163696,4964,
5,all,3,3,0.011450578871418409,4963,
5,all,3,4,0.011890209641081097,4963,
5,all,3,5,0.011006858171410406,4927,
5,all,4,1,0.010656541998742053,4957,
5,all,4,2,0.01172997303964872,4963,
5,all,4,3,0.011451769593013472,4964,
5,all,4,4,0.01262647940536874,4962,
5,all,4,5,0.012093641923480771,4959,
5,all,5,1,0.011162150918037567,4815,
5,all,5,2,0.01322873893405354,4906,
5,all,5,3,0.015105655342715695,4949,
5,all,5,4,0.01576245895796613,4963,
5,all,5,5,0.017480340621118532,4964,
5,all,-1,-1,0.017480340621118532,0,hi_prior_hi_vol
5,all,-1,-1,0.011162150918037567,0,hi_prior_lo_vol
5,all,-1,-1,0.017912795858629895,0,lo_prior_hi_vol
5,all,-1,-1,0.011751143588373501,0,lo_prior_lo_vol
5,all,-1,-1,0.006318189703080965,0,top_row_hivol_minus_lovol
5,all,-1,-1,0.006161652270256394,0,bot_row_hivol_minus_lovol
5,all,-1,-1,0.0,0,hivol_col_mono
5,all,-1,-1,-0.09999999999999999,0,lovol_col_mono
5,all,-1,-1,0.00015653743282456958,0,interact_LS_diag
5,liq_50m,1,1,0.009113072768711884,4928,
5,liq_50m,1,2,0.009567319791542506,4924,
5,liq_50m,1,3,0.011046267069900837,4935,
5,liq_50m,1,4,0.012928720645074167,4928,
5,liq_50m,1,5,0.011507714599250003,4837,
5,liq_50m,2,1,0.009327358178965975,4958,
5,liq_50m,2,2,0.009040145290824895,4955,
5,liq_50m,2,3,0.010026753460631607,4951,
5,liq_50m,2,4,0.010968863754859103,4928,
5,liq_50m,2,5,0.007673309809198243,4660,
5,liq_50m,3,1,0.008139491375289952,4954,
5,liq_50m,3,2,0.009314039370468765,4955,
5,liq_50m,3,3,0.010066595463073584,4952,
5,liq_50m,3,4,0.009708313832358746,4934,
5,liq_50m,3,5,0.009805872662193372,4773,
5,liq_50m,4,1,0.010929585468462477,4910,
5,liq_50m,4,2,0.011460747389235158,4936,
5,liq_50m,4,3,0.010936385030411333,4947,
5,liq_50m,4,4,0.01135463449819604,4948,
5,liq_50m,4,5,0.011224124269890192,4888,
