score,label,liquidity,year,ic_mean,ic_ir,ls_spread_20d,ic_n
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2006,-0.004217735028744079,-0.04396938449574375,0.009986843051269761,228
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2007,-0.003983603542831991,-0.043894313868624545,-0.0017976986299683521,243
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2008,-0.014166539228897738,-0.14247216311072392,-0.004010061256782674,249
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2009,-0.017497809762111575,-0.18440657525280915,0.0029469735259218532,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2010,-0.025663473436025774,-0.31114628187463617,0.0007352621108407016,250
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2011,-0.023450350453612042,-0.3316385761467782,-0.0038522562090100576,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2012,-0.026826941575172597,-0.34289537921759017,0.0008245802424519787,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2013,-0.009023948711973716,-0.11971406277536491,0.0037097841053322887,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2014,-0.01343139677136774,-0.16770136567700278,-9.245516309796045e-05,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2015,-0.02117796657010378,-0.36462812330467687,0.0014066515854197293,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2016,-0.020297925208505384,-0.5415573505161875,0.0018620925481200087,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2017,-0.015337539573723306,-0.38879863914675666,0.005573397420798942,246
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2018,-0.028796042036958406,-0.7087929613645683,0.0015471258921696653,247
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2019,-0.01819658825904322,-0.41009184675712923,0.0014931349767950894,242
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2020,-0.015549253393603087,-0.36400068199309066,0.007923202643261927,245
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2021,-0.03579954396344413,-0.584991140978863,0.00023738074879107313,244
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2022,-0.03545481321907095,-0.7160990550160199,-0.004687752234224513,246
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2023,-0.022913484820983356,-0.49050863322044486,0.0033146208530635095,239
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2024,-0.02234967544549484,-0.4944444368882961,0.006394565079021466,242
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2025,-0.008094521925237779,-0.17006424982249282,0.011245239346882555,243
interact_5d,prior_ret(5d)×RVOL 交互 (乘積),all,2026,0.021778084184462355,0.3424575020966793,0.03376932722518637,80
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2006,0.0019101833742104423,0.018849607435762538,0.007098777289615367,228
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2007,-0.016457431779843948,-0.16191877671626934,-0.0019021257731482426,243
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2008,-0.03249735758809434,-0.30178815487242844,-0.00610626878386878,249
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2009,-0.015092535752586431,-0.15237027375045054,0.004142726869689625,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2010,-0.018956778236396056,-0.23113495922112923,0.0002580701016715141,250
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2011,-0.026068470086064152,-0.3202201408751739,-0.004490602917931269,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2012,-0.023947300001015713,-0.29636249987728813,0.00011913108178668828,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2013,-0.013172054621484842,-0.1754207152138611,0.0013752436748023858,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2014,-0.008765569080345776,-0.10556302350266458,-0.00019440771503577078,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2015,-0.01855655592834826,-0.32850041145308273,0.0007396052965909037,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2016,-0.019063717666561793,-0.5287397409425311,0.0010541061788143236,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2017,-0.01486909659586809,-0.4004823265040476,0.0033110817217751522,246
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2018,-0.0220789306962589,-0.5312534001669272,0.0015962503473651245,247
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2019,-0.017156451579867494,-0.4375878907255284,0.001092490502267571,242
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2020,-0.013758562601124055,-0.33418479866872913,0.006616364376935073,245
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2021,-0.024543883299352986,-0.45930710429527005,0.0021454458451304025,244
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2022,-0.028545363732320198,-0.5841937550110148,-0.003967217102845194,246
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2023,-0.019058171890272705,-0.4559129289139076,0.002244148720326026,239
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2024,-0.02115520845070585,-0.4922267512936631,0.004518213330995141,242
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2025,-0.00992416928774152,-0.18968049084224797,0.008474949535128916,243
volconf_mom_5d,sign(prior_ret 5d)×RVOL 量確認,all,2026,0.012017758264494551,0.23043577065192908,0.018276352450807935,80
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2006,0.002613217145267567,0.028180899568030604,0.008475902471487207,227
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2007,0.004348102053955854,0.04296324619325621,0.004676198984641687,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2008,-0.007520001451053609,-0.08523171316849597,-0.005308139390560795,249
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2009,-0.02422001834488094,-0.2775532379777906,0.004452349606721626,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2010,-0.017558973390269628,-0.2439700428550522,0.002675639739285869,250
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2011,0.0006544296090881068,0.009271701171654533,0.0006028300764449532,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2012,-0.010523893321475842,-0.13374413729586196,-0.0019222969729575344,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2013,0.004223332765208291,0.049027927162066214,0.008745853517249554,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2014,-0.0005271171316099362,-0.006342215433532633,0.0017884308185338628,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2015,-0.012749522590388272,-0.27611761309907346,0.001403087900804791,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2016,-0.007832474152569026,-0.2123304271126036,0.00038904851528141077,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2017,-0.00455145704547135,-0.14927335053578755,0.0043019647076188855,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2018,-0.013475875343464557,-0.36290539264146804,-0.0013808723486497245,247
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2019,-0.00023612411500312155,-0.007571099583665512,0.0018468005410323257,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2020,-0.013247678723697377,-0.3075116297581575,0.003315552162682745,245
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2021,-0.024894870045556704,-0.5742912837862141,-0.0004541183080939287,244
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2022,-0.0209504709235543,-0.5252508853708603,-0.004553184914746822,246
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2023,-0.0039135059120057256,-0.09825280403038568,0.004825694071006043,239
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2024,-0.010049105167455757,-0.25364007025655005,0.003120533370892492,242
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2025,-0.00443917469697331,-0.12268445326190526,0.007347063597717918,243
interact_20d,prior_ret(20d)×RVOL 交互 (乘積),all,2026,0.009681555695708059,0.1670769048381077,0.010712053767268671,80
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2006,0.010388838113247074,0.11084961076342431,0.0075565381984994545,227
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2007,-0.01759125954180794,-0.16990765104217248,-0.00426378399996903,243
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2008,-0.022009671761625386,-0.22007519531387107,-0.010241296345136888,249
volconf_mom_20d,sign(prior_ret 20d)×RVOL 量確認,all,2009,-0.013558384427822557,-0.13824185805656727,0.005333939574212743,247
