factor,direction,regime,horizon,d1_ret,d10_ret,ls_spread,ls_spread_ann,monotonic_rho,n_days
turnover_20d,top,all,20,0.006869581417181497,0.016564916221672582,0.009695334804491085,0.12927159836247015,0.9878787878787878,2678
turnover_20d,top,all,40,0.015533985832448959,0.032187565249646236,0.01665357941719728,0.10965982427023202,0.9515151515151514,2658
turnover_20d,top,volatile,20,0.011281117639192142,0.03387864923545211,0.02259753159625997,0.325194805443634,0.9999999999999999,1233
turnover_20d,top,volatile,40,0.022847218404832056,0.06201430376786165,0.0391670853630296,0.2738488789454063,0.9999999999999999,1213
turnover_20d,top,neutral,20,0.0022940684290538274,-0.003101933264313613,-0.005396001693367441,-0.06590181201398737,-0.7696969696969697,690
turnover_20d,top,neutral,40,0.01084983621856975,0.007396234211507262,-0.0034536020070624887,-0.021559548164333364,-0.5151515151515151,690
turnover_20d,top,ranging,20,0.0019368589535895006,0.005199736933970665,0.0032628779803811642,0.04189933996845063,0.4787878787878787,468
turnover_20d,top,ranging,40,0.006403049635987145,0.004332583829493206,-0.002070465806493939,-0.01297257800588636,-0.6,468
turnover_20d,top,trending,20,0.006960849406833141,0.00799765923904127,0.0010368098322081293,0.013142651542218386,-0.18787878787878787,287
turnover_20d,top,trending,40,0.010775763753076446,0.011150338414636543,0.0003745746615600974,0.0023621640374611452,-0.5515151515151515,287
amihud_20d,top,all,20,0.010636632279102606,0.02071910704789602,0.010082474768793415,0.13473939869784202,0.8666666666666665,4968
amihud_20d,top,all,40,0.021121444062653535,0.04291738075486063,0.021795936692207096,0.14549785243013957,0.8787878787878788,4948
amihud_20d,top,volatile,20,0.01645400376343788,0.024707989152908724,0.008253985389470843,0.10912715044355537,0.9151515151515152,2193
amihud_20d,top,volatile,40,0.02859792881725395,0.048981740854667534,0.020383812037413584,0.1355608953887375,0.8909090909090909,2173
amihud_20d,top,neutral,20,0.0043818147111219915,0.015101681646753129,0.010719866935631137,0.14379477924249762,0.8060606060606059,1258
amihud_20d,top,neutral,40,0.015101293904004305,0.035311020353807246,0.020209726449802942,0.13434091207692367,0.7939393939393938,1258
amihud_20d,top,ranging,20,0.0075208905024073715,0.014922606785857665,0.007401716283450294,0.09737193458464843,0.7575757575757575,982
amihud_20d,top,ranging,40,0.01715386354570887,0.03899941330930047,0.021845549763591602,0.14584829967670054,0.7575757575757575,982
amihud_20d,top,trending,20,0.006972059510192149,0.02849045205565184,0.021518392545459692,0.3076815640461801,0.8303030303030302,530
amihud_20d,top,trending,40,0.012082240159708092,0.043364052506675514,0.03128181234696742,0.2141640206404427,0.8181818181818182,530
