factor,regime,horizon,ic_mean,ic_ir,ic_win,ic_t,ic_n_days
turnover_20d,all,20,-0.03136006642566889,-0.16863543997892488,44.510828976848394,-8.72678218532006,2678
turnover_20d,all,40,-0.03780791852022098,-0.21868657083158424,44.05568096313017,-11.274560019113919,2658
turnover_20d,volatile,20,0.006435431323235201,0.032893937182780025,53.12246553122466,1.155040990819507,1233
turnover_20d,volatile,40,0.0029710793385723257,0.01633154364006003,52.43198680956307,0.568797444025811,1213
turnover_20d,neutral,20,-0.07278225431505794,-0.41322549552537674,35.507246376811594,-10.854545776079867,690
turnover_20d,neutral,40,-0.07063832734359135,-0.43407426229853807,37.971014492753625,-11.402198076735635,690
turnover_20d,ranging,20,-0.04418726420152033,-0.25888733212326054,42.0940170940171,-5.600589303230949,468
turnover_20d,ranging,40,-0.06434728705544149,-0.4212171156374009,38.46153846153847,-9.112319451202161,468
turnover_20d,trending,20,-0.07323257695396787,-0.4709014810032628,33.10104529616725,-7.977576999363655,287
turnover_20d,trending,40,-0.08795257998401033,-0.5903594201015004,32.40418118466899,-10.001322826858477,287
amihud_20d,all,20,0.004343251677083155,0.027987776707311028,49.21497584541063,1.972691593851133,4968
amihud_20d,all,40,0.014943550184713245,0.09416586247322542,51.31366208569119,6.623817130216915,4948
amihud_20d,volatile,20,0.0008843224489166713,0.005184183470027515,46.32922936616507,0.2427726052178005,2193
amihud_20d,volatile,40,0.010630676309548179,0.06223298325839633,51.21951219512195,2.901018400146088,2173
amihud_20d,neutral,20,0.003449457897538989,0.023499557241469814,51.112877583465824,0.8334892451050322,1258
amihud_20d,neutral,40,0.008663574834816654,0.05844611715672155,47.933227344992055,2.072984165944618,1258
amihud_20d,ranging,20,-0.004008171601276981,-0.02933886029208239,47.9633401221996,-0.9193883217770602,982
amihud_20d,ranging,40,0.018993212801472214,0.1247821992979792,51.93482688391039,3.9102847097022315,982
amihud_20d,trending,20,0.038041075148413865,0.2831136577716301,59.43396226415094,6.51776586760531,530
amihud_20d,trending,40,0.04015016792612461,0.28616488447065114,58.490566037735846,6.588010381380222,530
