split,year,strategy,cagr,sharpe,mdd,cash_pct,n_days
year_2006,2006,BH,0.18729553690717737,0.9117743465705371,-0.24634974912363472,0.0,227
year_2006,2006,gated,0.1464476195331712,0.8152764019021569,-0.24634974912363472,0.1806167400881057,227
year_2007,2007,BH,0.21761468618605773,0.959555392332687,-0.24406839816973025,0.0,243
year_2007,2007,gated,0.3930130368657876,1.6224449993031405,-0.1969101160412795,0.18518518518518523,243
year_2008,2008,BH,-0.4004702718916884,-1.2259093657643394,-0.56288254595047,0.0,249
year_2008,2008,gated,-0.09551310163893922,-1.086449232413027,-0.14857789148744394,0.8714859437751004,249
year_2009,2009,BH,1.1426382798243822,2.4419940543021,-0.17801129407216265,0.0,247
year_2009,2009,gated,1.1426382798243822,2.4419940543021,-0.17801129407216265,0.0,247
year_2010,2010,BH,0.1880305213906659,0.9589517976590921,-0.2059915494700022,0.0,250
year_2010,2010,gated,-0.06425364341855178,-0.11826336172134902,-0.27598132794297914,0.236,250
year_2011,2011,BH,-0.24979575294362055,-0.9651121252673959,-0.30102802995318323,0.0,247
year_2011,2011,gated,-0.032853570820534084,-0.22793570394668905,-0.11476889449906935,0.7449392712550607,247
year_2012,2012,BH,0.18542700876452978,0.7861744211977503,-0.20112621896562555,0.0,247
year_2012,2012,gated,0.002298862299715765,0.12689566363074065,-0.22649282527085657,0.1255060728744939,247
year_2013,2013,BH,0.42106922744205666,2.095107641922899,-0.08774478005766806,0.0,244
year_2013,2013,gated,0.42106922744205666,2.095107641922899,-0.08774478005766806,0.0,244
year_2014,2014,BH,0.25875636358622245,1.3838378846682136,-0.13006281508786122,0.0,247
year_2014,2014,gated,0.24286701444376724,1.6058718185775263,-0.08828535652714242,0.3441295546558705,247
year_2015,2015,BH,0.030381273236276485,0.3521393236949853,-0.24901020764251147,0.0,244
year_2015,2015,gated,0.03583301392380478,0.46399869235293617,-0.1054434169975823,0.42622950819672134,244
year_2016,2016,BH,0.08445295339725645,0.5658816232828423,-0.17908620581645185,0.0,244
year_2016,2016,gated,-0.08493162292020673,-0.4299303940348198,-0.1812232477709832,0.2991803278688525,244
year_2017,2017,BH,0.594187937552445,2.3065230219755786,-0.0990673816358002,0.0,246
year_2017,2017,gated,0.594187937552445,2.3065230219755786,-0.0990673816358002,0.0,246
year_2018,2018,BH,-0.06885542801842937,-0.22635495693349128,-0.33691379235503727,0.0,247
year_2018,2018,gated,-0.04774598061639801,-0.3231204373225295,-0.11475518655390471,0.6639676113360324,247
year_2019,2019,BH,0.36054650802758736,1.9847877669631206,-0.11500253019524964,0.0,242
year_2019,2019,gated,0.2641721773704404,1.584677729229618,-0.1150025301952502,0.1322314049586777,242
year_2020,2020,BH,0.7158926857824466,2.167219747882168,-0.25220976931826244,0.0,245
year_2020,2020,gated,0.44328184791297565,1.6086525505247782,-0.18648905392079673,0.17142857142857137,245
year_2021,2021,BH,0.48004870517767606,1.477412641015767,-0.23280820107721567,0.0,244
year_2021,2021,gated,0.27720306732902533,1.0502819070668743,-0.23280820107721567,0.2827868852459017,244
year_2022,2022,BH,-0.30042524745471755,-1.2389027145051401,-0.3733138451116096,0.0,246
year_2022,2022,gated,-0.18085630636053007,-1.24318082449693,-0.18400538514826548,0.6463414634146342,246
year_2023,2023,BH,0.4106290628346445,1.693067594261074,-0.15024946020127905,0.0,239
year_2023,2023,gated,0.4106290628346445,1.693067594261074,-0.15024946020127905,0.0,239
year_2024,2024,BH,0.4019209427650412,1.48845540790539,-0.19893223559742645,0.0,242
year_2024,2024,gated,0.13436130299828042,0.7204321976511938,-0.26306896713799033,0.31818181818181823,242
year_2025,2025,BH,0.5509859613017887,1.8242415186058045,-0.2791915802718856,0.0,243
year_2025,2025,gated,0.5125224317204062,2.208723342675208,-0.13914259299578635,0.23456790123456794,243
year_2026,2026,BH,4.42397429424332,4.794202140750627,-0.11441141355775908,0.0,99
year_2026,2026,gated,4.42397429424332,4.794202140750627,-0.11441141355775908,0.0,99
ex_2020_covid,-1,BH,0.21041799777776027,0.937807586677673,-0.6076229155900279,0.0,4737
ex_2020_covid,-1,gated,0.20501808440184366,1.088761699712595,-0.3625792941678778,0.30208993033565545,4737
