lag_days,corr_ill_vs_dd,peak_lag,lag_class
-40,-0.058457955561095704,-1,coincident_or_lagging
-30,-0.14153473261790558,-1,coincident_or_lagging
-20,-0.27019713832205705,-1,coincident_or_lagging
-15,-0.3410662901647426,-1,coincident_or_lagging
-10,-0.39361415936248006,-1,coincident_or_lagging
-5,-0.4310192442335815,-1,coincident_or_lagging
-3,-0.44004810119036697,-1,coincident_or_lagging
-1,-0.4428152439613752,-1,coincident_or_lagging
0,-0.4411589109396025,-1,coincident_or_lagging
1,-0.43923046071432376,-1,coincident_or_lagging
3,-0.43539185568513195,-1,coincident_or_lagging
5,-0.4315250697402825,-1,coincident_or_lagging
10,-0.42434374792935203,-1,coincident_or_lagging
15,-0.4174090361474145,-1,coincident_or_lagging
20,-0.4088648573573798,-1,coincident_or_lagging
30,-0.3998324661201767,-1,coincident_or_lagging
40,-0.4051571243871092,-1,coincident_or_lagging
