universe,score,test,value,extra
full,flow_only_5d,deflated_sharpe,0.207884848880111,sr_per=0.0293 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.104
full,flow_only_5d,ex_2020,0.001403121475135432,full=0.001185 delta=+0.000218
full,flow_only_5d,loyo,0.001191032505372177,worst(drop2015)=-0.000650 all_positive=False
full,flow_cont_5d,deflated_sharpe,0.999999976627456,sr_per=0.1475 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.524
full,flow_cont_5d,ex_2020,0.006014299082057867,full=0.005842 delta=+0.000173
full,flow_cont_5d,loyo,0.005845060810848089,worst(drop2021)=0.004970 all_positive=True
full,flow_samesign_5d,deflated_sharpe,0.9999284873756296,sr_per=0.1160 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.412
full,flow_samesign_5d,ex_2020,0.0047183593549818825,full=0.005066 delta=-0.000348
full,flow_samesign_5d,loyo,0.0050737219782692015,worst(drop2015)=0.003358 all_positive=True
full,flow_only_20d,deflated_sharpe,0.9242209800621123,sr_per=0.0715 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.254
full,flow_only_20d,ex_2020,0.0030400055939197677,full=0.003132 delta=-0.000092
full,flow_only_20d,loyo,0.00314414913055997,worst(drop2026)=0.001087 all_positive=True
full,flow_cont_20d,deflated_sharpe,1.0,sr_per=0.2182 sr0=0.0448 n_obs=2741 n_trials=60 ann_sr=0.774
full,flow_cont_20d,ex_2020,0.00899554289087723,full=0.008332 delta=+0.000663
full,flow_cont_20d,loyo,0.008341480718731163,worst(drop2026)=0.006804 all_positive=True
full,flow_samesign_20d,deflated_sharpe,0.9999999999287774,sr_per=0.1612 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.572
full,flow_samesign_20d,ex_2020,0.007240290959138674,full=0.007933 delta=-0.000692
full,flow_samesign_20d,loyo,0.00794769487759326,worst(drop2026)=0.005419 all_positive=True
full,flow_turn_cont_5d,deflated_sharpe,0.9189243012243966,sr_per=0.0714 sr0=0.0448 n_obs=2742 n_trials=60 ann_sr=0.253
full,flow_turn_cont_5d,ex_2020,0.002276110511462266,full=0.002586 delta=-0.000310
full,flow_turn_cont_5d,loyo,0.002586620764801942,worst(drop2015)=0.001984 all_positive=True
full,flow_turn_cont_20d,deflated_sharpe,0.6566828190389018,sr_per=0.0525 sr0=0.0448 n_obs=2741 n_trials=60 ann_sr=0.186
full,flow_turn_cont_20d,ex_2020,0.0015125129312083807,full=0.001778 delta=-0.000265
full,flow_turn_cont_20d,loyo,0.0017798237372133147,worst(drop2021)=0.000513 all_positive=True
large_cap,flow_only_5d,deflated_sharpe,0.20730526386389198,sr_per=0.0293 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.104
large_cap,flow_only_5d,ex_2020,0.0016039165925990596,full=0.001435 delta=+0.000169
large_cap,flow_only_5d,loyo,0.0014402065073018386,worst(drop2025)=-0.000041 all_positive=False
large_cap,flow_cont_5d,deflated_sharpe,0.8584100597141174,sr_per=0.0650 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.231
large_cap,flow_cont_5d,ex_2020,0.0018655002066890211,full=0.003183 delta=-0.001318
large_cap,flow_cont_5d,loyo,0.0031874501196789955,worst(drop2020)=0.001866 all_positive=True
large_cap,flow_samesign_5d,deflated_sharpe,0.9855973395065157,sr_per=0.0864 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.307
large_cap,flow_samesign_5d,ex_2020,0.0044320907339748744,full=0.004354 delta=+0.000078
large_cap,flow_samesign_5d,loyo,0.004360771236749138,worst(drop2025)=0.002607 all_positive=True
large_cap,flow_only_20d,deflated_sharpe,0.6323661620240295,sr_per=0.0513 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.182
large_cap,flow_only_20d,ex_2020,0.0025892291157271654,full=0.002676 delta=-0.000087
large_cap,flow_only_20d,loyo,0.002685547392611698,worst(drop2025)=0.000966 all_positive=True
large_cap,flow_cont_20d,deflated_sharpe,0.974856433635225,sr_per=0.0815 sr0=0.0449 n_obs=2733 n_trials=60 ann_sr=0.289
large_cap,flow_cont_20d,ex_2020,0.0031858206734605233,full=0.004188 delta=-0.001002
large_cap,flow_cont_20d,loyo,0.004195819415719327,worst(drop2021)=0.001451 all_positive=True
large_cap,flow_samesign_20d,deflated_sharpe,0.9979999119146352,sr_per=0.0984 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.349
large_cap,flow_samesign_20d,ex_2020,0.005021550507078648,full=0.005441 delta=-0.000420
large_cap,flow_samesign_20d,loyo,0.005452956509101974,worst(drop2023)=0.003264 all_positive=True
large_cap,flow_turn_cont_5d,deflated_sharpe,0.01995556295012894,sr_per=0.0056 sr0=0.0449 n_obs=2734 n_trials=60 ann_sr=0.020
large_cap,flow_turn_cont_5d,ex_2020,-0.0010758336573291347,full=0.000246 delta=-0.001321
large_cap,flow_turn_cont_5d,loyo,0.00024716489060177876,worst(drop2020)=-0.001076 all_positive=False
large_cap,flow_turn_cont_20d,deflated_sharpe,0.10354064363220689,sr_per=0.0208 sr0=0.0449 n_obs=2733 n_trials=60 ann_sr=0.074
large_cap,flow_turn_cont_20d,ex_2020,-0.00035793609722300216,full=0.000916 delta=-0.001274
large_cap,flow_turn_cont_20d,loyo,0.0009174887322791315,worst(drop2021)=-0.000934 all_positive=False
