universe,score,year,ic_mean,ic_ir,ls_spread_20d,ic_n
full,flow_only_5d,2015,0.042747492805601556,0.3870018985965643,0.021711380180909158,225
full,flow_only_5d,2016,-0.029100309574410982,-0.26958534119005634,-0.0055546515006308535,244
full,flow_only_5d,2017,-0.01695174054150207,-0.1915407922159755,0.0011971168242810547,246
full,flow_only_5d,2018,0.009683990708361128,0.09931622830079469,0.00163924428777084,247
full,flow_only_5d,2019,-0.033668190503206276,-0.31056308826990436,-0.008744146094882648,242
full,flow_only_5d,2020,-0.00851230505381949,-0.11249750391879833,-0.0010414681890563854,245
full,flow_only_5d,2021,-0.008379166840184017,-0.10059078204942877,-0.0037195117702687013,184
full,flow_only_5d,2022,-0.03425398256849465,-0.40443406698289047,-0.013432123490529442,246
full,flow_only_5d,2023,0.0034008927398395824,0.04035854624989511,-0.0013898753654733448,239
full,flow_only_5d,2024,0.009297469085393615,0.1420936879620367,0.005968829892187883,242
full,flow_only_5d,2025,0.011998867684694197,0.15299611614168668,0.007753043720699501,243
full,flow_only_5d,2026,0.05375353009552686,0.8745724383722996,0.03250762974244327,80
full,flow_cont_5d,2015,0.024402063357641293,0.24566258504048372,0.0119876113778976,225
full,flow_cont_5d,2016,0.008106224130917678,0.08869865325340436,0.0048892493405119685,244
full,flow_cont_5d,2017,0.011800676946532716,0.16601660657496928,0.006525565646061878,246
full,flow_cont_5d,2018,-0.008478169708004505,-0.11515364981376157,0.00714345880755547,247
full,flow_cont_5d,2019,0.015163701996157556,0.18499983027582698,0.0057762565413559015,242
full,flow_cont_5d,2020,0.013925695672373341,0.21073387339528502,0.004081669032155587,245
full,flow_cont_5d,2021,-7.812125512374752e-05,-0.000842045088021664,0.014761716818084303,242
full,flow_cont_5d,2022,-0.0076877133424474225,-0.12258285990153714,0.0011148861444595873,246
full,flow_cont_5d,2023,0.006496970375155761,0.0968979687302798,-0.004475074562671877,239
full,flow_cont_5d,2024,-0.0026858707138136956,-0.05124944000142499,0.0019211540542567705,242
full,flow_cont_5d,2025,0.007695909002589262,0.11916583631200575,0.004250073099372947,243
full,flow_cont_5d,2026,0.038938256483398256,0.8960052765274037,0.025757024772159506,80
full,flow_samesign_5d,2015,0.052711169907971867,0.4625996266145884,0.02417427711795641,225
full,flow_samesign_5d,2016,-0.016170370097189208,-0.15608479230062777,-0.0022793560814418946,244
full,flow_samesign_5d,2017,-0.0032907859507902244,-0.038453517108722426,0.0030125352459752265,246
full,flow_samesign_5d,2018,0.014084909282385243,0.11894732150355228,0.006712146666241157,247
full,flow_samesign_5d,2019,-0.02477560313429657,-0.22527696793044466,-0.004771405440592003,242
full,flow_samesign_5d,2020,-0.00232578646285238,-0.025771194613275098,0.00861367234016584,245
full,flow_samesign_5d,2021,-0.010342022982730976,-0.11906305109207793,-0.0028064229493849104,184
full,flow_samesign_5d,2022,-0.034119935205944835,-0.35573567410030127,-0.013097243274574528,246
full,flow_samesign_5d,2023,-0.0018623325156722468,-0.01980610155991689,0.005071312320131461,239
full,flow_samesign_5d,2024,0.0036038431472780884,0.04862769597207182,0.006522452600334666,242
full,flow_samesign_5d,2025,0.015848550502532522,0.18244819669926934,0.013821077238040696,243
full,flow_samesign_5d,2026,0.05505311490307685,0.6469929533488024,0.0426225100968837,80
full,flow_only_20d,2015,0.03898472284091982,0.2698447561234928,0.02084396309570304,225
full,flow_only_20d,2016,-0.04826571449867711,-0.41348412812648017,-0.007544201743271588,244
full,flow_only_20d,2017,-0.030293452927331127,-0.3128274690924652,-0.004615331619315488,246
full,flow_only_20d,2018,0.01990136696090642,0.19013217180191963,0.007786152603102313,247
full,flow_only_20d,2019,-0.04685119275851247,-0.43818875679336305,-0.01334030935125791,242
full,flow_only_20d,2020,-0.009183509242313986,-0.11581171515308639,0.004066651525055788,245
full,flow_only_20d,2021,-0.018894580566439445,-0.33495364485760204,-0.009814036984962402,199
full,flow_only_20d,2022,-0.03829723579710894,-0.36481349883128966,-0.016968388493415486,246
full,flow_only_20d,2023,0.02798184930660358,0.34663941690304645,0.013793063570315952,239
full,flow_only_20d,2024,0.01277303236810149,0.17311955827515293,0.007724809903997056,242
full,flow_only_20d,2025,0.015124191651569543,0.19374874558581814,0.011867160567332674,243
full,flow_only_20d,2026,0.0869296425703335,0.9385403943320896,0.07117465536582028,80
full,flow_cont_20d,2015,0.03047808865028147,0.32165647619148585,0.022185394865965886,224
full,flow_cont_20d,2016,-0.016057208371500653,-0.18074068547140326,0.0011928074079817202,244
full,flow_cont_20d,2017,-0.003640324668133323,-0.04767913143905494,0.000495818176557087,246
full,flow_cont_20d,2018,0.006763832181363172,0.09656939047145398,0.004157846865645553,247
full,flow_cont_20d,2019,0.01772828755712136,0.23611601217772515,0.008387592389338356,242
full,flow_cont_20d,2020,0.017455068872084808,0.2078490922934656,0.001575916695689683,245
full,flow_cont_20d,2021,0.02467163513393422,0.29111829944393036,0.02226375732120071,244
full,flow_cont_20d,2022,0.018123854082333163,0.32199041588740207,0.004668601419298566,246
full,flow_cont_20d,2023,0.011297490167119924,0.1693261750584343,-0.0013208717765431296,239
full,flow_cont_20d,2024,0.007186101987015327,0.15227201550334732,0.006177381527491041,242
full,flow_cont_20d,2025,0.011339921710618334,0.17304687774322972,0.006260336746485743,243
full,flow_cont_20d,2026,0.08156426086227556,1.2823461607660047,0.05916756325088486,80
full,flow_samesign_20d,2015,0.049409345857231154,0.3190137163739714,0.023327893696740907,224
full,flow_samesign_20d,2016,-0.03673647087742474,-0.295571089019613,-0.0019033703054640617,244
full,flow_samesign_20d,2017,-0.02315391365845412,-0.23938381135505038,-0.00125443452041641,246
full,flow_samesign_20d,2018,0.026578968694019267,0.20677225949538527,0.010621034759423938,247
full,flow_samesign_20d,2019,-0.04797457562416686,-0.38219591386754714,-0.006455843798480066,242
full,flow_samesign_20d,2020,0.006920909615865133,0.071323349212279,0.01498987680180354,245
full,flow_samesign_20d,2021,-0.029438010720553937,-0.34531815061083326,-0.008738420684129868,199
full,flow_samesign_20d,2022,-0.05480830072154315,-0.48039068458031003,-0.021332193506543983,246
full,flow_samesign_20d,2023,0.02401377225754585,0.2628420781943592,0.0210519431533013,239
full,flow_samesign_20d,2024,0.0067503587035873,0.07841516213872804,0.010298499741505655,242
full,flow_samesign_20d,2025,0.021634119667381633,0.23430834941115838,0.020860662029525186,243
full,flow_samesign_20d,2026,0.10180705277380671,0.9340907277316717,0.09159201197983427,80
full,flow_turn_cont_5d,2015,0.019545853268866258,0.20604268457700223,0.00931631670112963,225
full,flow_turn_cont_5d,2016,0.02005487447277242,0.24012080596187418,0.0028664743210998263,244
full,flow_turn_cont_5d,2017,0.018359627072192936,0.2793868168255126,0.005511083046333673,246
full,flow_turn_cont_5d,2018,0.012431264449414775,0.17293437133646894,0.005351436506677422,247
full,flow_turn_cont_5d,2019,0.005507846758959795,0.0711757994374974,-0.0002370461332105514,242
full,flow_turn_cont_5d,2020,0.01614824816510106,0.25146606007941374,0.0057420611271402945,245
full,flow_turn_cont_5d,2021,0.009282233235995422,0.09760977366416963,0.007109523287778679,242
full,flow_turn_cont_5d,2022,0.011732807000734409,0.1697563713447864,-0.001180712167533262,246
full,flow_turn_cont_5d,2023,0.011729447854124267,0.17634924661371792,-0.005645715128416547,239
full,flow_turn_cont_5d,2024,0.008218766694105964,0.1532328454815865,-0.0005322488670452177,242
full,flow_turn_cont_5d,2025,0.011151061336840195,0.14640964962627695,-0.0009108731739497916,243
