feature,n_valid,ic_60d,ic_40d,ic_20d,hit_top_decile_60d,best_lag_60d,best_lag_ic,abs_ic_60d
buffett_indicator_us,3087,-0.370842886027649,-0.32902513330765665,-0.2813089142360017,0.22330097087378642,10,-0.3814583509041609,0.370842886027649
buffett_indicator_tw,3196,-0.34166709397565775,-0.32511182310672,-0.2819935182063474,0.29375,60,-0.3658254147325931,0.34166709397565775
tlt_spy_ratio,3196,0.3166650738593517,0.2892213534770168,0.24975272112569094,0.20249221183800623,3,0.31889250437310207,0.3166650738593517
hy_oas,890,0.2954009931043432,0.1680565490474879,0.17281155584121408,0.37362637362637363,59,0.4441473880069555,0.2954009931043432
us_buffett_strict_rank,3196,0.28897804089820095,0.28032524605565257,0.25767776485643046,0.5451713395638629,0,0.28897804089820095,0.28897804089820095
us_durable_yoy,3196,-0.2735486381967341,-0.23923969050155608,-0.1898368417989838,0.20535714285714285,1,-0.2736846613545336,0.2735486381967341
fed_bs_trillion,3196,-0.22978634526164063,-0.22704712062302235,-0.19184777197884795,0.5046153846153846,60,-0.24212379871720668,0.22978634526164063
st_louis_fsi,3196,0.2287902256022985,0.16938971121527455,0.10244283972914003,0.284375,12,0.25701619661340447,0.2287902256022985
buffett_rank_tw,3196,-0.22112239710745388,-0.17673078234342296,-0.10397672293116682,0.2125,60,-0.33908792574953195,0.22112239710745388
margin_to_index_ratio,3196,0.19163130463070915,0.2006765972703871,0.20370156921567348,0.03115264797507788,3,0.19247554612730938,0.19163130463070915
foreign_holding_chg_4w,3173,0.18336466904924464,0.16149645257784398,0.10977322493314907,0.22327044025157233,16,0.20250836981201528,0.18336466904924464
us_claims_ma4,3196,0.18118462950184444,0.13415574400120825,0.09130377005230073,0.30606060606060603,0,0.18118462950184444,0.18118462950184444
us_claims_yoy,3196,0.17689917506056593,0.12397155710072619,0.07726665669152664,0.22429906542056074,57,0.22360373044391874,0.17689917506056593
buffett_rank_us,2779,-0.1645192515603655,-0.10293327767289857,-0.07641156250144837,0.15412186379928317,21,-0.23820263083914106,0.1645192515603655
short_to_long_ratio,3196,0.15830490940450423,0.2063066542614936,0.1397839821668445,0.40625,58,0.1805491462860677,0.15830490940450423
margin_ratio_z_252d,2877,0.1578533782141137,0.1449225406467719,0.1600549249290009,0.1875,13,0.16484091062547793,0.1578533782141137
us_buffett_strict,3196,-0.15631412482444682,-0.1422900970009394,-0.12731895311434513,0.18478260869565216,60,-0.37646548006976666,0.15631412482444682
hy_oas_rank,638,0.15538972029127765,-0.07841746203942182,-0.11447715571724026,0.203125,60,0.48430287534292965,0.15538972029127765
us_sent_yoy,3196,0.15324269833442944,0.17324282077377076,0.19269313372754604,0.3323262839879154,0,0.15324269833442944,0.15324269833442944
yield_curve_10y_2y,3196,0.15088648049797154,0.12463570896754045,0.1104331758217538,0.17901234567901234,0,0.15088648049797154,0.15088648049797154
hyg_to_lqd_ratio,3196,-0.14637084809561038,-0.14268013861032017,-0.13953817607158095,0.25625,2,-0.14671227211665913,0.14637084809561038
vix_close,3196,-0.12915615261490515,-0.1640379198326389,-0.21057534993872104,0.265625,0,-0.12915615261490515,0.12915615261490515
chicago_anfci,3196,0.12410210687381405,0.04589787689152933,-0.014788962875464485,0.32142857142857145,17,0.16190847701586247,0.12410210687381405
us_unemp_chg_12m,3196,0.10369833548975212,0.04701819940559651,-0.019965039801585382,0.33126934984520123,31,0.17940824439535302,0.10369833548975212
chicago_nfci,3196,0.09747503196135587,0.01404251351676561,-0.06914321981642188,0.20765027322404372,24,0.15529892149487665,0.09747503196135587
