stage,signal,horizon,n,mean_fwd,mean_car,t_car,median_car,win_rate,is_window,oos_year,is_n,is_car10,is_t,oos_n,oos_car10,oos_t,oos_sign_positive,regime,vol_regime,car_10d_mean,t_car_10d,metric,value,scope,trigger_car10,baseline_car10,edge_over_baseline,t_trigger
1_alpha,S1_no_response,1.0,14264.0,0.004464823183401058,0.002552249245526079,11.64684078358945,0.00047961934692669996,0.5110067302299495,,,,,,,,,,,,,,,,,,,,
1_alpha,S1_no_response,5.0,14264.0,0.010191862038994233,0.008612538772770155,15.961196223909877,0.003017727459648,0.530323213910117,,,,,,,,,,,,,,,,,,,,
1_alpha,S1_no_response,10.0,14264.0,0.025091167672397763,0.013141666017156477,17.860349909232635,0.0017991576916541,0.5131459019841548,,,,,,,,,,,,,,,,,,,,
1_alpha,S1_no_response,20.0,14264.0,0.04370028173461215,0.018891358233162753,17.037684247228132,-0.0006349484328166,0.49723059664867136,,,,,,,,,,,,,,,,,,,,
1_alpha,S2_intraday_fade,1.0,4463.0,0.004741415962126927,0.0018099532460575207,4.463141105340857,0.0005769453298672,0.5122115169168721,,,,,,,,,,,,,,,,,,,,
1_alpha,S2_intraday_fade,5.0,4463.0,0.0038536685200198316,0.00415852609376933,3.955430107105581,-0.0002725433835256,0.49787138695944433,,,,,,,,,,,,,,,,,,,,
1_alpha,S2_intraday_fade,10.0,4463.0,0.02558911079399931,0.010312071429809336,7.674706954729686,-0.0009187989951149,0.49316603181716334,,,,,,,,,,,,,,,,,,,,
1_alpha,S2_intraday_fade,20.0,4463.0,0.050393287501637955,0.02181689481748446,10.185132794638076,-0.0014911252535028,0.4929419672865785,,,,,,,,,,,,,,,,,,,,
1_alpha,S3_t1_breakdown,1.0,1176.0,0.00651151603071017,0.0031746058440935594,3.686731590953019,0.0014446654633283999,0.5306122448979592,,,,,,,,,,,,,,,,,,,,
1_alpha,S3_t1_breakdown,5.0,1176.0,0.02943507263446845,0.0216613646112768,10.034345680876342,0.01106433125264295,0.6181972789115646,,,,,,,,,,,,,,,,,,,,
1_alpha,S3_t1_breakdown,10.0,1176.0,0.026360142524503236,0.023831771297174918,7.781687756226463,0.0051200305512965,0.5425170068027211,,,,,,,,,,,,,,,,,,,,
1_alpha,S3_t1_breakdown,20.0,1176.0,0.06317757589583144,0.02891118766681159,7.517275165488921,0.0072624681071423,0.5340136054421769,,,,,,,,,,,,,,,,,,,,
1_alpha,BASELINE_bear_volhigh,1.0,83027.0,0.004103163790391464,0.002588765807669768,29.664839831021023,0.0004353692864225156,0.5098221060618835,,,,,,,,,,,,,,,,,,,,
1_alpha,BASELINE_bear_volhigh,5.0,83027.0,0.009872245551185516,0.007106865157075401,36.08461472568188,0.0017395829919178984,0.5187652060800231,,,,,,,,,,,,,,,,,,,,
1_alpha,BASELINE_bear_volhigh,10.0,83027.0,0.02107090747376201,0.011378417985198749,41.38662765881673,0.0020674381596722524,0.5160979487611866,,,,,,,,,,,,,,,,,,,,
1_alpha,BASELINE_bear_volhigh,20.0,83027.0,0.0422921684872982,0.016176272875560865,39.745321720666425,2.2522151009507496e-05,0.5001084076126234,,,,,,,,,,,,,,,,,,,,
2_walkforward,S1_no_response,,,,,,,,2015-2017,2018.0,1692.0,0.03992463487469124,18.476125183385044,393.0,0.000633216536200235,0.18313885869549887,1.0,,,,,,,,,,,
2_walkforward,S2_intraday_fade,,,,,,,,2015-2017,2018.0,371.0,0.042279955456872485,8.61719971745491,128.0,0.0007686861132743792,0.12460042685072137,1.0,,,,,,,,,,,
2_walkforward,S3_t1_breakdown,,,,,,,,2015-2017,2018.0,37.0,0.032957582998035785,1.789212079394641,46.0,-0.006327682080173699,-0.6274200734426284,0.0,,,,,,,,,,,
2_walkforward,S1_no_response,,,,,,,,2016-2018,2019.0,553.0,0.009607840789834203,2.756151654652075,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S2_intraday_fade,,,,,,,,2016-2018,2019.0,157.0,0.004152320996555073,0.6458731118546706,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S3_t1_breakdown,,,,,,,,2016-2018,2019.0,48.0,-0.006588028857654437,-0.6812382908832612,0.0,,,0.0,,,,,,,,,,,
2_walkforward,S1_no_response,,,,,,,,2017-2019,2020.0,393.0,0.000633216536200235,0.18313885869549887,3202.0,0.027276308928876215,15.335113409960977,1.0,,,,,,,,,,,
2_walkforward,S2_intraday_fade,,,,,,,,2017-2019,2020.0,128.0,0.0007686861132743792,0.12460042685072137,1239.0,0.029512886791831037,10.681044429190344,1.0,,,,,,,,,,,
