threshold,horizon,n,mean_ret,rest_mean_ret,diff,win_rate,sharpe
>=-1,5d,133503,0.441,0.411,0.029,49.9,0.522
>=-1,10d,132841,0.856,0.798,0.058,50.9,0.503
>=-1,20d,131461,1.753,1.717,0.036,51.7,0.499
>=-1,40d,128793,3.54,3.549,-0.009,52.3,0.475
>=-1,60d,126219,5.212,5.898,-0.686,52.6,0.44
>=0,5d,127473,0.513,0.193,0.321,50.2,0.609
>=0,10d,126811,0.983,0.414,0.569,51.3,0.58
>=0,20d,125431,1.937,1.156,0.781,52.0,0.551
>=0,40d,122763,3.846,2.61,1.236,52.8,0.512
>=0,60d,120189,5.829,3.896,1.933,53.7,0.489
>=1,5d,83104,0.663,0.214,0.449,50.6,0.744
>=1,10d,82589,1.257,0.443,0.814,51.8,0.698
>=1,20d,81424,2.538,0.984,1.554,53.2,0.675
>=1,40d,79182,5.48,1.705,3.775,55.7,0.681
>=1,60d,77058,8.517,2.391,6.126,57.9,0.67
>=2,5d,52523,0.848,0.248,0.6,50.8,0.88
>=2,10d,52148,1.61,0.498,1.112,52.3,0.83
>=2,20d,51333,3.184,1.102,2.082,53.8,0.791
>=2,40d,49716,6.469,2.254,4.215,55.9,0.739
>=2,60d,48219,9.624,3.501,6.124,57.7,0.696
