horizon,w_rvol,w_trigger,w_quality,w_trend,mean_ret,win_rate,sharpe,n_days
20d,0,0,100,0,3.21,74.2,1.8,889
20d,0,0,90,10,3.256,74.7,1.781,889
20d,0,0,80,20,3.264,74.0,1.757,889
20d,0,0,70,30,3.29,73.2,1.754,889
20d,0,0,60,40,3.345,73.1,1.786,889
20d,0,0,50,50,3.362,74.0,1.794,889
20d,0,0,40,60,3.371,73.1,1.78,889
20d,0,10,90,0,3.282,74.5,1.83,889
20d,0,10,80,10,3.43,75.0,1.885,889
20d,0,10,70,20,3.382,73.7,1.826,889
20d,0,10,60,30,3.39,72.9,1.801,889
20d,0,10,50,40,3.465,73.7,1.828,889
20d,0,10,40,50,3.531,73.8,1.864,889
20d,0,10,30,60,3.607,74.4,1.889,889
20d,0,20,80,0,3.333,73.1,1.866,889
20d,0,20,70,10,3.41,72.8,1.872,889
20d,0,20,60,20,3.523,73.8,1.9,889
20d,0,20,50,30,3.644,74.1,1.931,889
20d,0,20,40,40,3.569,73.2,1.877,889
20d,0,20,30,50,3.611,74.5,1.885,889
20d,0,20,20,60,3.642,74.9,1.923,889
20d,0,30,70,0,3.324,73.0,1.849,889
20d,0,30,60,10,3.48,73.5,1.882,889
20d,0,30,50,20,3.55,73.0,1.883,889
20d,0,30,40,30,3.571,74.0,1.881,889
20d,0,30,30,40,3.624,74.6,1.921,889
20d,0,30,20,50,3.59,74.7,1.873,889
20d,0,30,10,60,3.429,73.8,1.781,889
20d,0,40,60,0,3.332,73.5,1.828,889
20d,0,40,50,10,3.414,73.6,1.853,889
20d,0,40,40,20,3.56,74.1,1.896,889
20d,0,40,30,30,3.559,74.2,1.886,889
20d,0,40,20,40,3.575,74.7,1.869,889
20d,0,40,10,50,3.416,73.9,1.758,889
20d,0,40,0,60,3.158,70.8,1.625,889
20d,0,50,50,0,3.333,73.1,1.827,889
20d,0,50,40,10,3.392,73.9,1.847,889
20d,0,50,30,20,3.397,73.5,1.818,889
20d,0,50,20,30,3.373,73.9,1.792,889
20d,0,50,10,40,3.325,73.0,1.722,889
20d,0,50,0,50,3.192,70.9,1.634,889
20d,0,60,40,0,3.337,72.9,1.83,889
20d,0,60,30,10,3.278,73.2,1.785,889
20d,0,60,20,20,3.229,73.9,1.754,889
20d,0,60,10,30,3.251,72.6,1.706,889
20d,0,60,0,40,3.193,71.2,1.644,889
20d,10,0,90,0,3.088,74.0,1.734,889
20d,10,0,80,10,3.143,74.8,1.745,889
20d,10,0,70,20,3.131,74.4,1.709,889
20d,10,0,60,30,3.108,73.5,1.669,889
20d,10,0,50,40,3.181,72.7,1.704,889
20d,10,0,40,50,3.289,73.8,1.757,889
20d,10,0,30,60,3.31,73.5,1.764,889
20d,10,10,80,0,3.166,74.7,1.794,889
20d,10,10,70,10,3.25,74.5,1.81,889
20d,10,10,60,20,3.34,73.9,1.819,889
20d,10,10,50,30,3.342,74.5,1.78,889
20d,10,10,40,40,3.373,73.6,1.799,889
20d,10,10,30,50,3.372,73.7,1.796,889
20d,10,10,20,60,3.349,73.1,1.776,889
20d,10,20,70,0,3.216,74.0,1.813,889
20d,10,20,60,10,3.322,73.7,1.84,889
20d,10,20,50,20,3.382,73.0,1.814,889
20d,10,20,40,30,3.394,73.7,1.805,889
20d,10,20,30,40,3.446,73.5,1.825,889
20d,10,20,20,50,3.396,72.9,1.804,889
20d,10,20,10,60,3.153,71.7,1.694,889
20d,10,30,60,0,3.18,73.8,1.771,889
20d,10,30,50,10,3.354,73.6,1.829,889
20d,10,30,40,20,3.423,73.2,1.839,889
20d,10,30,30,30,3.431,74.1,1.818,889
20d,10,30,20,40,3.39,74.0,1.8,889
20d,10,30,10,50,3.176,71.8,1.695,889
20d,10,30,0,60,2.873,69.9,1.522,889
20d,10,40,50,0,3.191,72.9,1.77,889
20d,10,40,40,10,3.294,73.2,1.789,889
20d,10,40,30,20,3.252,73.7,1.751,889
20d,10,40,20,30,3.268,74.1,1.763,889
20d,10,40,10,40,3.157,72.1,1.677,889
20d,10,40,0,50,2.996,71.0,1.579,889
20d,10,50,40,0,3.199,72.4,1.76,889
20d,10,50,30,10,3.175,73.5,1.741,889
20d,10,50,20,20,3.145,73.3,1.717,889
20d,10,50,10,30,3.109,72.6,1.677,889
20d,10,50,0,40,2.986,70.6,1.566,889
20d,10,60,30,0,3.129,72.9,1.745,889
20d,10,60,20,10,3.037,72.3,1.699,889
20d,10,60,10,20,2.966,71.9,1.642,889
20d,10,60,0,30,2.912,70.0,1.569,889
20d,20,0,80,0,2.902,73.3,1.651,889
20d,20,0,70,10,2.914,74.0,1.654,889
20d,20,0,60,20,2.99,73.5,1.654,889
20d,20,0,50,30,3.061,72.8,1.657,889
20d,20,0,40,40,3.017,73.1,1.629,889
20d,20,0,30,50,2.912,71.7,1.57,889
20d,20,0,20,60,2.866,72.1,1.561,889
20d,20,10,70,0,2.9,72.7,1.653,889
20d,20,10,60,10,2.938,71.8,1.653,889
20d,20,10,50,20,3.036,72.0,1.675,889
20d,20,10,40,30,2.997,72.8,1.646,889
20d,20,10,30,40,3.084,72.2,1.668,889
20d,20,10,20,50,2.968,71.8,1.615,889
20d,20,10,10,60,2.736,70.8,1.506,889
20d,20,20,60,0,2.947,71.8,1.669,889
20d,20,20,50,10,3.142,72.3,1.728,889
20d,20,20,40,20,3.14,72.6,1.705,889
20d,20,20,30,30,3.151,73.3,1.693,889
20d,20,20,20,40,3.058,72.3,1.638,889
20d,20,20,10,50,2.825,70.5,1.532,889
20d,20,20,0,60,2.551,69.0,1.399,889
20d,20,30,50,0,3.021,72.4,1.696,889
20d,20,30,40,10,3.116,72.8,1.698,889
20d,20,30,30,20,3.148,73.2,1.703,889
20d,20,30,20,30,3.057,73.0,1.658,889
20d,20,30,10,40,2.861,70.2,1.55,889
20d,20,30,0,50,2.676,69.9,1.459,889
20d,20,40,40,0,3.045,72.7,1.697,889
20d,20,40,30,10,3.104,72.7,1.714,889
20d,20,40,20,20,3.04,72.6,1.674,889
20d,20,40,10,30,2.861,70.4,1.568,889
20d,20,40,0,40,2.634,70.2,1.445,889
20d,20,50,30,0,2.928,72.1,1.645,889
20d,20,50,20,10,2.87,71.4,1.627,889
20d,20,50,10,20,2.782,71.1,1.561,889
20d,20,50,0,30,2.611,69.5,1.449,889
20d,20,60,20,0,2.674,70.4,1.537,889
20d,20,60,10,10,2.612,69.6,1.496,889
20d,20,60,0,20,2.444,68.7,1.386,889
20d,30,0,70,0,2.581,72.1,1.495,889
20d,30,0,60,10,2.543,70.8,1.469,889
20d,30,0,50,20,2.658,71.7,1.492,889
20d,30,0,40,30,2.727,71.2,1.502,889
20d,30,0,30,40,2.778,71.8,1.527,889
20d,30,0,20,50,2.666,70.9,1.463,889
20d,30,0,10,60,2.509,69.9,1.394,889
20d,30,10,60,0,2.658,71.5,1.523,889
20d,30,10,50,10,2.699,71.9,1.532,889
20d,30,10,40,20,2.779,71.7,1.556,889
20d,30,10,30,30,2.836,71.9,1.578,889
20d,30,10,20,40,2.689,70.8,1.496,889
20d,30,10,10,50,2.493,69.4,1.39,889
20d,30,10,0,60,2.408,67.7,1.348,889
20d,30,20,50,0,2.853,71.5,1.612,889
20d,30,20,40,10,2.834,71.8,1.586,889
20d,30,20,30,20,2.81,72.1,1.556,889
20d,30,20,20,30,2.737,71.1,1.52,889
20d,30,20,10,40,2.59,69.1,1.428,889
20d,30,20,0,50,2.426,68.1,1.345,889
20d,30,30,40,0,2.862,70.6,1.585,889
20d,30,30,30,10,2.834,71.2,1.569,889
20d,30,30,20,20,2.685,70.6,1.491,889
20d,30,30,10,30,2.576,69.9,1.431,889
20d,30,30,0,40,2.466,68.7,1.372,889
20d,30,40,30,0,2.747,70.3,1.539,889
20d,30,40,20,10,2.632,70.8,1.484,889
20d,30,40,10,20,2.559,70.0,1.441,889
20d,30,40,0,30,2.419,68.7,1.366,889
20d,30,50,20,0,2.522,70.1,1.45,889
20d,30,50,10,10,2.422,69.0,1.392,889
20d,30,50,0,20,2.354,67.9,1.353,889
20d,30,60,10,0,2.366,67.7,1.376,889
20d,30,60,0,10,2.273,67.2,1.315,889
20d,40,0,60,0,2.407,70.1,1.401,889
20d,40,0,50,10,2.424,70.3,1.408,889
20d,40,0,40,20,2.537,71.0,1.458,889
20d,40,0,30,30,2.609,70.3,1.482,889
20d,40,0,20,40,2.552,70.3,1.428,889
20d,40,0,10,50,2.381,68.8,1.34,889
20d,40,0,0,60,2.24,67.3,1.269,889
20d,40,10,50,0,2.6,70.8,1.5,889
20d,40,10,40,10,2.574,70.8,1.487,889
20d,40,10,30,20,2.597,71.4,1.481,889
20d,40,10,20,30,2.573,70.6,1.443,889
20d,40,10,10,40,2.367,69.0,1.339,889
20d,40,10,0,50,2.317,67.3,1.309,889
20d,40,20,40,0,2.612,70.9,1.498,889
20d,40,20,30,10,2.547,71.1,1.456,889
20d,40,20,20,20,2.544,70.1,1.441,889
20d,40,20,10,30,2.451,69.7,1.381,889
20d,40,20,0,40,2.294,68.4,1.303,889
20d,40,30,30,0,2.584,70.2,1.477,889
20d,40,30,20,10,2.496,69.7,1.416,889
20d,40,30,10,20,2.424,67.6,1.367,889
20d,40,30,0,30,2.307,67.5,1.297,889
20d,40,40,20,0,2.413,69.6,1.385,889
20d,40,40,10,10,2.35,67.8,1.35,889
20d,40,40,0,20,2.259,67.8,1.297,889
20d,40,50,10,0,2.266,68.1,1.322,889
20d,40,50,0,10,2.189,67.8,1.281,889
20d,40,60,0,0,2.106,67.3,1.245,889
20d,50,0,50,0,2.445,70.6,1.429,889
20d,50,0,40,10,2.421,69.7,1.409,889
20d,50,0,30,20,2.444,70.9,1.418,889
20d,50,0,20,30,2.436,70.2,1.401,889
20d,50,0,10,40,2.304,68.5,1.317,889
20d,50,0,0,50,2.189,67.4,1.252,889
20d,50,10,40,0,2.478,70.8,1.452,889
20d,50,10,30,10,2.453,70.1,1.43,889
20d,50,10,20,20,2.41,70.1,1.396,889
20d,50,10,10,30,2.345,69.3,1.348,889
20d,50,10,0,40,2.206,67.8,1.274,889
20d,50,20,30,0,2.375,69.7,1.382,889
20d,50,20,20,10,2.328,68.1,1.347,889
20d,50,20,10,20,2.26,67.9,1.3,889
20d,50,20,0,30,2.163,67.0,1.25,889
20d,50,30,20,0,2.263,69.1,1.32,889
20d,50,30,10,10,2.212,66.7,1.277,889
20d,50,30,0,20,2.107,67.0,1.231,889
20d,50,40,10,0,2.151,67.9,1.273,889
20d,50,40,0,10,2.102,67.3,1.235,889
20d,50,50,0,0,2.021,67.0,1.2,889
20d,60,0,40,0,2.327,69.7,1.382,889
20d,60,0,30,10,2.37,69.3,1.382,889
20d,60,0,20,20,2.347,69.2,1.362,889
20d,60,0,10,30,2.234,68.3,1.288,889
20d,60,0,0,40,2.153,67.0,1.256,889
20d,60,10,30,0,2.278,70.1,1.35,889
20d,60,10,20,10,2.217,69.1,1.299,889
20d,60,10,10,20,2.18,67.8,1.27,889
20d,60,10,0,30,2.084,67.2,1.215,889
20d,60,20,20,0,2.153,67.6,1.271,889
20d,60,20,10,10,2.066,67.2,1.221,889
20d,60,20,0,20,2.028,66.3,1.205,889
20d,60,30,10,0,2.071,66.7,1.231,889
20d,60,30,0,10,1.974,66.9,1.183,889
20d,60,40,0,0,1.95,66.7,1.177,889
40d,0,0,100,0,6.662,81.2,1.808,869
40d,0,0,90,10,6.877,81.2,1.861,869
40d,0,0,80,20,6.971,80.6,1.857,869
40d,0,0,70,30,7.067,80.8,1.824,869
40d,0,0,60,40,7.363,80.7,1.891,869
40d,0,0,50,50,7.472,80.7,1.918,869
40d,0,0,40,60,7.432,80.6,1.89,869
40d,0,10,90,0,6.837,82.3,1.865,869
40d,0,10,80,10,7.2,82.9,1.949,869
40d,0,10,70,20,7.161,81.5,1.894,869
40d,0,10,60,30,7.369,80.6,1.911,869
40d,0,10,50,40,7.444,80.3,1.927,869
40d,0,10,40,50,7.64,81.4,1.966,869
40d,0,10,30,60,7.65,81.2,1.969,869
40d,0,20,80,0,6.852,81.8,1.892,869
40d,0,20,70,10,7.023,81.8,1.899,869
40d,0,20,60,20,7.34,81.6,1.932,869
40d,0,20,50,30,7.578,80.9,1.964,869
40d,0,20,40,40,7.471,80.1,1.941,869
40d,0,20,30,50,7.485,80.0,1.951,869
40d,0,20,20,60,7.449,80.2,1.962,869
40d,0,30,70,0,6.694,81.0,1.871,869
40d,0,30,60,10,6.928,81.4,1.9,869
40d,0,30,50,20,7.1,80.7,1.915,869
40d,0,30,40,30,7.133,79.9,1.882,869
40d,0,30,30,40,7.297,79.7,1.909,869
40d,0,30,20,50,7.146,78.9,1.884,869
40d,0,30,10,60,6.751,78.7,1.789,869
40d,0,40,60,0,6.608,79.4,1.844,869
40d,0,40,50,10,6.779,79.5,1.849,869
40d,0,40,40,20,7.011,80.1,1.892,869
40d,0,40,30,30,6.945,78.6,1.84,869
40d,0,40,20,40,6.866,79.3,1.801,869
40d,0,40,10,50,6.588,78.1,1.722,869
40d,0,40,0,60,6.108,76.3,1.598,869
40d,0,50,50,0,6.584,80.6,1.848,869
40d,0,50,40,10,6.671,78.8,1.857,869
40d,0,50,30,20,6.583,78.4,1.81,869
40d,0,50,20,30,6.484,78.1,1.75,869
40d,0,50,10,40,6.401,77.2,1.688,869
40d,0,50,0,50,6.143,75.8,1.603,869
40d,0,60,40,0,6.522,79.3,1.841,869
40d,0,60,30,10,6.319,77.9,1.802,869
