pool,signal,horizon,d1,d10,spread,monotonicity
all,composite_z,20,0.00951476587237853,0.009353751113149043,-0.00016101475922948756,-0.18787878787878787
all,composite_z,60,0.025230505128582766,0.02643940213142975,0.0012088970028469835,-0.07878787878787878
all,retail_exit_20d,20,0.017611755966060107,0.00922013162087987,-0.008391624345180237,-0.9636363636363635
all,retail_exit_20d,60,0.04284888065490574,0.026252793234663133,-0.016596087420242607,-0.9515151515151514
all,dual_buy_strength,20,0.007234026048113443,0.01042490115310991,0.0031908751049964674,0.32121212121212117
all,dual_buy_strength,60,0.01900961003864827,0.027718830055604413,0.008709220016956145,0.309090909090909
quality,composite_z,20,0.017306697703471118,0.01811517550328178,0.000808477799810664,-0.2121212121212121
quality,composite_z,60,0.041632713267590195,0.044416644808477644,0.0027839315408874493,-0.22424242424242422
quality,retail_exit_20d,20,0.026268049701088335,0.01591789756779824,-0.010350152133290096,-0.9272727272727272
quality,retail_exit_20d,60,0.05809906347348106,0.03984526382997062,-0.01825379964351044,-0.8424242424242423
quality,dual_buy_strength,20,0.013645750266485679,0.019540682578215243,0.005894932311729564,0.3939393939393939
quality,dual_buy_strength,60,0.03624320903643154,0.05061025453161402,0.01436704549518248,-0.006060606060606061
