pool,horizon,n_cand,mu_cand,mu_rest,spread,t,p,win_cand
all,5,25115,0.0021797540913668927,0.0030230799799218946,-0.000843325888555002,-2.2114749787549273,0.027011713514740982,47.55723671112881
all,10,25012,0.0034959614283365287,0.0058576720626053016,-0.002361710634268773,-4.4154654266812425,1.0120425529200653e-05,47.988965296657604
all,20,24752,0.0068062763085311034,0.011499725036781603,-0.004693448728250499,-6.032357513847144,1.6381698955530798e-09,46.25484809308339
all,40,24367,0.014386389313182374,0.021483798857154655,-0.007097409543972281,-6.131207536191169,8.851884384553458e-10,45.955595682685605
all,60,24096,0.02257817547042095,0.03012440085978142,-0.007546225389360468,-5.1240053981026605,3.013580763416633e-07,46.53054448871182
quality,5,8849,0.004639106719162238,0.0053142665446052895,-0.0006751598254430514,-0.983586120534224,0.32534496958663994,48.86427844954232
quality,10,8803,0.007805442794153073,0.010391224153803615,-0.0025857813596505417,-2.6317675877077296,0.008508464098550668,49.16505736680677
quality,20,8724,0.015433969707413975,0.020127790549545346,-0.004693820842131371,-3.237558180319856,0.0012099116842722933,47.52407152682256
quality,40,8589,0.03371830907750648,0.03667103966887924,-0.002952730591372757,-1.3426810234653785,0.17940949969646952,49.70310862731401
quality,60,8449,0.047146189566186006,0.04992952384913093,-0.002783334282944923,-1.0504872771551639,0.2935230250149607,51.04746123801633
