pool,signal,horizon,mean,ir,t,p,win,n
all,retail_exit_20d,5,0.009488106426276243,0.17701230509983545,6.230732563529125,6.351423831318925e-10,55.932203389830505,1239
all,retail_exit_20d,10,0.00971839826154784,0.18610581361361422,6.537587578320392,9.132050671212255e-11,55.59157212317666,1234
all,retail_exit_20d,20,0.008449462230562109,0.1619564789269058,5.6661626260878855,1.819437578376437e-08,54.90196078431373,1224
all,retail_exit_20d,40,0.006313062554522849,0.12753314400335006,4.425234705022162,1.050696043014554e-05,53.32225913621262,1204
all,retail_exit_20d,60,0.0013842628586049708,0.029472947815072346,1.0141435347353025,0.3107216350319888,50.50675675675676,1184
all,retail_exit_5d,5,0.006537756130857514,0.13054936927227642,4.615617214602668,4.323415866203106e-06,55.60000000000001,1250
all,retail_exit_5d,10,0.004074056437485075,0.08343392346482446,2.9439290723443157,0.003300913132362915,50.76305220883535,1245
all,retail_exit_5d,20,0.00416016610456572,0.08670855755841801,3.04716127453388,0.0023592172866768735,50.12145748987854,1235
all,retail_exit_5d,40,0.00323258448404098,0.06959441903150211,2.4258422330818936,0.01541788122930976,49.135802469135804,1215
all,retail_exit_5d,60,0.0011745729981594544,0.02796594305234842,0.9667483101172705,0.33386563997956387,48.36820083682009,1195
all,dual_buy_strength,5,0.00284577319446205,0.05407490967231517,1.9118367660672044,0.05612574606527354,51.44,1250
all,dual_buy_strength,10,0.0004379272893901415,0.00894786866003978,0.3157215864949149,0.7522667992621077,51.325301204819276,1245
all,dual_buy_strength,20,-0.004946694098677664,-0.10273624449670637,-3.610415333117436,0.0003179648949460656,44.45344129554656,1235
all,dual_buy_strength,40,-0.003769117969027794,-0.08048203843399002,-2.8053503507130175,0.00510641055968275,45.925925925925924,1215
all,dual_buy_strength,60,-0.002511357143446241,-0.05139946615044562,-1.7768164280696563,0.075853000291352,47.94979079497908,1195
all,dual_sync,5,,,,,,0
all,dual_sync,10,,,,,,0
all,dual_sync,20,,,,,,0
all,dual_sync,40,,,,,,0
all,dual_sync,60,,,,,,0
all,composite_z,5,0.008209902816388498,0.14600059859704803,5.139138115061004,3.2043906550427437e-07,54.72154963680388,1239
all,composite_z,10,0.006340857312125231,0.11964464890586572,4.2029174441774275,2.8250170426513677e-05,54.53808752025932,1234
all,composite_z,20,0.0014876417253229604,0.02933723680558564,1.0263840992463291,0.30491352679467654,51.79738562091504,1224
all,composite_z,40,0.0017038624658210013,0.035609969893807526,1.2356197743759223,0.2168411627739113,52.159468438538205,1204
all,composite_z,60,0.0021974360520718573,0.047448632214736566,1.6326742711497644,0.10280363749501675,53.29391891891891,1184
quality,retail_exit_20d,5,-0.0007234054554075523,-0.01005037869538222,-0.3537676195889252,0.7235732790845677,46.65052461662631,1239
quality,retail_exit_20d,10,-0.003138582415658929,-0.04612077462006031,-1.6201460739137474,0.10545660704714299,46.677471636953,1234
quality,retail_exit_20d,20,-0.0027631087892560596,-0.04285580343362286,-1.4993407694184058,0.1340433284777851,47.05882352941176,1224
quality,retail_exit_20d,40,0.0007148738516154948,0.011005269046890144,0.3818685636976468,0.7026263008970064,49.584717607973424,1204
quality,retail_exit_20d,60,-0.004285720408701405,-0.0694217573960703,-2.3887541509228756,0.017061617715540933,46.62162162162162,1184
quality,retail_exit_5d,5,-0.0011390739091410623,-0.015763955480628217,-0.5573399909337527,0.5773950212281593,48.96,1250
quality,retail_exit_5d,10,-0.005201113408669989,-0.07359527743352709,-2.5967768004479495,0.009521273051214418,44.81927710843374,1245
quality,retail_exit_5d,20,-0.007235516115753857,-0.10602936809786463,-3.7261441491912395,0.0002032241735632212,44.8582995951417,1235
quality,retail_exit_5d,40,-0.002352154608092365,-0.034680316814930785,-1.2088466051888158,0.22695717016933958,46.25514403292181,1215
quality,retail_exit_5d,60,-0.002502991534775124,-0.03911269922109484,-1.3520779830431382,0.17660641231693996,47.61506276150628,1195
quality,dual_buy_strength,5,0.005537377085307449,0.07181855082369693,2.53916921512134,0.011232084885807625,51.92,1250
quality,dual_buy_strength,10,0.004415153703158125,0.05922488795335568,2.08972396612423,0.036845302435163374,51.16465863453815,1245
quality,dual_buy_strength,20,-0.0006595594399245856,-0.009159215543581962,-0.32187834390750003,0.7475993760251418,48.906882591093115,1235
quality,dual_buy_strength,40,0.003589199636772575,0.04881363177829444,1.7014894465071193,0.08910717499181664,50.699588477366255,1215
quality,dual_buy_strength,60,0.004639230592268399,0.06015856728934643,2.0796077985708394,0.03777447891464636,51.12970711297071,1195
quality,dual_sync,5,,,,,,0
quality,dual_sync,10,,,,,,0
quality,dual_sync,20,,,,,,0
quality,dual_sync,40,,,,,,0
quality,dual_sync,60,,,,,,0
quality,composite_z,5,0.00827199906003218,0.11410580368048918,4.01645945618696,6.263448459886689e-05,52.46166263115416,1239
quality,composite_z,10,0.006153043478853407,0.08827550841489692,3.100971732572088,0.0019726189781810177,53.24149108589952,1234
quality,composite_z,20,0.004811851911894409,0.07400956053166656,2.5892771233127347,0.009731947249797868,54.166666666666664,1224
quality,composite_z,40,0.009004757779533558,0.13008475518006,4.513772303786313,6.992997335419915e-06,54.81727574750831,1204
quality,composite_z,60,0.0076671119455993,0.10983307200687012,3.779279241926444,0.00016512141978752837,52.78716216216216,1184
