pool,signal,horizon,year,mean,n,win
all,composite_z,20,2021,-0.0018682945642972092,160,44.375
all,composite_z,20,2022,-0.005072873059777443,246,52.4390243902439
all,composite_z,20,2023,0.0022773658800806537,239,51.88284518828452
all,composite_z,20,2024,0.002369504566785102,242,53.30578512396694
all,composite_z,20,2025,0.005059237389888523,243,47.73662551440329
all,composite_z,20,2026,0.01085768232493538,94,69.14893617021278
all,composite_z,60,2021,0.009010139894162,160,60.0
all,composite_z,60,2022,-0.014881080392242391,246,37.80487804878049
all,composite_z,60,2023,0.011269477874552722,239,59.41422594142259
all,composite_z,60,2024,0.00018137520672321136,242,50.413223140495866
all,composite_z,60,2025,-2.429647396293087e-05,243,57.20164609053497
all,composite_z,60,2026,0.03869432796679004,54,72.22222222222221
quality,composite_z,20,2021,0.006484404949541547,160,55.00000000000001
quality,composite_z,20,2022,-0.008550728645655304,246,47.5609756097561
quality,composite_z,20,2023,0.009812934735029772,239,53.55648535564853
quality,composite_z,20,2024,0.005628019412760851,242,58.67768595041323
quality,composite_z,20,2025,0.002977689207713501,243,51.440329218106996
quality,composite_z,20,2026,0.026859900191794576,94,67.02127659574468
quality,composite_z,60,2021,0.024371834209008087,160,66.875
quality,composite_z,60,2022,-0.016109198849100878,246,39.02439024390244
quality,composite_z,60,2023,0.014786433270377198,239,56.48535564853556
quality,composite_z,60,2024,0.0029798545792353564,242,49.17355371900827
quality,composite_z,60,2025,0.010142999955657315,243,55.96707818930041
quality,composite_z,60,2026,0.04484071551865293,54,59.25925925925925
