liquidity,decile,n_obs,fwd_20d_mean,fwd_20d_median,fwd_20d_p95,fwd_20d_p99,fwd_20d_win,fwd_10d_mean,avg_amount_med_ntd,amt_pct_rank_med,frac_ret_gt30pct
all,1,544060,0.006074265181473903,0.0,0.09002211848004717,0.21708055550244118,0.4835183619453737,0.0029313884125985535,2340333.7200000007,0.25712640201437686,0.005832077344410543
all,2,541722,0.0068956241293253945,0.0013387569030377522,0.12126400889599076,0.24447911801880212,0.4993963693554997,0.0032391194787148403,4205069.3225,0.34109866669847344,0.0057095705915580315
all,3,541274,0.00886916795670735,0.0,0.14749634654820976,0.3043478287907484,0.4913611220934314,0.004316342805310036,5454978.405,0.3798405466970387,0.01029792674320215
all,9,541322,0.01727638300130307,-0.005934713334384445,0.2920354158156788,0.5842597366723216,0.46867483678845495,0.008583631393897014,55626167.754999995,0.7197755850369041,0.047073645630511966
all,10,543652,0.01867537217184071,-0.011111129101411932,0.35457073166621395,0.6867860670979733,0.457117788585345,0.009806311988169303,89071069.77309676,0.7745633187772926,0.06741444894896
liq_50m,1,163528,0.007298363388962415,0.005999957110748744,0.10383038846733195,0.191359816231973,0.5432219558730004,0.0036049800469510227,185992229.16603294,0.8470530930345835,0.0025622523359913898
liq_50m,2,161138,0.008042711661336133,0.0025478154843247003,0.14959726986341032,0.2850804804393928,0.5037545457930469,0.00406250371880772,144503590.0240898,0.8215496423687549,0.0086882051409351
liq_50m,3,160573,0.009161254662517392,0.0,0.17955728695249187,0.3479760076562453,0.493887515335704,0.004587822835313399,141850632.0783615,0.8228540185893931,0.015183125432046484
liq_50m,9,160589,0.018765880062164914,-0.007560571504039215,0.33426993348481854,0.6289350658989634,0.46778421934254527,0.009993531025658982,274051880.06629944,0.8840720896249391,0.060726450753164914
liq_50m,10,162983,0.01891438872403031,-0.012448109194782786,0.37732307011752236,0.6959757667976565,0.45896811323880404,0.009894768642585894,303398679.47150195,0.8912243825538623,0.07708779443254818
liq_100m,1,119220,0.00814189966087001,0.00736198712128433,0.10287614110076729,0.18548915531913449,0.5541771514846502,0.00419166918850913,271411557.1529732,0.8845029239766082,0.0019879214896829393
liq_100m,2,116736,0.008447166960306724,0.003521199781375106,0.1508453405538268,0.28499962741552304,0.5084292763157895,0.004252784467976468,238912166.4758935,0.8705882352941177,0.00859203673245614
liq_100m,3,116201,0.010890378802962675,0.0016182404654065952,0.18434843822146169,0.3670814586417721,0.4977237717403465,0.005300723982043744,239204277.36999997,0.8716632443531828,0.01648867049336925
liq_100m,9,116224,0.019069540331969257,-0.007896815498461829,0.3386999611348617,0.6335944531953187,0.4662462142070485,0.010675898265689734,394530647.8584169,0.9134458356015243,0.06297322411894272
liq_100m,10,118728,0.021009825428281538,-0.01075272004378014,0.38300439516154405,0.7025303128190079,0.46426285290748603,0.010790130775090176,421778758.65827143,0.9165283165707163,0.07959369314736203
ex_bottom20pct,1,433254,0.004817301350795164,0.0028776978417266452,0.09022557259305879,0.17573826371692441,0.5194250947481154,0.002391368621703301,6888337.29375,0.4141583054626533,0.001754167301398256
ex_bottom20pct,2,430360,0.006566020519464828,0.0017667844522968323,0.127085758954329,0.24933091064835433,0.5022608978529604,0.003324653982695241,9984400.546355125,0.4723183467103921,0.005939213681568919
ex_bottom20pct,3,429689,0.008983052283488911,0.0,0.1539787526330824,0.3029945183327828,0.49625892215067174,0.004256869733974262,12133644.075,0.5039370078740157,0.010186437167346615
ex_bottom20pct,9,429888,0.017373181041384557,-0.006578947368421018,0.3002765329320077,0.5934030432262443,0.4681940412386482,0.008630330060308857,80902180.01701427,0.7672727028003308,0.04969433899062081
ex_bottom20pct,10,432638,0.017511234891049676,-0.012295050891423576,0.35634030553459883,0.6774193591998763,0.4556442106333702,0.009442070832030462,120819192.10123906,0.8108272589396406,0.06849144088129105
