score,label,liquidity,horizon,direction,gross_spread,cost_roundtrip,net_spread,monotonic_rho
sig_rvol_log_rn,log(RVOL),all,10,top,0.004866569256422508,0.0025,-0.00013343074357749247,0.9999999999999999
sig_rvol_log_rn,log(RVOL),all,10,top,0.004866569256422508,0.0035,-0.0021334307435774925,0.9999999999999999
sig_rvol_log_rn,log(RVOL),all,20,top,0.007431281673685642,0.0025,0.0024312816736856415,0.9878787878787878
sig_rvol_log_rn,log(RVOL),all,20,top,0.007431281673685642,0.0035,0.0004312816736856415,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),all,10,bot,-0.006260887973513204,0.0025,-0.011260887973513205,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),all,10,bot,-0.006260887973513204,0.0035,-0.013260887973513203,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),all,20,bot,-0.011212801638290564,0.0025,-0.016212801638290565,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),all,20,bot,-0.011212801638290564,0.0035,-0.018212801638290563,0.9878787878787878
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,top,-0.0017411298870672054,0.0025,-0.0067411298870672055,-0.34545454545454546
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,10,top,-0.0017411298870672054,0.0035,-0.008741129887067205,-0.34545454545454546
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,top,-0.00450183615317843,0.0025,-0.009501836153178431,-0.7939393939393938
combo_rvol_lowatr,RVOL - ATR% (低波動放量),all,20,top,-0.00450183615317843,0.0035,-0.01150183615317843,-0.7939393939393938
sig_rvol_log_rn,log(RVOL),liq_50m,10,top,0.003929700006079793,0.0025,-0.0010702999939202068,0.9636363636363635
sig_rvol_log_rn,log(RVOL),liq_50m,10,top,0.003929700006079793,0.0035,-0.003070299993920207,0.9636363636363635
sig_rvol_log_rn,log(RVOL),liq_50m,20,top,0.004418890724833015,0.0025,-0.0005811092751669853,0.9878787878787878
sig_rvol_log_rn,log(RVOL),liq_50m,20,top,0.004418890724833015,0.0035,-0.0025811092751669854,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),liq_50m,10,bot,-0.005697859325099366,0.0025,-0.010697859325099366,0.9272727272727272
sig_atr_pct_rn,ATR% (raw rank),liq_50m,10,bot,-0.005697859325099366,0.0035,-0.012697859325099366,0.9272727272727272
sig_atr_pct_rn,ATR% (raw rank),liq_50m,20,bot,-0.009875911263412477,0.0025,-0.014875911263412478,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),liq_50m,20,bot,-0.009875911263412477,0.0035,-0.016875911263412476,0.9878787878787878
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_50m,10,top,-0.0016722536782288319,0.0025,-0.006672253678228832,-0.34545454545454546
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_50m,10,top,-0.0016722536782288319,0.0035,-0.008672253678228832,-0.34545454545454546
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_50m,20,top,-0.004460677367927716,0.0025,-0.009460677367927717,-0.8060606060606059
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_50m,20,top,-0.004460677367927716,0.0035,-0.011460677367927715,-0.8060606060606059
sig_rvol_log_rn,log(RVOL),liq_100m,10,top,0.003449899005232496,0.0025,-0.001550100994767504,0.9030303030303028
sig_rvol_log_rn,log(RVOL),liq_100m,10,top,0.003449899005232496,0.0035,-0.003550100994767504,0.9030303030303028
sig_rvol_log_rn,log(RVOL),liq_100m,20,top,0.0034692313082334263,0.0025,-0.0015307686917665738,0.8545454545454544
sig_rvol_log_rn,log(RVOL),liq_100m,20,top,0.0034692313082334263,0.0035,-0.003530768691766574,0.8545454545454544
sig_atr_pct_rn,ATR% (raw rank),liq_100m,10,bot,-0.0060776656866499594,0.0025,-0.01107766568664996,0.9393939393939393
sig_atr_pct_rn,ATR% (raw rank),liq_100m,10,bot,-0.0060776656866499594,0.0035,-0.01307766568664996,0.9393939393939393
sig_atr_pct_rn,ATR% (raw rank),liq_100m,20,bot,-0.010633682728391762,0.0025,-0.015633682728391763,0.9272727272727272
sig_atr_pct_rn,ATR% (raw rank),liq_100m,20,bot,-0.010633682728391762,0.0035,-0.01763368272839176,0.9272727272727272
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_100m,10,top,-0.0022103193861508566,0.0025,-0.007210319386150857,-0.5878787878787878
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_100m,10,top,-0.0022103193861508566,0.0035,-0.009210319386150856,-0.5878787878787878
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_100m,20,top,-0.004975675201119571,0.0025,-0.009975675201119572,-0.7939393939393938
combo_rvol_lowatr,RVOL - ATR% (低波動放量),liq_100m,20,top,-0.004975675201119571,0.0035,-0.01197567520111957,-0.7939393939393938
sig_rvol_log_rn,log(RVOL),ex_bottom20pct,10,top,0.003671439202710564,0.0025,-0.0013285607972894362,0.9999999999999999
sig_rvol_log_rn,log(RVOL),ex_bottom20pct,10,top,0.003671439202710564,0.0035,-0.0033285607972894362,0.9999999999999999
sig_rvol_log_rn,log(RVOL),ex_bottom20pct,20,top,0.005235246132781639,0.0025,0.0002352461327816387,0.9999999999999999
sig_rvol_log_rn,log(RVOL),ex_bottom20pct,20,top,0.005235246132781639,0.0035,-0.0017647538672183613,0.9999999999999999
sig_atr_pct_rn,ATR% (raw rank),ex_bottom20pct,10,bot,-0.005941252759679348,0.0025,-0.01094125275967935,0.9999999999999999
sig_atr_pct_rn,ATR% (raw rank),ex_bottom20pct,10,bot,-0.005941252759679348,0.0035,-0.012941252759679348,0.9999999999999999
sig_atr_pct_rn,ATR% (raw rank),ex_bottom20pct,20,bot,-0.01074353480056469,0.0025,-0.01574353480056469,0.9878787878787878
sig_atr_pct_rn,ATR% (raw rank),ex_bottom20pct,20,bot,-0.01074353480056469,0.0035,-0.01774353480056469,0.9878787878787878
combo_rvol_lowatr,RVOL - ATR% (低波動放量),ex_bottom20pct,10,top,-0.0024534981273235767,0.0025,-0.007453498127323576,-0.6848484848484848
combo_rvol_lowatr,RVOL - ATR% (低波動放量),ex_bottom20pct,10,top,-0.0024534981273235767,0.0035,-0.009453498127323576,-0.6848484848484848
combo_rvol_lowatr,RVOL - ATR% (低波動放量),ex_bottom20pct,20,top,-0.005584426225874754,0.0025,-0.010584426225874754,-0.8424242424242423
combo_rvol_lowatr,RVOL - ATR% (低波動放量),ex_bottom20pct,20,top,-0.005584426225874754,0.0035,-0.012584426225874754,-0.8424242424242423
