feature,direction,n,n_pos,baseline,auc,auc_aligned,lift_q5,med_A,med_B,med_C,monotone,pass_filter
ma_dist_60,-1,76,20,0.2631578947368421,0.26875,0.73125,2.375,-0.01095867986592132,-0.013728497345944704,-0.041080325724413044,Y,True
rv_20d,1,76,20,0.2631578947368421,0.7223214285714286,0.7223214285714286,1.9000000000000001,0.15823426639212412,0.19652858090224667,0.23653068372343394,Y,True
rv_10d,1,77,20,0.2597402597402597,0.6622807017543859,0.6622807017543859,1.6843750000000002,0.15876761055430472,0.21338386955712896,0.23827499011756823,Y,True
range_5d_avg,1,77,20,0.2597402597402597,0.6596491228070176,0.6596491228070176,1.6843750000000002,0.012596248184381867,0.015980416121093348,0.018876009556947418,Y,True
ma_dist_20,-1,76,20,0.2631578947368421,0.4276785714285714,0.5723214285714285,1.6625,-0.030421154495883763,-0.02635843605760547,-0.03065300801231031,N,False
velocity_20d,-1,76,20,0.2631578947368421,0.4517857142857143,0.5482142857142858,1.1875,-0.03077153416388878,-0.03424676596272214,-0.03172702351650364,N,False
velocity_5d,-1,77,20,0.2597402597402597,0.45263157894736844,0.5473684210526316,1.2031250000000002,-0.03315487918527127,-0.02778159771489197,-0.03584664393568787,N,False
rsi14,-1,77,20,0.2597402597402597,0.4789473684210526,0.5210526315789473,0.9625000000000001,39.06331593206085,42.116688903251536,40.26878479735022,N,False
vol_ratio_20d,1,76,20,0.2631578947368421,0.48125,0.48125,0.7125,0.9752251904520371,1.0484108153170175,0.9731789593593605,N,False
dealer_5d_sum,-1,26,5,0.19230769230769232,0.6,0.4,0.0,-91582865.0,-78026113.5,-87272641.0,N,False
trust_5d_sum,-1,26,5,0.19230769230769232,0.6,0.4,0.8666666666666666,5422078.0,-5935736.5,76815384.0,N,False
foreign_5d_z,-1,26,5,0.19230769230769232,0.6095238095238096,0.3904761904761905,0.0,-2.314413609882738,-1.3455018765504452,-0.7785796410644433,N,False
gap_open,-1,77,20,0.2597402597402597,0.6228070175438597,0.37719298245614036,0.721875,-0.002953921258047177,-0.003071645188914283,-0.0008618533405115053,N,False
inst_total_5d_z,-1,26,5,0.19230769230769232,0.6285714285714286,0.37142857142857144,0.0,-2.2143387838777904,-1.3803218745341213,-0.16897423929659205,N,False
foreign_20d_sum,-1,26,5,0.19230769230769232,0.6571428571428571,0.34285714285714286,0.0,-1633282288.0,-1119282074.0,-526498174.0,N,False
foreign_5d_sum,-1,26,5,0.19230769230769232,0.6666666666666666,0.3333333333333333,0.0,-721014665.0,-701400554.5,-337527147.0,N,False
inst_total_5d_sum,-1,26,5,0.19230769230769232,0.6952380952380952,0.3047619047619048,0.0,-1028770607.0,-763289107.5,-463815324.0,N,False
