factor,horizon,n_periods,ic_mean,ic_ir,ic_p,ci_low,ci_high,win_rate,decile_spread,decile_mono,loqo_min,loqo_max,indep_n,indep_ic,indep_p,bonferroni,verdict
whale_pct,5,57,-0.00362995639799864,-0.02179128920788781,0.8699137224140356,-0.03912110368216405,0.0044222773275848755,54.385964912280706,-0.007510503793938623,-0.7212121212121211,-0.013173392753402454,0.010365389550834686,57,-0.00362995639799864,0.8699137224140356,0.0016666666666666668,D (IC 不顯著 p>0.05)
whale_pct,20,55,-0.048869033215029896,-0.31988752228336076,0.021267555894063372,-0.09690371215324006,-0.032696108197503834,40.0,-0.036999558759085435,-0.9030303030303028,-0.07228652767157728,-0.02819988374965444,14,-0.06131072772033846,0.062072933521302165,0.0016666666666666668,D (非重疊子樣本 p=0.062 不顯著)
whale_pct,60,47,-0.11459189098316105,-1.0443155570977487,5.255914814483731e-09,-0.13648124280469032,-0.09706935054180703,14.893617021276595,-0.1486953528826766,-0.9030303030303028,-0.1296496485463907,-0.09662285838833884,4,-0.12354985862483531,0.05421343704277626,0.0016666666666666668,D (非重疊觀測只有 4 個)
large_pct,5,57,-0.0008375513964032924,-0.0049772019104849415,0.9701585435242539,-0.03454879699511606,0.0074974704460546975,50.877192982456144,-0.007879625843644739,-0.709090909090909,-0.01092381027356848,0.014102106044434586,57,-0.0008375513964032924,0.9701585435242539,0.0016666666666666668,D (IC 不顯著 p>0.05)
large_pct,20,55,-0.04689432952232373,-0.30581611184577373,0.027352955447510263,-0.08500254788347458,-0.029332316831467503,41.81818181818181,-0.04025251529730888,-0.8303030303030302,-0.06914414726412779,-0.023502236600137578,14,-0.058954371876655885,0.07474418809498329,0.0016666666666666668,D (非重疊子樣本 p=0.075 不顯著)
large_pct,60,47,-0.11209253250218289,-1.0331486681548803,6.844185662657765e-09,-0.13160549551814688,-0.09630824661318801,17.02127659574468,-0.15816126119314897,-0.7818181818181817,-0.12655883008028823,-0.09334206489807069,4,-0.12059369479527074,0.05376734696661645,0.0016666666666666668,D (非重疊觀測只有 4 個)
retail_pct,5,57,0.0037117538858989093,0.019654783649314205,0.8825677565678167,-0.004231801589742521,0.04123336197915207,47.368421052631575,0.008350416922645161,0.8545454545454544,-0.011733631975270921,0.013509886272955116,57,0.0037117538858989093,0.8825677565678167,0.0016666666666666668,D (IC 不顯著 p>0.05)
retail_pct,20,55,0.0505720867351744,0.29199499839402326,0.034785703029166504,0.030947443018970507,0.10441196605720757,65.45454545454545,0.03354847524628818,0.8666666666666665,0.024735670126180158,0.0757215621105224,14,0.06538397520084704,0.055447452023042576,0.0016666666666666668,D (非重疊子樣本 p=0.055 不顯著)
retail_pct,60,47,0.123334076572261,1.0591848969606248,3.6993406116181404e-09,0.09515747411086202,0.14263386018828805,87.2340425531915,0.1455670406224185,0.8909090909090909,0.10525672369480406,0.13917197272914994,4,0.14669429941448278,0.024040676367780067,0.0016666666666666668,D (非重疊觀測只有 4 個)
whale_pct_chg_1w,5,56,-0.013874903820178822,-0.16554343898613327,0.22067551510025263,-0.021227813506953064,-0.005270117000500854,48.214285714285715,-6.765714764767929e-05,-0.09090909090909088,-0.016600001189741507,-0.009014808592570027,56,-0.013874903820178822,0.22067551510025263,0.0016666666666666668,D (IC 不顯著 p>0.05)
