L,n_trades,final_equity,cagr_pct,mdd_pct,ruined,ruin_date,ticker
1.0,67,2.6276,8.32,-17.35,False,,2330
1.5,67,3.6793,11.38,-26.54,False,,2330
2.0,67,4.9923,14.22,-35.21,False,,2330
2.5,67,6.5738,16.85,-43.17,False,,2330
3.0,67,8.411,19.26,-50.44,False,,2330
1.0,65,4.1234,12.52,-29.78,False,,2454
1.5,65,6.1187,16.28,-42.87,False,,2454
2.0,65,8.2136,19.16,-54.09,False,,2454
2.5,65,10.1198,21.25,-63.61,False,,2454
3.0,65,11.542,22.59,-71.57,False,,2454
1.0,62,1.2849,2.11,-56.1,False,,2308
1.5,62,1.1772,1.37,-72.4,False,,2308
2.0,62,1.0016,0.01,-82.9,False,,2308
2.5,62,0.7963,-1.88,-89.58,False,,2308
3.0,62,0.5941,-4.24,-93.76,False,,2308
1.0,57,3.2251,10.18,-39.37,False,,2303
1.5,57,4.3892,13.03,-54.77,False,,2303
2.0,57,5.4324,15.04,-66.81,False,,2303
2.5,57,6.1975,16.3,-76.06,False,,2303
3.0,57,6.5745,16.87,-83.06,False,,2303
1.0,70,1.0975,0.77,-34.22,False,,3034
1.5,70,0.9166,-0.72,-48.44,False,,3034
2.0,70,0.7075,-2.82,-59.96,False,,3034
2.5,70,0.5059,-5.48,-69.22,False,,3034
3.0,70,0.3355,-8.64,-80.86,False,,3034
1.0,55,1.1729,1.33,-57.4,False,,3008
1.5,55,1.0371,0.3,-75.27,False,,3008
2.0,55,0.8513,-1.32,-86.31,False,,3008
2.5,55,0.6498,-3.5,-92.78,False,,3008
3.0,55,0.4612,-6.2,-96.39,False,,3008
1.0,65,1.3279,2.4,-27.71,False,,2379
1.5,65,1.2667,2.0,-40.2,False,,2379
2.0,65,1.1369,1.08,-50.87,False,,2379
2.5,65,0.9603,-0.34,-59.93,False,,2379
3.0,65,0.7628,-2.24,-68.73,False,,2379
1.0,63,1.593,4.04,-36.78,False,,2317
1.5,63,1.597,4.06,-50.56,False,,2317
2.0,63,1.4892,3.44,-61.54,False,,2317
2.5,63,1.3037,2.28,-70.23,False,,2317
3.0,63,1.0783,0.64,-77.33,False,,2317
1.0,55,1.4708,3.3,-28.27,False,,2382
1.5,55,1.501,3.48,-41.45,False,,2382
2.0,55,1.4544,3.21,-52.69,False,,2382
2.5,55,1.3446,2.53,-62.2,False,,2382
3.0,55,1.1896,1.47,-70.61,False,,2382
1.0,63,0.8524,-1.31,-31.24,False,,2474
1.5,63,0.6865,-3.06,-48.29,False,,2474
2.0,63,0.5355,-5.03,-62.71,False,,2474
2.5,63,0.4041,-7.21,-73.87,False,,2474
3.0,63,0.2948,-9.6,-82.24,False,,2474
1.0,65,0.7712,-2.12,-37.53,False,,2357
1.5,65,0.5833,-4.36,-53.64,False,,2357
2.0,65,0.4236,-6.85,-68.2,False,,2357
2.5,65,0.2953,-9.59,-78.94,False,,2357
3.0,65,0.1977,-12.54,-86.53,False,,2357
1.0,75,1.0769,0.62,-34.52,False,,2882
1.5,75,0.9652,-0.29,-51.26,False,,2882
2.0,75,0.8398,-1.44,-64.34,False,,2882
2.5,75,0.7098,-2.81,-74.35,False,,2882
3.0,75,0.5833,-4.39,-81.86,False,,2882
1.0,68,1.0348,0.29,-24.11,False,,2891
1.5,68,0.9201,-0.69,-37.82,False,,2891
2.0,68,0.801,-1.84,-49.56,False,,2891
2.5,68,0.6826,-3.14,-59.51,False,,2891
3.0,68,0.5694,-4.6,-67.82,False,,2891
1.0,69,0.8427,-1.46,-23.73,False,,2884
1.5,69,0.6841,-3.2,-39.87,False,,2884
2.0,69,0.5478,-5.03,-53.47,False,,2884
2.5,69,0.4327,-6.94,-64.47,False,,2884
3.0,69,0.3372,-8.91,-73.21,False,,2884
1.0,78,1.8612,5.34,-21.29,False,,2885
1.5,78,2.1255,6.52,-31.36,False,,2885
2.0,78,2.3508,7.42,-40.47,False,,2885
2.5,78,2.5198,8.05,-50.53,False,,2885
3.0,78,2.6195,8.4,-59.39,False,,2885
1.0,66,0.878,-1.1,-24.96,False,,2886
1.5,66,0.7359,-2.56,-37.26,False,,2886
2.0,66,0.6109,-4.09,-47.71,False,,2886
2.5,66,0.5023,-5.67,-56.56,False,,2886
3.0,66,0.4089,-7.3,-64.03,False,,2886
1.0,55,2.2641,7.02,-23.34,False,,1303
1.5,55,2.8963,9.24,-33.97,False,,1303
2.0,55,3.5341,11.06,-43.37,False,,1303
2.5,55,4.1296,12.5,-51.66,False,,1303
3.0,55,4.6346,13.59,-58.94,False,,1303
1.0,57,0.8328,-1.51,-36.82,False,,1301
1.5,57,0.6732,-3.23,-54.64,False,,1301
2.0,57,0.532,-5.11,-67.97,False,,1301
2.5,57,0.411,-7.12,-77.75,False,,1301
3.0,57,0.3106,-9.26,-84.82,False,,1301
1.0,55,0.9107,-0.78,-28.79,False,,2002
1.5,55,0.7785,-2.07,-42.09,False,,2002
2.0,55,0.651,-3.51,-53.26,False,,2002
2.5,55,0.5327,-5.11,-62.57,False,,2002
3.0,55,0.4266,-6.85,-70.27,False,,2002
1.0,63,0.6066,-4.08,-42.38,False,,1216
1.5,63,0.4228,-6.93,-60.65,False,,1216
2.0,63,0.2912,-9.78,-73.44,False,,1216
2.5,63,0.198,-12.64,-82.29,False,,1216
3.0,63,0.133,-15.49,-88.33,False,,1216
1.0,76,0.8919,-0.94,-17.23,False,,2412
1.5,76,0.7384,-2.47,-30.95,False,,2412
2.0,76,0.6064,-4.05,-43.03,False,,2412
2.5,76,0.494,-5.66,-53.42,False,,2412
3.0,76,0.3992,-7.3,-62.15,False,,2412
1.0,61,0.862,-1.25,-54.82,False,,2603
1.5,61,0.5849,-4.43,-71.33,False,,2603
2.0,61,0.3511,-8.46,-82.45,False,,2603
2.5,61,0.1875,-13.18,-89.89,False,,2603
3.0,61,0.089,-18.47,-94.47,False,,2603
1.0,44,1.0289,0.3,-44.54,False,,2207
1.5,44,0.937,-0.68,-60.42,False,,2207
2.0,44,0.8225,-2.01,-72.13,False,,2207
2.5,44,0.6964,-3.7,-80.67,False,,2207
3.0,44,0.569,-5.7,-86.8,False,,2207
1.0,51,0.796,-1.88,-26.45,False,,2912
1.5,51,0.6437,-3.59,-42.13,False,,2912
2.0,51,0.513,-5.39,-55.08,False,,2912
2.5,51,0.4029,-7.27,-65.62,False,,2912
3.0,51,0.3116,-9.22,-74.06,False,,2912
1.0,86,0.578,-4.42,-47.98,False,,3045
1.5,86,0.3835,-7.61,-66.61,False,,3045
2.0,86,0.2516,-10.76,-78.76,False,,3045
2.5,86,0.1631,-13.9,-86.62,False,,3045
3.0,86,0.1046,-17.0,-91.66,False,,3045
1.0,62,1.0279,0.23,-22.07,False,,0050
1.5,62,0.941,-0.51,-33.8,False,,0050
2.0,62,0.848,-1.38,-43.97,False,,0050
2.5,62,0.7527,-2.36,-52.74,False,,0050
3.0,62,0.6584,-3.45,-60.29,False,,0050
