universe,variant,ticker,n_trades,win_rate_pct,cagr_pct,sharpe,max_drawdown_pct,bh_cagr_pct,bh_max_drawdown_pct
top_20,V0_baseline,2633,40,37.5,0.57,0.104,-32.4,5.94,-45.79
top_20,V0_baseline,3045,76,43.42,-3.53,-0.587,-41.15,6.25,-16.19
top_20,V0_baseline,2347,57,42.11,-2.57,-0.267,-36.91,10.62,-34.0
top_20,V0_baseline,6278,51,50.98,6.48,0.4,-27.51,13.39,-54.3
top_20,V0_baseline,3209,36,47.22,1.94,0.208,-26.59,4.43,-50.0
top_20,V0_baseline,3711,69,34.78,-3.63,-0.092,-58.45,23.18,-41.22
top_20,V0_baseline,5483,45,48.89,4.73,0.286,-32.91,15.71,-68.81
top_20,V0_baseline,4904,67,35.82,-2.06,-0.208,-38.83,7.81,-22.54
top_20,V0_baseline,3583,64,45.31,5.53,0.315,-33.86,28.87,-61.97
top_20,V0_baseline,2707,45,33.33,-0.71,0.028,-25.25,-3.92,-70.08
top_20,V0_baseline,6664,39,58.97,12.79,0.658,-17.35,19.99,-57.43
top_20,V0_baseline,9917,44,29.55,-4.51,-0.968,-36.71,2.12,-29.97
top_20,V0_baseline,2460,58,53.45,3.21,0.255,-46.54,6.11,-70.79
top_20,V0_baseline,6024,42,38.1,-3.5,-0.371,-34.09,6.29,-46.67
top_20,V0_baseline,2903,34,41.18,0.17,0.067,-32.82,2.4,-42.3
top_20,V0_baseline,2351,64,45.31,2.34,0.205,-54.4,14.71,-63.4
top_20,V0_baseline,8926,44,34.09,-0.31,0.038,-28.19,9.51,-34.01
top_20,V0_baseline,2850,50,44.0,4.15,0.406,-13.46,19.23,-27.84
top_20,V0_baseline,2618,73,42.47,-3.59,-0.122,-56.36,11.47,-60.59
top_20,V0_baseline,3532,59,42.37,1.03,0.174,-55.65,14.85,-81.58
top_20,V4_switch_1.5+adx,2633,46,26.09,-1.57,-0.077,-38.12,5.94,-45.79
top_20,V4_switch_1.5+adx,3045,86,37.21,-4.42,-0.746,-47.98,6.25,-16.19
top_20,V4_switch_1.5+adx,2347,62,46.77,1.23,0.183,-24.64,11.09,-34.0
top_20,V4_switch_1.5+adx,6278,49,44.9,4.13,0.301,-28.79,13.39,-54.3
top_20,V4_switch_1.5+adx,3209,35,57.14,8.38,0.706,-13.65,4.43,-50.0
top_20,V4_switch_1.5+adx,3711,66,37.88,-4.82,-0.236,-54.77,19.8,-41.22
top_20,V4_switch_1.5+adx,5483,53,45.28,5.26,0.301,-44.81,15.71,-68.81
top_20,V4_switch_1.5+adx,4904,65,41.54,-1.38,-0.169,-34.24,7.88,-22.54
top_20,V4_switch_1.5+adx,3583,66,48.48,9.29,0.447,-25.99,29.52,-61.97
top_20,V4_switch_1.5+adx,2707,47,29.79,-0.57,0.027,-26.08,-3.92,-70.08
top_20,V4_switch_1.5+adx,6664,47,42.55,2.32,0.204,-35.62,19.99,-57.43
top_20,V4_switch_1.5+adx,9917,47,29.79,-4.02,-0.744,-34.47,2.12,-29.97
top_20,V4_switch_1.5+adx,2460,57,47.37,5.63,0.351,-52.82,6.49,-70.79
top_20,V4_switch_1.5+adx,6024,47,40.43,-1.58,-0.158,-27.83,6.29,-46.67
top_20,V4_switch_1.5+adx,2903,37,40.54,0.79,0.125,-26.26,2.4,-42.3
top_20,V4_switch_1.5+adx,2351,66,40.91,3.8,0.257,-42.68,16.6,-63.4
top_20,V4_switch_1.5+adx,8926,49,28.57,-0.43,0.026,-29.2,9.51,-34.01
top_20,V4_switch_1.5+adx,2850,54,37.04,3.08,0.334,-12.03,19.23,-27.84
top_20,V4_switch_1.5+adx,2618,69,37.68,-1.61,-0.009,-44.55,11.9,-60.59
top_20,V4_switch_1.5+adx,3532,61,37.7,-0.03,0.147,-62.54,14.85,-81.58
bottom_20,V0_baseline,3054,42,33.33,-4.49,-0.111,-66.84,11.18,-46.07
bottom_20,V0_baseline,2630,37,37.84,-0.47,0.116,-51.51,8.45,-76.73
bottom_20,V0_baseline,4303,46,34.78,-65.36,0.01,-102.43,18.55,-100.0
bottom_20,V0_baseline,2605,60,36.67,-0.37,0.104,-47.12,6.74,-67.55
bottom_20,V0_baseline,3002,48,43.75,-1.46,-0.054,-31.89,3.01,-56.22
bottom_20,V0_baseline,8110,68,39.71,-2.24,0.033,-62.52,17.69,-60.97
bottom_20,V0_baseline,2431,53,39.62,-3.25,-0.031,-43.43,-5.4,-81.04
bottom_20,V0_baseline,6558,49,55.1,13.98,0.615,-47.75,9.98,-79.63
bottom_20,V0_baseline,6620,30,50.0,-89.5,-0.342,-100.58,3.79,-100.0
bottom_20,V0_baseline,5269,64,45.31,3.14,0.234,-44.67,19.72,-76.23
bottom_20,V0_baseline,6510,53,41.51,0.52,0.152,-46.22,17.72,-75.19
bottom_20,V0_baseline,3354,72,37.5,-5.08,0.041,-77.65,4.96,-79.11
bottom_20,V0_baseline,8932,45,55.56,-87.27,-0.353,-100.74,36.72,-100.0
bottom_20,V0_baseline,2009,46,45.65,7.99,0.353,-51.02,13.47,-71.35
bottom_20,V0_baseline,2365,59,35.59,2.33,0.205,-47.19,13.65,-59.04
bottom_20,V0_baseline,3205,51,29.41,-8.24,-0.222,-74.71,7.59,-93.53
bottom_20,V0_baseline,8033,55,38.18,11.97,0.419,-51.58,32.92,-62.79
bottom_20,V0_baseline,6499,51,31.37,-1.96,0.107,-48.24,-4.49,-87.68
bottom_20,V0_baseline,6505,58,31.03,-4.35,-0.348,-63.91,0.62,-75.44
bottom_20,V0_baseline,6265,50,42.0,-100.0,0.115,-101.68,17.15,-100.0
bottom_20,V4_switch_1.5+adx,3054,44,27.27,-3.36,-0.055,-69.84,12.65,-46.07
bottom_20,V4_switch_1.5+adx,2630,41,36.59,-2.36,0.064,-53.39,8.45,-76.73
bottom_20,V4_switch_1.5+adx,4303,49,32.65,-100.0,0.122,-100.61,18.55,-100.0
bottom_20,V4_switch_1.5+adx,2605,59,37.29,-0.78,0.091,-47.29,6.74,-67.55
bottom_20,V4_switch_1.5+adx,3002,52,42.31,-3.85,-0.311,-44.71,3.01,-56.22
bottom_20,V4_switch_1.5+adx,8110,78,35.9,-3.1,-0.004,-65.86,17.69,-60.97
bottom_20,V4_switch_1.5+adx,2431,52,32.69,-2.92,-0.05,-41.21,-4.59,-81.04
bottom_20,V4_switch_1.5+adx,6558,56,42.86,11.12,0.517,-37.61,9.98,-79.63
bottom_20,V4_switch_1.5+adx,6620,32,46.88,-100.0,-0.262,-100.58,3.79,-100.0
bottom_20,V4_switch_1.5+adx,5269,67,44.78,4.4,0.277,-52.37,19.72,-76.23
bottom_20,V4_switch_1.5+adx,6510,54,37.04,2.65,0.218,-54.9,17.72,-75.19
bottom_20,V4_switch_1.5+adx,3354,70,35.71,-4.03,0.066,-73.84,4.96,-79.11
bottom_20,V4_switch_1.5+adx,8932,47,48.94,-61.7,-0.104,-49.96,36.72,-100.0
bottom_20,V4_switch_1.5+adx,2009,51,35.29,6.01,0.298,-42.94,13.47,-71.35
bottom_20,V4_switch_1.5+adx,2365,58,39.66,6.99,0.327,-33.9,13.65,-59.04
bottom_20,V4_switch_1.5+adx,3205,52,28.85,-0.69,0.12,-65.37,6.31,-93.53
bottom_20,V4_switch_1.5+adx,8033,62,38.71,11.77,0.414,-54.84,35.0,-62.79
bottom_20,V4_switch_1.5+adx,6499,50,30.0,-1.21,0.122,-47.69,-4.49,-87.68
bottom_20,V4_switch_1.5+adx,6505,62,32.26,-4.88,-0.457,-62.87,0.62,-75.44
bottom_20,V4_switch_1.5+adx,6265,56,35.71,-100.0,0.082,-101.39,17.15,-100.0
random_20,V0_baseline,6546,32,43.75,0.63,0.131,-45.42,18.87,-100.0
random_20,V0_baseline,2603,59,33.9,2.23,0.187,-52.1,25.65,-70.54
random_20,V0_baseline,5388,58,44.83,-3.67,-0.267,-39.55,-0.23,-51.63
random_20,V0_baseline,4976,58,31.03,-5.35,-0.053,-70.04,0.38,-82.86
random_20,V0_baseline,9918,27,18.52,-100.0,-2.224,-100.58,3.07,-100.0
random_20,V0_baseline,9919,52,28.85,-6.64,-0.152,-61.03,0.55,-72.47
random_20,V0_baseline,6218,47,40.43,-1.83,0.017,-62.46,8.8,-58.12
random_20,V0_baseline,6821,17,17.65,-1.69,0.121,-46.15,17.68,-52.08
random_20,V0_baseline,1449,34,20.59,-8.92,-0.265,-75.79,13.9,-100.0
random_20,V0_baseline,3293,57,43.86,-1.18,0.116,-63.0,10.76,-64.32
random_20,V0_baseline,3093,35,25.71,-100.0,-1.035,-100.58,1.68,-100.0
random_20,V0_baseline,9941,47,40.43,3.66,0.293,-37.39,6.79,-61.99
random_20,V0_baseline,4526,41,41.46,4.77,0.327,-38.92,3.75,-59.64
random_20,V0_baseline,2887,71,43.66,0.28,0.075,-26.3,12.08,-34.76
random_20,V0_baseline,4938,58,37.93,-5.14,-0.344,-47.42,9.14,-47.65
random_20,V0_baseline,4744,41,46.34,0.54,0.12,-24.61,-0.03,-100.0
random_20,V0_baseline,5386,46,39.13,-4.88,0.034,-81.25,36.43,-84.62
random_20,V0_baseline,3416,47,59.57,6.15,0.501,-20.24,13.47,-37.1
random_20,V0_baseline,6209,54,38.89,-1.88,0.064,-69.11,18.6,-76.08
random_20,V0_baseline,6175,62,54.84,10.8,0.495,-31.13,21.48,-82.41
random_20,V4_switch_1.5+adx,6546,34,44.12,-3.32,-0.097,-44.09,19.84,-100.0
random_20,V4_switch_1.5+adx,2603,61,36.07,-1.25,0.073,-54.82,25.65,-70.54
random_20,V4_switch_1.5+adx,5388,56,46.43,-2.41,-0.151,-35.37,-0.23,-51.63
