ticker,n_trades,win_rate_pct,avg_return_pct,avg_win_pct,avg_loss_pct,profit_factor,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,avg_holding_days,median_holding_days,bh_total_return_pct,bh_cagr_pct,bh_max_drawdown_pct
2330,63,55.56,1.426,4.776,-2.761,2.162,126.33,6.99,0.647,-22.07,17.7,15.0,2518.76,31.01,-44.8
2454,62,58.06,3.297,8.656,-4.123,2.907,393.74,14.22,0.539,-19.52,20.3,16.0,1144.59,23.36,-61.67
2317,60,38.33,1.227,9.215,-3.739,1.532,61.48,4.16,0.273,-38.36,18.8,13.5,307.3,12.67,-54.42
2412,70,41.43,-0.236,2.096,-1.885,0.786,-16.95,-1.52,-0.234,-19.47,21.7,19.5,142.59,7.59,-16.41
2308,59,33.9,0.299,9.232,-4.282,1.106,-2.43,-0.2,0.075,-47.81,17.1,13.0,1553.39,26.3,-46.99
2603,59,33.9,1.109,12.683,-4.826,1.348,29.84,2.23,0.187,-52.1,17.3,13.0,1394.98,25.65,-70.54
2882,69,43.48,0.091,4.544,-3.334,1.048,-2.33,-0.2,0.043,-24.98,19.4,15.0,214.2,10.01,-41.92
1303,58,50.0,1.63,6.227,-2.966,2.099,126.23,7.02,0.525,-23.11,15.9,13.0,130.72,7.19,-66.84
3008,56,44.64,0.538,8.012,-5.49,1.177,11.78,0.92,0.136,-56.93,18.6,14.5,207.08,9.71,-70.61
0050,65,41.54,0.179,3.353,-2.077,1.147,6.95,0.57,0.105,-25.85,13.8,10.0,679.79,18.86,-33.83
