variant,ticker,n_trades,win_rate_pct,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,profit_factor,avg_holding_days,bh_cagr_pct,bh_max_drawdown_pct
V0_baseline,2330,63,55.56,126.33,6.99,0.647,-22.07,2.162,17.7,31.01,-44.8
V0_baseline,2454,62,58.06,393.74,14.22,0.539,-19.52,2.907,20.3,23.36,-61.67
V0_baseline,2308,59,33.9,-2.43,-0.2,0.075,-47.81,1.106,17.1,26.3,-46.99
V0_baseline,2303,57,40.35,151.56,7.94,0.393,-46.59,2.006,20.0,25.75,-46.23
V0_baseline,3034,68,41.18,-16.87,-1.52,0.01,-36.92,1.012,18.9,18.03,-57.73
V0_baseline,3008,56,44.64,11.78,0.92,0.136,-56.93,1.177,18.6,9.71,-70.61
V0_baseline,2379,70,50.0,53.54,3.66,0.29,-32.76,1.366,16.6,21.81,-57.57
V0_baseline,2317,60,38.33,61.48,4.16,0.273,-38.36,1.532,18.8,12.67,-54.42
V0_baseline,2382,54,50.0,33.17,2.44,0.206,-36.65,1.379,18.1,18.6,-47.65
V0_baseline,2474,57,49.12,7.05,0.56,0.106,-37.25,1.131,18.5,3.1,-54.51
V0_baseline,2357,62,43.55,8.71,0.69,0.116,-36.98,1.143,18.5,13.69,-37.8
V0_baseline,2882,69,43.48,-2.33,-0.2,0.043,-24.98,1.048,19.4,10.01,-41.92
V0_baseline,2891,69,40.58,-11.68,-1.03,-0.059,-38.47,0.936,18.3,16.36,-34.36
V0_baseline,2884,66,50.0,4.25,0.36,0.084,-24.63,1.092,20.9,15.2,-33.33
V0_baseline,2885,74,54.05,124.66,7.02,0.56,-24.66,1.88,21.8,17.56,-41.35
V0_baseline,2886,64,43.75,-18.47,-1.71,-0.239,-26.27,0.783,18.3,10.21,-31.22
V0_baseline,1303,58,50.0,126.23,7.02,0.525,-23.11,2.099,15.9,7.19,-66.84
V0_baseline,1301,54,37.04,-38.91,-4.01,-0.462,-47.92,0.584,20.8,0.61,-69.26
V0_baseline,2002,52,40.38,-13.75,-1.23,-0.062,-27.22,0.919,19.9,1.58,-53.1
V0_baseline,1216,60,33.33,-49.97,-5.61,-0.81,-52.48,0.434,21.4,7.55,-23.04
V0_baseline,2412,70,41.43,-16.95,-1.52,-0.234,-19.47,0.786,21.7,7.59,-16.41
V0_baseline,2603,59,33.9,29.84,2.23,0.187,-52.1,1.348,17.3,25.65,-70.54
V0_baseline,2207,44,38.64,-100.53,-100.0,-0.284,-100.3,0.54,16.1,4.67,-100.0
V0_baseline,2912,52,28.85,-42.84,-4.53,-0.606,-45.99,0.491,22.8,3.94,-28.75
V0_baseline,3045,76,43.42,-35.28,-3.53,-0.587,-41.15,0.559,22.0,6.25,-16.19
V0_baseline,0050,65,41.54,6.95,0.57,0.105,-25.85,1.147,13.8,18.86,-33.83
V1_switch_1.5,2330,59,61.02,207.93,9.75,0.81,-14.62,2.754,21.7,31.01,-44.8
V1_switch_1.5,2454,59,62.71,475.86,15.69,0.583,-15.54,3.029,23.3,23.36,-61.67
V1_switch_1.5,2308,54,33.33,21.06,1.6,0.169,-53.89,1.252,22.3,26.3,-46.99
V1_switch_1.5,2303,52,42.31,186.2,9.1,0.432,-45.45,2.125,23.7,25.75,-46.23
V1_switch_1.5,3034,64,39.06,-23.91,-2.23,-0.005,-39.53,0.994,22.3,18.03,-57.73
V1_switch_1.5,3008,53,45.28,15.39,1.19,0.151,-55.53,1.199,20.3,9.71,-70.61
V1_switch_1.5,2379,63,50.79,49.86,3.44,0.277,-31.69,1.359,19.6,21.44,-57.57
V1_switch_1.5,2317,60,35.0,89.19,5.57,0.33,-38.36,1.635,20.4,12.67,-54.42
V1_switch_1.5,2382,52,50.0,23.53,1.8,0.173,-35.62,1.3,19.3,18.6,-47.65
V1_switch_1.5,2474,56,46.43,-5.18,-0.44,0.025,-40.53,1.029,21.7,3.1,-54.51
V1_switch_1.5,2357,60,45.0,14.9,1.15,0.148,-44.24,1.188,19.6,13.69,-37.8
V1_switch_1.5,2882,65,41.54,12.17,0.96,0.137,-29.35,1.163,20.9,10.01,-41.92
V1_switch_1.5,2891,58,55.17,62.61,4.15,0.433,-16.76,1.675,26.2,16.36,-34.36
V1_switch_1.5,2884,61,54.1,16.05,1.29,0.198,-20.44,1.234,26.6,15.2,-33.33
V1_switch_1.5,2885,67,55.22,158.35,8.28,0.636,-22.22,2.069,26.1,17.56,-41.35
V1_switch_1.5,2886,60,50.0,5.65,0.47,0.105,-18.98,1.117,21.4,10.21,-31.22
V1_switch_1.5,1303,52,48.08,119.37,6.72,0.504,-20.84,2.086,21.5,7.04,-66.84
V1_switch_1.5,1301,49,46.94,-26.65,-2.54,-0.273,-38.02,0.723,26.9,0.61,-69.26
V1_switch_1.5,2002,50,40.0,-13.93,-1.24,-0.058,-26.7,0.926,22.8,1.58,-53.1
V1_switch_1.5,1216,55,40.0,-42.57,-4.52,-0.64,-46.3,0.506,24.3,7.55,-23.04
