pair,horizon_d,ai_era_2023-2025,pre_ai_2021-2022,div_delta_ai_minus_pre
2368_金像電_vs_3044_健鼎,20,0.4266,0.487,-0.06040000000000001
2368_金像電_vs_3044_健鼎,60,0.6385,0.6265,0.01200000000000001
2382_廣達_vs_3231_緯創,20,0.3269,0.2222,0.10470000000000002
2382_廣達_vs_3231_緯創,60,0.3172,0.2222,0.09499999999999997
2383_台光電_vs_6274_台燿,20,0.4238,0.5319,-0.10810000000000003
2383_台光電_vs_6274_台燿,60,0.4875,0.6548,-0.16730000000000006
3008_大立光_vs_3406_玉晶光,20,0.331,0.4019,-0.07089999999999996
3008_大立光_vs_3406_玉晶光,60,0.3878,0.4232,-0.03540000000000004
3017_奇鋐_vs_3324_雙鴻,20,0.5028,0.4823,0.020500000000000018
3017_奇鋐_vs_3324_雙鴻,60,0.5776,0.6123,-0.03469999999999995
3037_欣興_vs_3189_景碩,20,0.4169,0.4113,0.005599999999999994
3037_欣興_vs_3189_景碩,60,0.5928,0.435,0.1578
3037_欣興_vs_8046_南電,20,0.4501,0.4846,-0.034499999999999975
3037_欣興_vs_8046_南電,60,0.615,0.5556,0.05940000000000001
3443_創意_vs_3661_世芯,20,0.3961,0.4539,-0.05780000000000002
3443_創意_vs_3661_世芯,60,0.3878,0.4279,-0.040100000000000025
3711_日月光_vs_2449_京元電,20,0.2812,0.3239,-0.042700000000000016
3711_日月光_vs_2449_京元電,60,0.3061,0.3428,-0.03670000000000001
6223_旺矽_vs_6510_中華精測,20,0.518,0.4413,0.07669999999999999
6223_旺矽_vs_6510_中華精測,60,0.6367,0.5141,0.12260000000000004
6488_環球晶_vs_5483_中美晶,20,0.3375,0.2559,0.0816
6488_環球晶_vs_5483_中美晶,60,0.4232,0.2418,0.18140000000000003
6515_穎崴_vs_6223_旺矽,20,0.3615,0.5257,-0.16419999999999996
6515_穎崴_vs_6223_旺矽,60,0.3019,0.6943,-0.3924
