theme,pair,signal,horizon_d,segment,n,n_b_weak,n_b_strong,b_weak_signal_hit_div,b_strong_signal_hit_conv,overall_acc,div_rate_baseline,conv_rate_baseline
ai_server_odm,2382_廣達_vs_3231_緯創,S1_short_ratio_diff,20,pre_ai_2021-2022,423,235,185,0.2,0.4432,0.383,0.2222,0.3948
ai_server_odm,2382_廣達_vs_3231_緯創,S1_short_ratio_diff,20,ai_era_2023-2025,722,133,587,0.3158,0.3867,0.331,0.3269,0.3712
ai_server_odm,2382_廣達_vs_3231_緯創,S1_short_ratio_diff,60,pre_ai_2021-2022,423,235,185,0.2255,0.6,0.4232,0.2222,0.5485
ai_server_odm,2382_廣達_vs_3231_緯創,S1_short_ratio_diff,60,ai_era_2023-2025,722,133,587,0.3684,0.4566,0.3158,0.3172,0.4598
ai_server_odm,2382_廣達_vs_3231_緯創,S2_sbl_diff,20,pre_ai_2021-2022,403,157,246,0.2803,0.4837,0.4169,0.2283,0.3871
ai_server_odm,2382_廣達_vs_3231_緯創,S2_sbl_diff,20,ai_era_2023-2025,718,347,371,0.3055,0.3235,0.273,0.3273,0.3677
ai_server_odm,2382_廣達_vs_3231_緯創,S2_sbl_diff,60,pre_ai_2021-2022,403,157,246,0.4268,0.626,0.4566,0.2357,0.536
ai_server_odm,2382_廣達_vs_3231_緯創,S2_sbl_diff,60,ai_era_2023-2025,718,347,371,0.3775,0.531,0.3844,0.3134,0.4624
ai_server_odm,2382_廣達_vs_3231_緯創,S3_rs_slope_5d,20,pre_ai_2021-2022,426,204,222,0.1716,0.3694,0.2793,0.2254,0.392
ai_server_odm,2382_廣達_vs_3231_緯創,S3_rs_slope_5d,20,ai_era_2023-2025,723,357,366,0.2885,0.3497,0.3444,0.3264,0.3707
ai_server_odm,2382_廣達_vs_3231_緯創,S3_rs_slope_5d,60,pre_ai_2021-2022,426,204,222,0.2206,0.5405,0.331,0.223,0.5469
ai_server_odm,2382_廣達_vs_3231_緯創,S3_rs_slope_5d,60,ai_era_2023-2025,723,357,366,0.2801,0.377,0.2822,0.3167,0.4592
ai_server_odm,2382_廣達_vs_3231_緯創,S4_foreign_diff,20,pre_ai_2021-2022,422,223,199,0.157,0.3317,0.2417,0.2204,0.3957
