target,model,use_self_lag,feature,importance,rank
foreign,gbm,False,atr_pct,0.0651842655176708,1.0
foreign,gbm,False,sbl_ratio,0.046856933594666805,2.0
foreign,gbm,False,trust_flow_20d_norm,0.017990171173698943,3.0
foreign,gbm,False,mcap_log,0.017953944247503555,4.0
foreign,gbm,False,rsi_14,0.010539538556534112,5.0
foreign,gbm,False,rvol_20,0.009415282666440391,6.0
foreign,gbm,False,ret_120d,0.008256693779933025,7.0
foreign,gbm,False,ret_60d,0.007433732489143548,8.0
foreign,gbm,False,margin_utilization,0.002806897471035278,9.0
foreign,gbm,False,ret_20d,0.002643697076978905,10.0
foreign,gbm,False,ma20_ma60_ratio,0.0022565139239950995,11.0
foreign,gbm,False,f_score,0.00176591116668993,12.0
foreign,gbm,False,short_ratio,0.00038267838871168064,13.0
foreign,gbm,False,rev_yoy,-2.1031915937645234e-05,14.0
foreign,gbm,True,foreign_flow_20d_norm,0.06785309841242104,1.0
foreign,gbm,True,sbl_ratio,0.029211037607115298,2.0
foreign,gbm,True,atr_pct,0.02119138889200282,3.0
foreign,gbm,True,ret_20d,0.010109346930624374,4.0
foreign,gbm,True,rvol_20,0.006871961544050824,5.0
foreign,gbm,True,mcap_log,0.005653961939363923,6.0
foreign,gbm,True,rsi_14,0.004988422232956369,7.0
foreign,gbm,True,trust_flow_20d_norm,0.003998860769864369,8.0
foreign,gbm,True,ret_60d,0.003988118237473877,9.0
foreign,gbm,True,ma20_ma60_ratio,0.0037854619412322674,10.0
foreign,gbm,True,ret_120d,0.002707664845835437,11.0
foreign,gbm,True,margin_utilization,0.001416571751736447,12.0
foreign,gbm,True,short_ratio,0.0009207014296059487,13.0
foreign,gbm,True,f_score,0.0008097061061577889,14.0
foreign,gbm,True,rev_yoy,0.0002388129262700008,15.0
foreign,logistic,False,atr_pct,0.5785577491060112,1.0
foreign,logistic,False,rsi_14,0.3947067037334317,2.0
foreign,logistic,False,ret_20d,0.36920701527456784,3.0
foreign,logistic,False,sbl_ratio,0.15416831776572135,4.0
foreign,logistic,False,ma20_ma60_ratio,0.15065983767498178,5.0
foreign,logistic,False,rvol_20,0.1101206768708052,6.0
foreign,logistic,False,mcap_log,0.10556769499443583,7.0
foreign,logistic,False,margin_utilization,0.08378959645476144,8.0
foreign,logistic,False,ret_60d,0.07958673014931847,9.0
foreign,logistic,False,f_score,0.07583088211898019,10.0
foreign,logistic,False,ret_120d,0.0394445715577428,11.0
foreign,logistic,False,trust_flow_20d_norm,0.01711854709910371,12.0
foreign,logistic,False,short_ratio,0.008629173406608653,13.0
foreign,logistic,False,rev_yoy,0.0019088945727141322,14.0
foreign,logistic,True,foreign_flow_20d_norm,0.7096776133307325,1.0
foreign,logistic,True,atr_pct,0.5484716860122414,2.0
foreign,logistic,True,ret_20d,0.42760551996668483,3.0
foreign,logistic,True,rsi_14,0.24696532513404454,4.0
foreign,logistic,True,sbl_ratio,0.14973891082490193,5.0
foreign,logistic,True,mcap_log,0.14118016906100087,6.0
foreign,logistic,True,rvol_20,0.09684356264270565,7.0
foreign,logistic,True,ret_120d,0.07291893123865446,8.0
foreign,logistic,True,margin_utilization,0.0626992661450049,9.0
foreign,logistic,True,f_score,0.049060490323944064,10.0
foreign,logistic,True,trust_flow_20d_norm,0.03576739337489088,11.0
foreign,logistic,True,ma20_ma60_ratio,0.033267896722991575,12.0
foreign,logistic,True,short_ratio,0.02468757453819066,13.0
foreign,logistic,True,ret_60d,0.020346623563921487,14.0
foreign,logistic,True,rev_yoy,0.0001950144246896344,15.0
trust,gbm,False,mcap_log,0.06806052826264057,1.0
trust,gbm,False,margin_utilization,0.0434770075787139,2.0
trust,gbm,False,foreign_flow_20d_norm,0.026179863554257315,3.0
trust,gbm,False,sbl_ratio,0.02311024496375136,4.0
trust,gbm,False,f_score,0.009772818603003644,5.0
trust,gbm,False,ret_120d,0.006732138934861354,6.0
trust,gbm,False,rsi_14,0.006107510149670148,7.0
trust,gbm,False,rvol_20,0.005676887860274242,8.0
trust,gbm,False,ret_20d,0.0029246915535002063,9.0
trust,gbm,False,atr_pct,0.002429113377133474,10.0
trust,gbm,False,ma20_ma60_ratio,0.0022050882744504654,11.0
trust,gbm,False,ret_60d,0.0011197093332721748,12.0
trust,gbm,False,short_ratio,0.0010569515528808064,13.0
trust,gbm,False,rev_yoy,0.0005805524275495447,14.0
trust,gbm,True,trust_flow_20d_norm,0.26282921577612234,1.0
trust,gbm,True,margin_utilization,0.005678950385494559,2.0
trust,gbm,True,mcap_log,0.004363720812899337,3.0
trust,gbm,True,rsi_14,0.003710591634063213,4.0
