signal,regime,horizon,n,mean_trigger_ret,baseline_mean,alpha,t_stat,p_value,ic_proxy,hit_rate,verdict
C1_rev_yoy_turnaround,ai_era,20,3553,0.025602,0.015292,0.010310,4.327538,0.000015,0.072601,0.546017,C
C1_rev_yoy_turnaround,ai_era,60,3553,0.056389,0.043213,0.013176,2.913171,0.003600,0.048873,0.517872,C
C1_rev_yoy_turnaround,all,20,10874,0.022181,0.012618,0.009563,7.354364,0.000000,0.070526,0.530715,C
C1_rev_yoy_turnaround,all,60,10874,0.053797,0.035895,0.017902,6.557151,0.000000,0.062881,0.524830,C
C1_rev_yoy_turnaround,pre_ai,20,7321,0.020521,0.011486,0.009035,5.841346,0.000000,0.068270,0.519738,C
C1_rev_yoy_turnaround,pre_ai,60,7321,0.052540,0.032795,0.019745,5.790480,0.000000,0.067675,0.527933,C
C2_trust_etf_proxy_buy,ai_era,20,22138,0.015118,0.015292,-0.000174,-0.245813,0.805829,-0.001652,0.532885,D
C2_trust_etf_proxy_buy,ai_era,60,22138,0.051573,0.043213,0.008360,6.045149,0.000000,0.040629,0.580585,D
C2_trust_etf_proxy_buy,all,20,43038,0.011694,0.012618,-0.000925,-1.789562,0.073531,-0.008626,0.518867,D
C2_trust_etf_proxy_buy,all,60,43038,0.037983,0.035895,0.002087,2.125815,0.033524,0.010247,0.536177,D
C2_trust_etf_proxy_buy,pre_ai,20,20900,0.008067,0.011486,-0.003419,-4.544248,0.000006,-0.031433,0.501914,D
C2_trust_etf_proxy_buy,pre_ai,60,20900,0.023587,0.032795,-0.009208,-6.639487,0.000000,-0.045926,0.499043,D
C3_foreign_sell_to_buy,ai_era,20,6426,0.020827,0.015292,0.005535,3.169009,0.001537,0.039532,0.500934,C
C3_foreign_sell_to_buy,ai_era,60,6426,0.048079,0.043213,0.004865,1.481578,0.138502,0.018482,0.499222,C
C3_foreign_sell_to_buy,all,20,18167,0.015810,0.012618,0.003192,3.199939,0.001377,0.023741,0.503220,C
C3_foreign_sell_to_buy,all,60,18164,0.036947,0.035895,0.001051,0.583486,0.559574,0.004329,0.494054,C
C3_foreign_sell_to_buy,pre_ai,20,11741,0.013065,0.011486,0.001579,1.303599,0.192396,0.012031,0.502172,C
C3_foreign_sell_to_buy,pre_ai,60,11738,0.030853,0.032795,-0.001942,-0.912039,0.361767,-0.008418,0.493440,C
