strategy,period,period_range,n_rebal,cagr_pct,sharpe,mdd_pct,rr,hit_rate_pct,vol_pct,alpha_vs_twii_tr_pp,win_twii_tr_pct,turnover_annual
S1_QM_top5,Pre-AI,2016-2022,89,24.69,0.885,-27.71,0.891,58.4,26.77,8.25,50.6,9.35
S1_QM_top5,AI_era,2023-2025,39,32.22,1.107,-27.19,1.185,64.1,28.21,-9.54,33.3,9.8
S1_QM_top5,Full,2016-2025,128,26.67,0.947,-27.71,0.962,60.2,27.12,3.34,45.3,9.49
S2_Dual_only_volatile,Pre-AI,2016-2022,39,25.19,1.085,-21.17,1.19,56.4,22.29,14.72,53.8,7.43
S2_Dual_only_volatile,AI_era,2023-2025,39,10.38,0.523,-19.07,0.545,61.5,17.95,-18.13,41.0,7.0
S2_Dual_only_volatile,Full,2016-2025,78,17.31,0.808,-21.17,0.818,59.0,20.19,-1.57,47.4,7.22
S3_QM_C1,Pre-AI,2016-2022,89,20.5,0.69,-23.54,0.871,58.4,28.24,4.05,47.2,9.17
S3_QM_C1,AI_era,2023-2025,39,40.14,1.401,-30.64,1.31,64.1,27.93,-1.62,41.0,10.07
S3_QM_C1,Full,2016-2025,128,25.86,0.885,-30.64,0.844,60.2,28.1,2.53,45.3,9.45
S4_Dual_C1,Pre-AI,2016-2022,39,18.52,0.88,-18.97,0.976,48.7,19.9,8.04,53.8,7.53
S4_Dual_C1,AI_era,2023-2025,39,11.14,0.567,-20.95,0.531,59.0,17.88,-17.37,48.7,7.33
S4_Dual_C1,Full,2016-2025,78,14.56,0.721,-20.95,0.695,53.8,18.82,-4.32,51.3,7.43
S5_Dual_C1_StepA,Pre-AI,2016-2022,39,8.53,0.555,-12.65,0.674,51.3,13.56,-1.94,41.0,7.53
S5_Dual_C1_StepA,AI_era,2023-2025,39,-2.16,-0.247,-32.04,-0.067,51.3,12.78,-30.67,33.3,7.33
S5_Dual_C1_StepA,Full,2016-2025,78,3.01,0.152,-32.04,0.094,51.3,13.17,-15.88,37.2,7.43
