mode,regime,horizon,n_trades,n_weeks,picks_per_week,port_mean_pct,port_sharpe,port_simple_max_dd_pct,port_worst_4w_pct,trade_mean_pct,trade_win_rate_pct
mixed,neutral,fwd_20d,584,58,10.0690,0.8556,0.8374,-47.4739,-31.8833,1.8794,52.2260
mixed,neutral,fwd_40d,584,58,10.0690,3.9162,2.7512,-40.3085,-32.8246,4.5902,52.9110
mixed,ranging,fwd_20d,632,53,11.9245,1.8882,1.7017,-54.4130,-42.4508,2.7656,57.7532
mixed,ranging,fwd_40d,632,53,11.9245,2.8222,1.3878,-106.4303,-87.4808,3.9331,50.9494
mixed,trending,fwd_20d,410,38,10.7895,-1.5339,-1.9058,-61.4371,-30.1305,-1.2965,39.5122
mixed,trending,fwd_40d,410,38,10.7895,1.4562,1.2215,-24.8831,-24.0280,1.5986,46.3415
mixed,volatile,fwd_20d,930,106,8.7736,2.2036,1.9964,-56.9157,-47.6507,2.4624,53.7634
mixed,volatile,fwd_40d,930,106,8.7736,3.9263,2.5976,-68.6583,-45.1273,4.6507,53.6559
pure_right,neutral,fwd_20d,2277,58,39.2586,3.7439,3.3084,-25.8647,-25.8647,3.7481,52.4374
pure_right,neutral,fwd_40d,2277,58,39.2586,7.5800,5.1161,-41.2664,-31.8164,8.1064,56.0386
pure_right,ranging,fwd_20d,1947,53,36.7358,2.0947,1.7805,-68.6287,-43.1620,3.1334,55.1104
pure_right,ranging,fwd_40d,1947,53,36.7358,2.9235,1.5012,-111.8105,-88.7966,4.2375,49.9230
pure_right,trending,fwd_20d,1647,38,43.3421,0.4955,0.5037,-43.8600,-35.3220,0.6379,43.3515
pure_right,trending,fwd_40d,1647,38,43.3421,4.7500,3.6622,-32.9393,-28.6045,4.9240,51.0625
pure_right,volatile,fwd_20d,3392,107,31.7009,3.7452,3.3256,-54.7550,-53.2373,4.1183,54.8054
pure_right,volatile,fwd_40d,3392,107,31.7009,7.1846,4.6194,-71.2591,-42.7579,8.2448,57.1639
pure_left,neutral,fwd_20d,1014,58,17.4828,1.0430,1.1392,-39.9751,-28.4309,1.6466,52.7613
pure_left,neutral,fwd_40d,1014,58,17.4828,4.0880,3.1653,-43.2326,-40.8759,3.9093,53.1558
pure_left,ranging,fwd_20d,1109,53,20.9245,1.3078,1.1897,-80.8164,-46.8986,0.9867,52.6601
pure_left,ranging,fwd_40d,1109,53,20.9245,2.4196,1.3311,-100.8706,-80.6171,1.7820,46.3481
pure_left,trending,fwd_20d,597,38,15.7105,-1.0013,-1.1725,-44.4830,-40.4661,-1.6316,39.3635
pure_left,trending,fwd_40d,597,38,15.7105,1.2811,1.0991,-37.6934,-27.6428,0.4713,44.0536
pure_left,volatile,fwd_20d,1940,107,18.1308,2.5346,2.3883,-55.5932,-48.4717,2.6678,55.6701
pure_left,volatile,fwd_40d,1940,107,18.1308,4.1877,2.7869,-129.4475,-56.5261,3.7830,54.7423
