mode,horizon,picks_per_week_mean,port_n_weeks,port_mean_pct,port_std_pct,port_sharpe,port_sortino,port_win_rate_pct,port_sum_alpha_pct,port_simple_max_dd_pct,port_worst_4w_pct,trade_n_trades,trade_mean_pct,trade_median_pct,trade_std_pct,trade_win_rate_pct,trade_p05_pct,trade_p95_pct
mixed,fwd_5d,10.0235,255,0.2697,3.6057,0.5395,0.7201,56.0784,68.7831,-45.8521,-32.2535,2556,0.3964,0.1583,6.1857,50.4695,-8.7002,10.5963
mixed,fwd_10d,10.0235,255,0.6398,5.2414,0.8803,1.3166,56.8627,163.1541,-81.3378,-39.3112,2556,0.8460,0.3929,9.0514,51.8388,-12.6236,16.4660
mixed,fwd_20d,10.0235,255,1.2745,7.6186,1.2063,2.1178,55.6863,324.9929,-137.0757,-62.7269,2556,1.8012,0.5155,13.2234,52.1127,-16.9012,25.2864
mixed,fwd_40d,10.0235,255,3.3264,11.3292,2.1173,4.4485,58.0392,848.2378,-188.5574,-94.6258,2556,3.9699,0.5351,20.7572,51.6432,-22.7031,44.5705
mixed,fwd_60d,10.0235,255,4.8004,14.9071,2.3221,6.1682,59.6078,1224.1093,-335.6878,-82.9622,2556,5.7962,0.7289,28.9572,51.4476,-25.7565,51.4150
pure_right,fwd_5d,36.1836,256,0.6587,3.8325,1.2394,1.6046,60.9375,168.6305,-51.9497,-34.1281,9263,0.7825,0.1984,7.3791,50.6747,-9.7681,13.8610
pure_right,fwd_10d,36.1836,256,1.4083,5.5335,1.8352,2.7540,65.2344,360.5142,-95.8688,-44.5732,9263,1.5637,0.3827,10.7999,51.5708,-13.1767,21.4635
pure_right,fwd_20d,36.1836,256,2.9208,8.1077,2.5978,4.2957,64.4531,747.7252,-151.8093,-69.6790,9263,3.2015,0.7407,16.1860,52.2509,-17.7562,32.4587
pure_right,fwd_40d,36.1836,256,6.0306,11.5789,3.7558,7.0327,70.3125,1543.8425,-207.3457,-95.8487,9263,6.7780,1.6971,24.9886,54.2805,-22.2222,51.2241
pure_right,fwd_60d,36.1836,256,9.0229,15.1584,4.2924,11.0538,71.8750,2309.8705,-297.4511,-89.2145,9263,10.4125,2.9817,34.8004,55.8890,-25.7258,67.6543
pure_left,fwd_5d,18.2031,256,0.2765,3.3926,0.5877,0.7645,57.8125,70.7804,-49.4923,-33.2429,4660,0.3265,0.1599,6.0917,50.5579,-9.0679,10.4251
pure_left,fwd_10d,18.2031,256,0.6391,5.0246,0.9173,1.2737,59.3750,163.6195,-92.7561,-43.0502,4660,0.7322,0.4357,8.9502,52.3605,-12.7874,15.7752
pure_left,fwd_20d,18.2031,256,1.4178,7.3372,1.3934,2.1395,57.8125,362.9551,-169.6370,-62.0411,4660,1.4947,0.5502,13.2411,52.2318,-17.9595,24.6126
pure_left,fwd_40d,18.2031,256,3.3676,10.7105,2.2673,4.0084,61.7188,862.1090,-284.1102,-89.3439,4660,2.9100,0.4604,19.8388,51.0300,-23.3166,39.0793
pure_left,fwd_60d,18.2031,256,5.2893,13.4244,2.8412,5.9996,64.4531,1354.0598,-394.3663,-92.6578,4660,4.2146,0.4005,25.9991,50.9013,-26.4684,47.6834
