trend_threshold,horizon,n_trades,picks_per_week,port_mean_pct,port_sharpe,port_simple_max_dd_pct,port_sum_alpha_pct,port_worst_4w_pct,trade_mean_pct,trade_win_rate_pct,trade_p05_pct
6,fwd_20d,9263,36.1836,2.9208,2.5978,-151.8093,747.7252,-69.6790,3.2015,52.2509,-17.7562
6,fwd_40d,9263,36.1836,6.0306,3.7558,-207.3457,1543.8425,-95.8487,6.7780,54.2805,-22.2222
7,fwd_20d,8590,33.5547,2.8899,2.5497,-160.2657,739.8057,-68.9947,3.2855,52.2235,-17.6518
7,fwd_40d,8590,33.5547,5.8981,3.6207,-220.5159,1509.9143,-96.4868,6.8212,54.3539,-22.1537
8,fwd_20d,6870,27.0472,2.9438,2.5076,-169.5013,747.7179,-69.1728,3.4446,51.8923,-17.9580
8,fwd_40d,6870,27.0472,5.8685,3.5237,-223.5972,1490.5900,-97.7991,6.9932,54.4396,-22.1537
9,fwd_20d,5119,20.1535,3.2172,2.5304,-191.9828,817.1570,-65.3876,3.6853,51.5921,-18.3860
9,fwd_40d,5119,20.1535,6.1840,3.5333,-244.6621,1570.7241,-99.0135,7.2514,54.5810,-22.2961
10,fwd_20d,3855,15.4819,3.6144,2.5282,-205.1030,899.9978,-68.7401,4.1662,52.0104,-18.4639
10,fwd_40d,3855,15.4819,7.1583,3.7433,-214.5922,1782.4068,-100.5965,8.1517,55.5642,-22.2116
