train_start,train_end,test_start,test_end,mixed_train_mean,mixed_train_sharpe,mixed_test_mean,mixed_test_sharpe,pure_right_train_mean,pure_right_train_sharpe,pure_right_test_mean,pure_right_test_sharpe,pure_left_train_mean,pure_left_train_sharpe,pure_left_test_mean,pure_left_test_sharpe,mixed_test_rank,pure_right_test_rank,pure_left_test_rank
2021-01-08,2021-04-01,2021-04-09,2021-04-29,0.0814,12.4770,-0.0771,-12.2812,0.0845,11.1461,-0.0463,-4.6235,0.0745,11.9106,-0.0712,-10.4909,3.0000,1.0000,2.0000
2021-02-05,2021-04-29,2021-05-07,2021-05-28,0.0255,2.0588,0.0563,5.7920,0.0518,3.9959,0.1246,11.1037,0.0220,1.9123,0.0624,7.2039,3.0000,1.0000,2.0000
2021-03-12,2021-05-28,2021-06-04,2021-06-25,0.0201,1.5854,0.0149,4.5898,0.0689,4.6316,0.1034,18.1529,0.0183,1.5675,0.0149,5.9173,3.0000,1.0000,2.0000
2021-04-09,2021-06-25,2021-07-02,2021-07-23,-0.0020,-0.1929,-0.0058,-0.8195,0.0606,4.3746,-0.0369,-4.7424,0.0020,0.2054,-0.0163,-2.2352,1.0000,3.0000,2.0000
2021-05-07,2021-07-23,2021-07-30,2021-08-20,0.0218,2.9009,-0.0021,-0.2926,0.0637,4.9247,0.0135,2.3872,0.0203,2.6532,-0.0142,-1.7980,2.0000,1.0000,3.0000
2021-06-04,2021-08-20,2021-08-27,2021-09-17,0.0023,0.4004,-0.0838,-14.5146,0.0267,2.6082,-0.0720,-10.7818,-0.0052,-0.8491,-0.0868,-13.8413,2.0000,1.0000,3.0000
2021-07-02,2021-09-17,2021-09-24,2021-10-15,-0.0306,-3.7309,0.0766,4.6165,-0.0318,-3.9949,0.0987,7.2591,-0.0391,-4.8093,0.0657,4.7478,2.0000,1.0000,3.0000
2021-07-30,2021-10-15,2021-10-22,2021-11-12,-0.0031,-0.2272,0.0753,9.2138,0.0134,1.0200,0.0563,14.4258,-0.0118,-0.9258,0.0871,25.3522,2.0000,3.0000,1.0000
2021-08-27,2021-11-12,2021-11-19,2021-12-10,0.0227,1.5260,0.0263,6.7943,0.0277,2.0788,0.0129,2.9486,0.0220,1.5880,0.0502,13.3696,2.0000,3.0000,1.0000
2021-09-24,2021-12-10,2021-12-17,2022-01-07,0.0594,5.6941,-0.0466,-12.4410,0.0560,6.0513,-0.0662,-16.4365,0.0677,8.4527,-0.0471,-15.7472,1.0000,3.0000,2.0000
2021-10-22,2022-01-07,2022-01-14,2022-02-11,0.0183,2.0643,0.0042,0.8360,0.0010,0.1228,-0.0001,-0.0323,0.0301,3.4314,-0.0046,-5.5492,1.0000,2.0000,3.0000
2021-11-19,2022-02-11,2022-02-18,2022-03-11,-0.0054,-0.9146,0.0030,0.5877,-0.0178,-2.9278,-0.0227,-8.8558,-0.0005,-0.0777,-0.0136,-3.6027,1.0000,3.0000,2.0000
2021-12-17,2022-03-11,2022-03-18,2022-04-08,-0.0132,-2.4206,-0.0358,-10.9085,-0.0297,-6.0511,-0.0714,-19.2526,-0.0218,-5.9125,-0.0846,-29.6767,1.0000,2.0000,3.0000
