year,n,n_bear,n_volatile,n_use_3stage,ret_combo,ret_bh,ret_3stage_all,diff_combo_vs_bh,sharpe_combo,sharpe_bh,win_combo,win_bh
2015,103,103,29,103,-0.01691829200089206,-0.05999864786086513,-0.01691829200089206,0.04308035585997307,-1.0914136962397205,-0.9765758148255332,0.23300970873786409,0.3300970873786408
2016,207,22,57,69,0.022934556464964437,0.025332495199438143,0.00039701318757398026,-0.0023979387344737063,0.5887738102638411,0.549805135591014,0.6280193236714976,0.6570048309178744
2017,548,0,51,51,0.05064138894394121,0.06104804922556163,0.010992704278422855,-0.01040666028162042,0.5282612659830838,0.6054617339209777,0.5583941605839416,0.593065693430657
2018,492,111,164,212,-0.02267113955919847,-0.028564601453432217,-0.0030280983679908126,0.005893461894233749,-0.2432068894109049,-0.22804885792363022,0.40040650406504064,0.3882113821138211
2019,487,42,69,73,0.016508669263650806,0.02669073404598341,0.012026983609893635,-0.010182064782332603,0.2170591900414799,0.3158437402953122,0.4928131416837782,0.5092402464065708
2020,523,49,140,153,0.07863283063392644,0.10120461380616073,0.025215625899797173,-0.022571783172234294,0.7161173001044658,0.8281447664634463,0.5391969407265774,0.5755258126195029
2021,607,20,221,230,0.040201953332392994,0.06510938122371164,0.02465948909809096,-0.024907427891318647,0.324639358808874,0.4633093548664024,0.44810543657331137,0.5189456342668863
2022,391,244,211,303,-0.02870643724964592,-0.05751791105189889,-0.011524241159431048,0.028811473802252973,-0.5575252699723733,-0.6251993188772896,0.25831202046035806,0.3350383631713555
2023,573,24,116,133,0.09500750171219544,0.10746986407088582,0.030222602395392425,-0.012462362358690388,0.6765957556798834,0.7403566183030393,0.5881326352530541,0.6335078534031413
2024,577,0,204,204,0.041631226136568264,0.05502583516062186,0.023760752888016178,-0.013394609024053594,0.4245938240426471,0.4678720794382197,0.48180242634315423,0.5303292894280762
2025,415,113,178,197,0.0606674523741574,0.08590428853256363,0.038641067310746145,-0.025236836158406224,0.3451179397326863,0.442766158391741,0.38795180722891565,0.472289156626506
