year,horizon_m,n,pocket_mean,univ_mean,alpha
2016,3,267,0.030121850512088,0.0436004265208892,-0.013478576008801198
2016,6,267,0.04135001980222858,0.09533061072580597,-0.05398059092357739
2016,12,267,0.10996442349570225,0.21931627153442154,-0.1093518480387193
2017,3,459,0.0065862580551193225,0.04497501037460816,-0.038388752319488836
2017,6,459,0.01920857615157574,0.09104405968135036,-0.07183548352977462
2017,12,459,-0.0480127569179098,0.10538488825635808,-0.15339764517426788
2018,3,641,-0.0014718641187367243,0.0038805129501799976,-0.0053523770689167215
2018,6,641,-0.025821099359449446,0.004212726118130686,-0.030033825477580132
2018,12,641,-0.022130843643434817,0.070496424431843,-0.09262726807527781
2019,3,752,-0.009050255490322895,0.006497033972650987,-0.015547289462973882
2019,6,752,-0.010630437692832895,0.028257071159318685,-0.03888750885215158
2019,12,752,0.08063182093611429,0.14706299038806087,-0.06643116945194658
2020,3,505,0.09178872871879597,0.11233460941886025,-0.020545880700064287
2020,6,505,0.1814608140156827,0.24896964753983056,-0.06750883352414785
2020,12,505,0.2687139023985191,0.48033646115623646,-0.21162255875771735
2021,3,585,0.027026183112901607,0.059104678636428896,-0.03207849552352729
2021,6,585,0.02863466552249959,0.07519434268718536,-0.04655967716468577
2021,12,585,0.020526501030285735,0.067977453155161,-0.04745095212487527
2022,3,968,0.004798218079872609,0.017948104242465405,-0.013149886162592796
2022,6,968,0.042223948917136545,0.07449300761936714,-0.032269058702230596
2022,12,968,0.1669439205168356,0.22729271573388302,-0.06034879521704742
2023,3,638,0.06690912984252026,0.06971717382096686,-0.0028080439784465977
2023,6,638,0.11980416199186834,0.1453480927443898,-0.025543930752521468
2023,12,638,0.23356475632877657,0.2980420597935828,-0.06447730346480621
2024,3,693,0.024716699155346005,0.025574500924557545,-0.00085780176921154
2024,6,693,0.013974545794408764,0.01111241774152621,0.0028621280528825545
2024,12,693,-0.05435017196106375,-0.0037090071947626074,-0.05064116476630114
2025,3,687,0.027050944136909855,0.02340989439805649,0.0036410497388533643
2025,6,577,0.05424198590591174,0.07385182512501944,-0.019609839219107694
2025,12,255,0.2082240931270977,0.16687746312055238,0.041346630006545315
