n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,run,period,side,cfg_min_hold,cfg_tp,cfg_rebal,cfg_defer
155,2.98,6.03,7.57,0.664,-10.44,14.2,baseline,IS_2020_2022,value,40,none,13,3
155,2.98,1.83,11.55,0.072,-17.65,32.9,baseline,IS_2020_2022,qm,40,none,13,3
155,2.98,4.12,7.37,0.424,-13.34,40.6,baseline,IS_2020_2022,dual,40,none,13,3
51,0.98,0.0,0.0,,0.0,0.0,baseline,OOS_2023,value,40,none,13,3
51,0.98,24.3,10.45,2.229,-4.05,35.3,baseline,OOS_2023,qm,40,none,13,3
51,0.98,11.65,5.23,2.038,-2.03,35.3,baseline,OOS_2023,dual,40,none,13,3
52,1.0,2.62,4.04,0.401,-2.4,11.5,baseline,OOS_2024,value,40,none,13,3
52,1.0,6.63,8.77,0.642,-5.66,40.4,baseline,OOS_2024,qm,40,none,13,3
52,1.0,4.7,5.33,0.695,-2.84,42.3,baseline,OOS_2024,dual,40,none,13,3
51,0.98,-5.85,13.06,-0.524,-16.4,17.6,baseline,OOS_2025,value,40,none,13,3
51,0.98,-7.95,9.15,-0.979,-11.16,25.5,baseline,OOS_2025,qm,40,none,13,3
51,0.98,-6.65,8.48,-0.902,-8.61,31.4,baseline,OOS_2025,dual,40,none,13,3
309,5.94,1.71,8.04,0.088,-17.77,11.7,baseline,FULL_2020_2025,value,40,none,13,3
309,5.94,6.25,11.2,0.469,-17.65,36.2,baseline,FULL_2020_2025,qm,40,none,13,3
309,5.94,4.18,7.11,0.448,-13.34,42.1,baseline,FULL_2020_2025,dual,40,none,13,3
155,2.98,7.93,15.82,0.438,-36.12,34.8,rule4_monthly_hold0,IS_2020_2022,value,0,none,4,3
155,2.98,4.49,18.18,0.192,-23.64,33.5,rule4_monthly_hold0,IS_2020_2022,qm,0,none,4,3
155,2.98,6.83,13.15,0.444,-18.18,47.7,rule4_monthly_hold0,IS_2020_2022,dual,0,none,4,3
51,0.98,13.95,6.21,2.085,-1.72,17.6,rule4_monthly_hold0,OOS_2023,value,0,none,4,3
51,0.98,10.98,18.94,0.527,-21.01,33.3,rule4_monthly_hold0,OOS_2023,qm,0,none,4,3
51,0.98,12.91,10.89,1.093,-11.03,43.1,rule4_monthly_hold0,OOS_2023,dual,0,none,4,3
52,1.0,7.34,12.04,0.527,-5.33,30.8,rule4_monthly_hold0,OOS_2024,value,0,none,4,3
52,1.0,8.49,10.35,0.724,-7.77,48.1,rule4_monthly_hold0,OOS_2024,qm,0,none,4,3
52,1.0,8.19,8.59,0.837,-3.94,57.7,rule4_monthly_hold0,OOS_2024,dual,0,none,4,3
51,0.98,-1.31,14.88,-0.155,-17.12,25.5,rule4_monthly_hold0,OOS_2025,value,0,none,4,3
