me_date,n,ic,p,factor,horizon_m
2016-02-29,1395,0.0797071057926223,0.0028908837942428997,nm,1
2016-03-31,1395,0.05021885361533211,0.06077059637017621,nm,1
2016-04-30,1395,0.10495922016284093,8.582144887357201e-05,nm,1
2016-05-31,1412,-0.06531515235907358,0.014097535997677383,nm,1
2016-06-30,1411,-0.023847082604751706,0.370729336840377,nm,1
2016-07-31,1412,0.035974062244451044,0.17668817891336297,nm,1
2016-08-31,1447,0.014340438243408039,0.5857129177481596,nm,1
2016-09-30,1447,-0.02997908118274439,0.2544286112061514,nm,1
2016-10-31,1447,-0.009938385931361822,0.7056286656757719,nm,1
2016-11-30,1460,-0.015957176956821174,0.5423657452316875,nm,1
2016-12-31,1460,-0.06474315762176916,0.013349382911060834,nm,1
2017-01-31,1460,-0.07327472273854639,0.005091432413215371,nm,1
2017-02-28,1513,0.13028326656992167,3.6730351846853423e-07,nm,1
2017-03-31,1514,0.11921763119146819,3.2946092155687414e-06,nm,1
2017-04-30,1514,0.06104130969676477,0.017530882088120238,nm,1
2017-05-31,1522,0.0862120573395082,0.0007602319445541258,nm,1
2017-06-30,1523,0.11300573525937752,9.839700351292097e-06,nm,1
2017-07-31,1523,-0.023638026198467284,0.35660144405051386,nm,1
2017-08-31,1543,-0.11005448180193657,1.47279896506261e-05,nm,1
2017-09-30,1543,0.056699270704099795,0.02593437322661167,nm,1
2017-10-31,1543,0.04089926975867143,0.10828802460842905,nm,1
2017-11-30,1548,0.013903105960605159,0.5846555486682864,nm,1
2017-12-31,1548,-0.017439828508928952,0.4929265999412624,nm,1
2018-01-31,1549,0.06067842291851928,0.016921257943707132,nm,1
2018-02-28,1560,0.0847840299028829,0.0008021450365329119,nm,1
2018-03-31,1560,0.06769359102055,0.007481672587194415,nm,1
2018-04-30,1559,0.01880433936676006,0.45812134143493755,nm,1
2018-05-31,1567,-0.03635992513469854,0.15025041565809924,nm,1
2018-06-30,1567,0.16277516344128684,9.072914977939224e-11,nm,1
2018-07-31,1567,0.04662900938173868,0.06498569685778015,nm,1
2018-08-31,1569,-0.04610458182586625,0.06788856575718144,nm,1
2018-09-30,1570,0.020376559064296324,0.4197669097767672,nm,1
2018-10-31,1570,0.021898954599273285,0.3858762120269149,nm,1
2018-11-30,1576,0.014440648696801582,0.566744640858287,nm,1
2018-12-31,1576,0.16768291041631997,2.0981559189177395e-11,nm,1
2019-01-31,1576,0.05980206457049102,0.017581513790841524,nm,1
2019-02-28,1591,0.15815186250971555,2.2495455875678676e-10,nm,1
2019-03-31,1593,0.042398542110788646,0.09071080215536305,nm,1
2019-04-30,1594,0.06886462736047785,0.005949999229487531,nm,1
2019-05-31,1594,0.14873319924108414,2.420707705958293e-09,nm,1
2019-06-30,1595,0.0690407149250361,0.005807790216121844,nm,1
2019-07-31,1595,0.10363491856788026,3.3709575914248906e-05,nm,1
2019-08-31,1603,-0.05488054308201159,0.028004685544254924,nm,1
