scenario,regime,n,mean_20d,win_20d,mean_40d,win_40d,mean_60d,win_60d
A,neutral,348,0.010489138610712078,0.5028735632183908,0.016373539539033234,0.5373563218390804,0.016261195038609184,0.5
A,ranging,278,0.003940055413836848,0.4712230215827338,0.017426325720334097,0.49280575539568344,0.045129020334202775,0.5143884892086331
A,trending,242,0.0016101871881525692,0.47107438016528924,0.01316102017383865,0.4834710743801653,0.012930576951571736,0.47107438016528924
A,volatile,362,0.027206268310374798,0.5662983425414365,0.032346699033437926,0.5248618784530387,0.03342748525823017,0.48066298342541436
B,neutral,354,0.01284301453266804,0.5169491525423728,0.014589855456258462,0.5028248587570622,0.035512525855158794,0.4971751412429379
B,ranging,292,0.027931509716562775,0.5753424657534246,0.062245534243806945,0.5582191780821918,0.1096406134903236,0.5993150684931506
B,trending,196,-0.009147971455067428,0.4489795918367347,0.01130165644079791,0.45408163265306123,0.037408638297970476,0.49489795918367346
B,volatile,314,0.02355507553030365,0.5636942675159236,0.03841246951548795,0.5573248407643312,0.04191992353391709,0.5318471337579618
C_low,neutral,191,0.006135391354881388,0.5078534031413613,0.04790099221855708,0.5445026178010471,0.08434834420902161,0.5706806282722513
C_low,ranging,180,-0.0097083125153003,0.5055555555555555,-0.011921067322145255,0.45,-0.0078096319299011474,0.42777777777777776
C_low,trending,83,0.005021832603383617,0.4819277108433735,0.010665465978563578,0.4578313253012048,0.015832488034963295,0.4939759036144578
C_low,volatile,241,0.03551615599358726,0.6058091286307054,0.08001214112577401,0.6099585062240664,0.1030961481923206,0.5726141078838174
C_mid,neutral,578,0.010943586640622113,0.4844290657439446,0.027641029930593402,0.5155709342560554,0.04465288362182355,0.5242214532871973
C_mid,ranging,522,0.01778123466144352,0.5478927203065134,0.02838608651295414,0.5095785440613027,0.054761368204096134,0.5268199233716475
C_mid,trending,219,0.001977790944723105,0.45662100456621,0.04118811503301781,0.5251141552511416,0.0483422797581643,0.5753424657534246
C_mid,volatile,523,0.021092609724224602,0.5544933078393881,0.040010121358231884,0.5296367112810707,0.053483731389129596,0.5315487571701721
