cluster,scenario,n,mean_fwd60,winrate_60
2015H2_China,A,14,0.07744037364910061,0.8571428571428571
2015H2_China,B,3,0.05293306570068109,1.0
2015H2_China,C_mid,14,-0.023346804134175034,0.5
2015H2_China,C_low,9,-0.0612088890082619,0.5555555555555556
2018H2_Fed_Trade,A,13,0.03907950161478085,0.5384615384615384
2018H2_Fed_Trade,B,14,0.04080264284197188,0.5714285714285714
2018H2_Fed_Trade,C_mid,22,0.1356691043832249,0.5909090909090909
2018H2_Fed_Trade,C_low,16,0.07290433964316373,0.75
2020Q1_COVID,A,2,0.122665055843592,1.0
2020Q1_COVID,B,16,0.1727523012806576,0.625
2020Q1_COVID,C_mid,11,0.2736719420299894,0.6363636363636364
2020Q1_COVID,C_low,11,0.49419270021393236,1.0
2022_FedHike,A,53,-0.07835906295691725,0.33962264150943394
2022_FedHike,B,55,-0.05337082050958673,0.4727272727272727
2022_FedHike,C_mid,84,-0.0037630054828639227,0.44047619047619047
2022_FedHike,C_low,52,0.06315962275781593,0.5961538461538461
2025H1_Tariff,A,26,-0.02204252361960107,0.4230769230769231
2025H1_Tariff,B,16,0.023984397618780656,0.375
2025H1_Tariff,C_mid,39,-0.04626730215371285,0.2564102564102564
2025H1_Tariff,C_low,26,0.031028799180336568,0.34615384615384615
