week_end_date,A,B,C_mid,C_low,total,clow_pct
2015-10-30,1,0,3,3,7,0.42857142857142855
2015-11-06,0,1,3,2,6,0.3333333333333333
2015-11-13,0,0,1,1,2,0.5
2015-11-20,1,0,2,0,3,0.0
2015-11-27,1,0,1,1,3,0.3333333333333333
2015-12-04,2,0,0,0,2,0.0
2015-12-11,0,0,1,0,1,0.0
2015-12-18,1,1,0,0,2,0.0
2015-12-25,1,1,0,0,2,0.0
2015-12-31,1,0,1,0,2,0.0
2016-01-08,0,0,1,0,1,0.0
2016-01-15,1,0,0,0,1,0.0
2016-01-22,1,0,0,1,2,0.5
2016-01-29,1,0,0,1,2,0.5
2016-02-03,1,0,0,0,1,0.0
2016-02-19,1,0,0,0,1,0.0
2016-02-26,1,0,1,0,2,0.0
2018-10-05,1,3,3,0,7,0.0
2018-10-12,2,0,2,2,6,0.3333333333333333
2018-10-19,0,1,0,0,1,0.0
2018-10-26,1,1,1,0,3,0.0
2018-11-02,1,0,1,0,2,0.0
2018-11-09,1,0,0,0,1,0.0
2018-11-16,0,0,1,2,3,0.6666666666666666
2018-11-23,1,0,1,1,3,0.3333333333333333
2018-11-30,1,0,0,1,2,0.5
2018-12-07,0,2,0,0,2,0.0
2018-12-21,0,0,1,1,2,0.5
2018-12-28,1,0,0,0,1,0.0
2019-01-04,0,1,1,0,2,0.0
2019-01-11,0,0,1,1,2,0.5
2019-01-18,1,1,0,1,3,0.3333333333333333
2019-01-25,1,0,2,2,5,0.4
2019-01-30,1,0,2,2,5,0.4
2019-02-15,0,1,2,0,3,0.0
2019-02-22,1,1,1,0,3,0.0
2019-02-27,0,1,1,1,3,0.3333333333333333
2019-03-08,0,2,2,2,6,0.3333333333333333
2020-03-13,0,0,1,1,2,0.5
2020-03-20,0,0,0,1,1,1.0
2020-03-27,0,1,0,1,2,0.5
2020-04-01,0,0,2,0,2,0.0
2020-04-17,0,1,0,1,2,0.5
2020-04-24,1,3,1,0,5,0.0
2020-04-30,0,3,2,0,5,0.0
2020-05-08,1,3,1,0,5,0.0
2020-05-15,0,2,2,4,8,0.5
2020-05-22,0,1,1,2,4,0.5
2020-05-29,0,2,1,1,4,0.25
2022-04-08,0,2,1,2,5,0.4
2022-04-15,0,5,3,0,8,0.0
2022-04-22,2,2,5,1,10,0.1
2022-04-29,2,1,4,2,9,0.2222222222222222
2022-05-06,2,0,3,3,8,0.375
2022-05-13,2,0,5,2,9,0.2222222222222222
2022-05-20,1,1,3,2,7,0.2857142857142857
2022-05-27,0,3,6,0,9,0.0
2022-06-02,2,2,4,2,10,0.2
2022-06-10,2,4,1,1,8,0.125
2022-06-17,2,3,2,1,8,0.125
2022-06-24,1,0,4,0,5,0.0
2022-07-01,1,1,0,2,4,0.5
2022-07-08,2,1,1,3,7,0.42857142857142855
2022-07-15,2,2,1,0,5,0.0
2022-07-22,2,2,0,0,4,0.0
2022-07-29,4,0,0,1,5,0.2
2022-08-05,5,1,1,0,7,0.0
2022-08-12,2,3,1,1,7,0.14285714285714285
2022-08-19,2,1,0,2,5,0.4
2022-08-26,3,1,1,0,5,0.0
2022-09-02,1,2,3,2,8,0.25
2022-09-08,2,0,4,3,9,0.3333333333333333
2022-09-16,2,0,2,2,6,0.3333333333333333
2022-09-23,0,2,2,1,5,0.2
2022-09-30,2,0,2,3,7,0.42857142857142855
2022-10-07,2,1,1,1,5,0.2
2022-10-14,0,2,0,2,4,0.5
2022-10-21,0,0,1,2,3,0.6666666666666666
2022-10-28,1,0,1,0,2,0.0
2022-11-04,1,0,4,1,6,0.16666666666666666
2022-11-18,0,1,0,0,1,0.0
2022-11-25,1,2,2,0,5,0.0
2022-12-02,0,1,0,1,2,0.5
2022-12-09,1,2,0,1,4,0.25
2022-12-16,0,1,2,0,3,0.0
2022-12-23,0,0,4,1,5,0.2
2022-12-30,0,0,3,4,7,0.5714285714285714
2023-01-06,1,3,2,2,8,0.25
2023-01-13,0,3,5,1,9,0.1111111111111111
2025-03-07,2,3,4,1,10,0.1
2025-03-14,3,1,7,4,15,0.26666666666666666
2025-03-21,4,1,4,4,13,0.3076923076923077
2025-03-28,2,1,10,4,17,0.23529411764705882
2025-04-02,2,2,5,2,11,0.18181818181818182
2025-04-11,2,0,1,1,4,0.25
2025-04-18,0,0,4,1,5,0.2
2025-04-25,0,0,1,2,3,0.6666666666666666
2025-05-02,1,0,1,0,2,0.0
2025-05-09,2,2,0,2,6,0.3333333333333333
2025-05-16,3,0,0,0,3,0.0
2025-05-23,2,1,2,0,5,0.0
2025-05-29,3,1,0,3,7,0.42857142857142855
2025-06-06,0,4,0,2,6,0.3333333333333333
