band,rank_low,rank_high,horizon,n,mean_ret,winrate,median_ret
1-5,1,5,5,629,0.006522725441335438,0.5294117647058824,0.004081632653061273
6-10,6,10,5,567,0.001794772954241236,0.49029982363315694,0.0
11-25,11,25,5,1650,0.0033454297140769742,0.5103030303030303,0.00261438355228083
26-50,26,50,5,2077,0.0016372820683372288,0.48964853153586907,0.0
1-5,1,5,20,629,0.02049100629691637,0.5468998410174881,0.009009009009008917
6-10,6,10,20,567,0.0194194098297856,0.5308641975308642,0.005281676779756106
11-25,11,25,20,1650,0.014786635203514443,0.5224242424242425,0.004692979703009192
26-50,26,50,20,2077,0.00985284102711551,0.5122773230621088,0.004076128505128951
1-5,1,5,40,629,0.019382498174975622,0.5548489666136724,0.01377410468319562
6-10,6,10,40,567,0.047467251318769936,0.5555555555555556,0.016094421127857084
11-25,11,25,40,1650,0.03415780447241437,0.5206060606060606,0.007035770247780793
26-50,26,50,40,2077,0.026720860442567423,0.5002407318247473,0.0012210012210012167
1-5,1,5,60,629,0.03137125184005786,0.5135135135135135,0.006711409395973256
6-10,6,10,60,567,0.06625338858072205,0.5008818342151675,0.0006377601140288292
11-25,11,25,60,1650,0.0510285022603062,0.5527272727272727,0.015625
26-50,26,50,60,2077,0.04373604124948629,0.5045739046701974,0.0029325513196480912
