scenario,horizon,n,mean_ret,winrate,median_ret
A,5,1230,0.005357962783156985,0.4951219512195122,0.0
B,5,1156,0.002211067702013375,0.5008650519031141,0.000855352968928691
C_low,5,695,0.003191885986007322,0.497841726618705,0.0
C_mid,5,1842,0.001452972423850467,0.50814332247557,0.0021672223804786173
A,20,1230,0.012182024446717924,0.508130081300813,0.0028489824705525413
B,20,1156,0.015835397312390094,0.532871972318339,0.006489781094894065
C_low,20,695,0.01208714992311318,0.5381294964028777,0.009183689039580667
C_mid,20,1842,0.014696942819878897,0.5190010857763301,0.004395599188825483
A,40,1230,0.020680473367487743,0.5130081300813009,0.00437638856967737
B,40,1156,0.032540782803604444,0.523356401384083,0.006114438633121666
C_low,40,695,0.039095621702576355,0.5323741007194245,0.008862703097144431
C_mid,40,1842,0.03297477911087471,0.5190010857763301,0.005921459097468107
A,60,1230,0.02718269334317402,0.491869918699187,-0.0010029937530791067
B,60,1156,0.05629882559511495,0.5320069204152249,0.013658295339257553
C_low,60,695,0.05879865930617573,0.5251798561151079,0.012820512820512775
C_mid,60,1842,0.050463491704400086,0.5331161780673181,0.012475549035298239
