factor,horizon_m,n_months,ic_mean,ir,hit_rate,t_stat,spread_q10_q1,spread_sharpe,monotonic_corr,wf_sign_hit,wf_n,grade
yoy_diff,1,116,0.00242944441931822,0.05412385157345095,0.5172413793103449,0.582931721439839,0.0016004913741973197,0.09093240024546541,0.7696969696969697,,0,D
yoy_diff,3,116,-0.0010388599632137252,-0.023520577310440407,0.5086206896551724,-0.25332437035134,-0.0005472568436274902,-0.016121281529173147,0.3939393939393939,,0,D
yoy_diff,6,114,-0.0040114392341968,-0.08712534785400232,0.5,-0.9302441567726311,-0.005886853966198327,-0.10533265313456368,0.16363636363636364,,0,D
yoy_diff,12,108,-0.020785672395947693,-0.44618807996745335,0.4166666666666667,-4.636922545411407,-0.022120640280703763,-0.27033447411706524,-0.16363636363636364,0.75,4,B
yoy_diff_2q,1,113,-6.609474739525623e-05,-0.001454367203868251,0.5132743362831859,-0.015460135442378693,-6.981227485524169e-05,-0.0037602378243329587,0.5878787878787878,,0,D
yoy_diff_2q,3,113,-0.0037817435667720305,-0.07955792269354878,0.504424778761062,-0.8457123187906945,-0.0005901122704940823,-0.01718759831746961,0.2727272727272727,,0,D
yoy_diff_2q,6,111,-0.012376668711197483,-0.24779360927497843,0.4594594594594595,-2.6106676694908515,-0.010441247526110212,-0.1835036847513804,-0.18787878787878787,,0,C
yoy_diff_2q,12,105,-0.023583991740494695,-0.5270820220735326,0.34285714285714286,-5.400983529809919,-0.013985934749586898,-0.17269223768131894,-0.38181818181818183,1.0,3,B
positive_2q,1,113,0.0015549661990014532,0.039285130587756935,0.5221238938053098,0.4176066664201783,0.006325529255911936,0.20168807602568342,0.6484848484848483,,0,D
positive_2q,3,113,-0.000295539820685437,-0.0073751789730853255,0.5221238938053098,-0.07839922787891161,0.019294304958051987,0.3778111833552742,0.5393939393939393,,0,D
positive_2q,6,111,-0.007335327188150487,-0.17137185101525407,0.4954954954954955,-1.8055144852821818,0.038584016506022036,0.5731348140538716,0.17575757575757575,,0,D
positive_2q,12,105,-0.017981864928843534,-0.41483949145003535,0.3904761904761905,-4.25083984466423,0.0862964483128551,0.9560495481939357,-0.01818181818181818,1.0,3,C
