run,mt_mode,cap_label,cap,period,side,n_weeks,n_years,cagr,vol_annual,sharpe,mdd,hit_rate,mean_qm_top1_sec,mean_qm_top3_sec,qm_skip,value_skip
industry_tse__no_cap,industry_tse,no_cap,,IS_2020_2022,value,155,2.98,23.69,11.09,2.046,-7.97,21.9,0.559447004608295,0.9331694828469022,0,0
industry_tse__no_cap,industry_tse,no_cap,,IS_2020_2022,qm,155,2.98,4.49,18.18,0.192,-23.64,33.5,0.559447004608295,0.9331694828469022,0,0
industry_tse__no_cap,industry_tse,no_cap,,IS_2020_2022,dual,155,2.98,14.2,11.76,1.122,-11.78,42.6,0.559447004608295,0.9331694828469022,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2023,value,51,0.98,5.1,3.4,1.203,-0.31,5.9,0.6186741363211952,0.941736694677871,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2023,qm,51,0.98,10.98,18.94,0.527,-21.01,33.3,0.6186741363211952,0.941736694677871,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2023,dual,51,0.98,8.45,10.1,0.738,-11.03,35.3,0.6186741363211952,0.941736694677871,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2024,value,52,1.0,11.53,8.31,1.266,-3.2,19.2,0.46602564102564104,0.8803418803418803,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2024,qm,52,1.0,8.49,10.35,0.724,-7.77,48.1,0.46602564102564104,0.8803418803418803,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2024,dual,52,1.0,10.25,6.47,1.428,-3.94,59.6,0.46602564102564104,0.8803418803418803,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2025,value,51,0.98,-3.66,12.94,-0.36,-17.9,13.7,0.5949579831932773,0.9619047619047619,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2025,qm,51,0.98,19.92,15.57,1.215,-7.39,37.3,0.5949579831932773,0.9619047619047619,0,0
industry_tse__no_cap,industry_tse,no_cap,,OOS_2025,dual,51,0.98,7.95,10.7,0.65,-8.83,41.2,0.5949579831932773,0.9619047619047619,0,0
industry_tse__no_cap,industry_tse,no_cap,,FULL_2020_2025,value,309,5.94,12.44,10.88,1.052,-17.9,16.2,0.5021574973031284,0.8999999999999999,0,0
industry_tse__no_cap,industry_tse,no_cap,,FULL_2020_2025,qm,309,5.94,11.72,19.01,0.564,-23.64,37.9,0.5021574973031284,0.8999999999999999,0,0
industry_tse__no_cap,industry_tse,no_cap,,FULL_2020_2025,dual,309,5.94,12.63,11.73,0.991,-11.78,43.7,0.5021574973031284,0.8999999999999999,0,0
industry_tse__no_cap,industry_tse,no_cap,,BEAR_2022,value,51,0.98,10.33,9.79,0.953,-6.85,13.7,0.6873015873015873,0.9711484593837534,0,0
industry_tse__no_cap,industry_tse,no_cap,,BEAR_2022,qm,51,0.98,17.22,16.15,1.005,-10.37,25.5,0.6873015873015873,0.9711484593837534,0,0
industry_tse__no_cap,industry_tse,no_cap,,BEAR_2022,dual,51,0.98,14.05,10.9,1.198,-7.89,29.4,0.6873015873015873,0.9711484593837534,0,0
industry_tse__no_cap,industry_tse,no_cap,,AI_ERA_2024_2025,value,103,1.98,3.73,10.85,0.252,-17.9,16.5,0.5298659269533057,0.9207273848050549,0,0
