year,leg,n_rebal,ann_ret_pct,sharpe,mdd_pct,hit
2016,val_ret,13,0.0,,0.0,0.0
2017,val_ret,13,0.0,,0.0,0.0
2018,val_ret,13,8.23,1.227,0.0,15.4
2019,val_ret,13,0.0,,0.0,0.0
2020,val_ret,13,23.0,1.648,-1.95,23.1
2021,val_ret,13,46.39,2.147,0.0,30.8
2022,val_ret,13,4.82,0.19,-12.46,23.1
2023,val_ret,12,6.94,0.822,0.0,8.3
2024,val_ret,13,5.88,0.928,-1.89,23.1
2025,val_ret,13,-11.5,-1.483,-11.5,7.7
2016,qm_ret,13,13.89,1.078,-8.19,61.5
2017,qm_ret,13,33.92,1.853,-6.1,69.2
2018,qm_ret,13,-8.3,-0.314,-27.33,23.1
2019,qm_ret,13,61.43,2.391,-9.66,69.2
2020,qm_ret,13,18.92,0.519,-14.72,53.8
2021,qm_ret,13,88.86,2.228,-12.93,69.2
2022,qm_ret,13,4.33,0.106,-18.27,38.5
2023,qm_ret,12,12.89,0.673,-15.5,58.3
2024,qm_ret,13,9.83,0.399,-12.21,46.2
2025,qm_ret,13,43.27,1.023,-30.24,61.5
2016,combined_ret,13,6.91,0.989,-4.14,61.5
2017,combined_ret,13,16.23,1.714,-3.05,69.2
2018,combined_ret,13,-0.86,-0.111,-14.43,23.1
2019,combined_ret,13,28.2,2.153,-4.89,69.2
2020,combined_ret,13,22.72,1.165,-7.36,61.5
2021,combined_ret,13,69.22,2.877,-6.57,69.2
2022,combined_ret,13,5.33,0.188,-15.06,38.5
2023,combined_ret,12,10.27,0.941,-7.94,58.3
2024,combined_ret,13,8.43,0.642,-6.18,53.8
2025,combined_ret,13,14.97,0.642,-17.52,53.8
