strategy,mcap,regime,top_n,cagr_pct,sharpe,mdd_pct,vol_pct,hit_rate,v_on_pct,n_rebal
Dual-tv_top_25-only_volatile,tv_top_25,only_volatile,20,27.41,1.242,-25.17,21.26,67.1,28.9,76
Dual-tv_top_25-none,tv_top_25,none,20,36.94,0.908,-45.87,39.57,61.8,100.0,76
Dual-tv_top_50-only_volatile,tv_top_50,only_volatile,20,21.27,1.106,-16.64,18.34,55.8,28.6,77
Dual-tv_top_50-none,tv_top_50,none,20,25.24,0.948,-29.34,25.58,59.7,100.0,77
Dual-tv_top_75-only_volatile,tv_top_75,only_volatile,20,21.67,1.139,-17.0,18.15,57.1,28.6,77
Dual-tv_top_75-none,tv_top_75,none,20,26.71,1.041,-28.95,24.7,59.7,100.0,77
Dual-all-only_volatile,all,only_volatile,20,17.45,0.804,-25.46,20.45,52.6,26.9,78
Dual-all-none,all,none,20,15.73,0.532,-43.03,27.71,56.4,100.0,78
Baseline-A_top5,all,only_volatile,5,19.66,0.984,-14.81,18.95,21.8,26.9,78
Baseline-A_top5_tv_top_75,tv_top_75,only_volatile,5,8.93,0.509,-18.39,15.59,18.2,28.6,77
