signal,horizon,regime,n_obs,n_days,signal_rate,mean_ret_1,mean_ret_0,spread,ic_mean,ic_std,ic_ir,ic_tstat,ic_p,win_rate,grade
F1_lowbase,20,all,6052833,3446,0.3237,0.00605,0.01444,-0.01058,-0.03893,0.0693,-0.562,-32.98,0.0,29.51,D
F1_lowbase,20,2016-2019,1615930,973,0.3127,0.00601,0.01314,-0.0089,-0.04237,0.0627,-0.676,-21.079,0.0,27.24,D
F1_lowbase,20,2020-2022,1297148,734,0.346,0.01309,0.01848,-0.00985,-0.03259,0.07566,-0.431,-11.67,0.0,35.15,D
F1_lowbase,20,2023-2025,1360934,724,0.3629,0.00679,0.01836,-0.01136,-0.041,0.06255,-0.655,-17.637,0.0,24.86,D
F1_lowbase,60,all,5975313,3406,0.3225,0.02214,0.04257,-0.02488,-0.0602,0.06282,-0.958,-55.932,0.0,15.59,D
F1_lowbase,60,2016-2019,1615496,973,0.3127,0.01308,0.03097,-0.02182,-0.06873,0.05262,-1.306,-40.742,0.0,8.02,D
F1_lowbase,60,2020-2022,1297148,734,0.346,0.05077,0.06431,-0.02048,-0.04625,0.06678,-0.692,-18.761,0.0,24.52,D
F1_lowbase,60,2023-2025,1360790,724,0.3629,0.01915,0.05076,-0.02862,-0.0656,0.05163,-1.271,-34.187,0.0,8.15,D
F2_squeeze,20,all,6052833,3564,0.2534,0.01283,0.01134,0.00251,0.00549,0.05018,0.109,6.534,0.0,54.94,C
F2_squeeze,20,2016-2019,1615930,973,0.2643,0.01189,0.01056,0.00136,0.01198,0.0441,0.272,8.474,0.0,64.95,C
F2_squeeze,20,2020-2022,1297148,734,0.2515,0.01573,0.01691,-0.00067,0.00205,0.05389,0.038,1.03,0.3034,48.37,D
F2_squeeze,20,2023-2025,1360934,724,0.256,0.00983,0.01565,-0.00477,-0.00103,0.04017,-0.026,-0.69,0.4902,46.96,D
F2_squeeze,60,all,5975313,3524,0.2543,0.04193,0.03396,0.01165,0.00186,0.04742,0.039,2.332,0.0198,53.41,D
F2_squeeze,60,2016-2019,1615496,973,0.2643,0.02809,0.0244,0.00426,0.00647,0.03664,0.177,5.508,0.0,57.86,C
F2_squeeze,60,2020-2022,1297148,734,0.2515,0.05674,0.0606,0.0119,0.00318,0.05131,0.062,1.68,0.0935,53.13,D
F2_squeeze,60,2023-2025,1360790,724,0.2559,0.03465,0.04088,-0.00844,-0.00205,0.0366,-0.056,-1.506,0.1325,47.24,D
F3_atr_decay,20,all,6052833,3563,0.3337,0.01074,0.01221,-0.00345,0.01169,0.05542,0.211,12.588,0.0,59.44,D
F3_atr_decay,20,2016-2019,1615930,973,0.3517,0.0096,0.01162,-0.00132,0.01186,0.04823,0.246,7.672,0.0,62.49,D
F3_atr_decay,20,2020-2022,1297148,734,0.335,0.01125,0.01932,-0.00336,0.01271,0.06668,0.191,5.163,0.0,58.04,D
F3_atr_decay,20,2023-2025,1360934,724,0.3482,0.01188,0.01538,-0.0047,0.00732,0.04976,0.147,3.959,0.0001,55.25,D
F3_atr_decay,60,all,5975313,3523,0.3347,0.03176,0.03811,-0.01273,-0.00075,0.05254,-0.014,-0.842,0.3997,47.83,D
F3_atr_decay,60,2016-2019,1615496,973,0.3517,0.02033,0.02812,-0.00472,0.0002,0.04283,0.005,0.146,0.8839,48.1,D
F3_atr_decay,60,2020-2022,1297148,734,0.335,0.04532,0.06683,-0.01298,0.0056,0.06303,0.089,2.405,0.0164,50.68,D
F3_atr_decay,60,2023-2025,1360790,724,0.3482,0.03038,0.04405,-0.01462,-0.00575,0.05467,-0.105,-2.83,0.0048,47.51,D
F4_no_newlow,20,all,6052833,3523,0.617,0.01253,0.01041,0.00342,0.01433,0.06919,0.207,12.295,0.0,62.05,C
F4_no_newlow,20,2016-2019,1615930,973,0.641,0.0123,0.00843,0.00551,0.02873,0.05858,0.49,15.298,0.0,71.22,B
F4_no_newlow,20,2020-2022,1297148,734,0.6392,0.01478,0.01987,0.00443,0.01163,0.06662,0.174,4.728,0.0,54.77,C
F4_no_newlow,20,2023-2025,1360934,724,0.6516,0.01688,0.00908,0.00812,0.01483,0.06112,0.243,6.527,0.0,66.71,C
F4_no_newlow,60,all,5975313,3483,0.6173,0.03911,0.03094,0.00919,0.02893,0.0646,0.448,26.431,0.0,70.74,B
F4_no_newlow,60,2016-2019,1615496,973,0.641,0.02693,0.02261,0.01396,0.04878,0.04782,1.02,31.821,0.0,87.26,A
F4_no_newlow,60,2020-2022,1297148,734,0.6392,0.05804,0.06243,0.01616,0.02748,0.06826,0.403,10.907,0.0,61.72,B
F4_no_newlow,60,2023-2025,1360790,724,0.6516,0.04935,0.02047,0.0253,0.03257,0.07065,0.461,12.406,0.0,68.51,B
C_any1,20,all,6052833,3564,0.8688,0.01204,0.00958,0.00137,0.00698,0.04498,0.155,9.259,0.0,58.92,C
C_any1,20,2016-2019,1615930,973,0.8932,0.01097,0.01038,0.00301,0.01312,0.03613,0.363,11.331,0.0,65.78,C
C_any1,20,2020-2022,1297148,734,0.8883,0.01468,0.032,-0.00264,0.00301,0.04611,0.065,1.767,0.0777,53.68,D
C_any1,20,2023-2025,1360934,724,0.9015,0.01375,0.01795,0.00186,0.00558,0.03814,0.146,3.936,0.0001,59.53,C
C_any1,60,all,5975313,3524,0.8686,0.03837,0.02023,0.00815,0.00693,0.04486,0.154,9.171,0.0,59.82,C
C_any1,60,2016-2019,1615496,973,0.8931,0.02526,0.02632,0.00768,0.01542,0.03892,0.396,12.357,0.0,68.96,B
C_any1,60,2020-2022,1297148,734,0.8883,0.05681,0.08204,0.00997,0.01104,0.04224,0.261,7.08,0.0,63.22,C
C_any1,60,2023-2025,1360790,724,0.9015,0.03998,0.03292,0.00994,0.00723,0.04123,0.175,4.721,0.0,62.02,C
C_any2,20,all,6052833,3563,0.4574,0.00941,0.01367,-0.00423,-0.00177,0.05121,-0.035,-2.066,0.0389,50.72,D
C_any2,20,2016-2019,1615930,973,0.4744,0.00995,0.01178,-0.00157,0.0074,0.04367,0.169,5.285,0.0,59.51,D
C_any2,20,2020-2022,1297148,734,0.4689,0.01312,0.0197,-0.00134,0.0061,0.05224,0.117,3.163,0.0016,54.22,D
C_any2,20,2023-2025,1360934,724,0.4884,0.01085,0.01732,-0.00621,-0.01064,0.05384,-0.198,-5.317,0.0,41.99,D
C_any2,60,all,5975313,3523,0.4579,0.03025,0.04083,-0.01101,-0.0146,0.04999,-0.292,-17.337,0.0,39.4,D
C_any2,60,2016-2019,1615496,973,0.4744,0.02142,0.02894,-0.00416,-0.00439,0.04276,-0.103,-3.2,0.0014,48.41,D
C_any2,60,2020-2022,1297148,734,0.4689,0.05003,0.06809,-0.00203,-0.00133,0.04983,-0.027,-0.726,0.4682,47.41,D
C_any2,60,2023-2025,1360790,724,0.4884,0.03267,0.04561,-0.01453,-0.02264,0.05173,-0.438,-11.778,0.0,32.32,D
C_all3,20,all,6052833,3523,0.1704,0.00876,0.01233,-0.00545,-0.00534,0.04478,-0.119,-7.081,0.0,45.9,D
C_all3,20,2016-2019,1615930,973,0.1728,0.00894,0.01132,-0.00319,-0.00261,0.04054,-0.064,-2.01,0.0448,44.81,D
C_all3,20,2020-2022,1297148,734,0.1801,0.01174,0.01769,-0.00657,-0.00515,0.04907,-0.105,-2.843,0.0046,48.23,D
C_all3,20,2023-2025,1360934,724,0.1909,0.01041,0.01505,-0.0075,-0.01127,0.04366,-0.258,-6.946,0.0,39.5,D
C_all3,60,all,5975313,3483,0.171,0.02709,0.03782,-0.01289,-0.01515,0.04027,-0.376,-22.199,0.0,34.86,D
C_all3,60,2016-2019,1615496,973,0.1728,0.01669,0.02719,-0.0082,-0.01391,0.03611,-0.385,-12.015,0.0,33.09,D
C_all3,60,2020-2022,1297148,734,0.1801,0.04734,0.06232,-0.00887,-0.00851,0.04355,-0.195,-5.294,0.0,40.74,D
C_all3,60,2023-2025,1360790,724,0.1909,0.02951,0.0416,-0.01557,-0.02011,0.04121,-0.488,-13.127,0.0,34.25,D
C_all4,20,all,6052833,3422,0.0312,0.00847,0.01183,-0.00592,-0.0064,0.03492,-0.183,-10.715,0.0,41.41,D
C_all4,20,2016-2019,1615930,973,0.0294,0.00726,0.01102,-0.00701,-0.00897,0.03433,-0.261,-8.151,0.0,38.23,D
C_all4,20,2020-2022,1297148,724,0.0344,0.01135,0.0168,-0.00586,-0.0079,0.03642,-0.217,-5.841,0.0,39.36,D
C_all4,20,2023-2025,1360934,713,0.0378,0.0114,0.01427,-0.0087,-0.00888,0.03239,-0.274,-7.322,0.0,37.17,D
C_all4,60,all,5975313,3382,0.0313,0.02467,0.03635,-0.01433,-0.01157,0.03411,-0.339,-19.717,0.0,36.13,D
C_all4,60,2016-2019,1615496,973,0.0294,0.0106,0.02582,-0.01613,-0.01754,0.03021,-0.581,-18.11,0.0,30.73,D
C_all4,60,2020-2022,1297148,724,0.0344,0.04844,0.06002,-0.00851,-0.00761,0.0392,-0.194,-5.221,0.0,37.98,D
C_all4,60,2023-2025,1360790,713,0.0378,0.02427,0.03988,-0.02285,-0.01599,0.03196,-0.5,-13.359,0.0,32.4,D
C_count,20,all,6052833,3564,,,,,-0.00145,0.0569,-0.025,-1.52,0.1285,51.43,D
C_count,20,2016-2019,1615930,973,,,,,0.00759,0.04779,0.159,4.952,0.0,57.66,D
C_count,20,2020-2022,1297148,734,,,,,0.00247,0.06126,0.04,1.093,0.2746,51.63,D
