C_count,mean,count,signal,horizon,regime
0.0,0.009578316083454684,794051,C_count_level,20,all
1.0,0.01497211089388819,2490184,C_count_level,20,all
2.0,0.009799768959425545,1737339,C_count_level,20,all
3.0,0.0088242695214586,842428,C_count_level,20,all
4.0,0.008466326773319936,188831,C_count_level,20,all
0.0,0.010381196106470264,172659,C_count_level,20,2016-2019
1.0,0.012130755396710886,676676,C_count_level,20,2016-2019
2.0,0.010526626613243622,487426,C_count_level,20,2016-2019
3.0,0.00928602321896011,231693,C_count_level,20,2016-2019
4.0,0.007259244729975074,47476,C_count_level,20,2016-2019
0.0,0.03200473805361454,144834,C_count_level,20,2020-2022
1.0,0.01642372064857796,544099,C_count_level,20,2020-2022
2.0,0.013982917899836496,374579,C_count_level,20,2020-2022
3.0,0.011829425771965515,189061,C_count_level,20,2020-2022
4.0,0.01135247998692041,44575,C_count_level,20,2020-2022
0.0,0.017945808129384243,134038,C_count_level,20,2023-2025
1.0,0.017171046550492022,562202,C_count_level,20,2023-2025
2.0,0.011140982606034685,404838,C_count_level,20,2023-2025
3.0,0.010159100459183097,208365,C_count_level,20,2023-2025
4.0,0.011402982674338641,51491,C_count_level,20,2023-2025
0.0,0.020234553688971323,785068,C_count_level,60,all
1.0,0.04741584707575632,2453936,C_count_level,60,all
2.0,0.03212883360126567,1714564,C_count_level,60,all
3.0,0.027636147574646282,834535,C_count_level,60,all
4.0,0.024668236183086334,187210,C_count_level,60,all
0.0,0.02632467246463211,172636,C_count_level,60,2016-2019
1.0,0.02961286477666254,676406,C_count_level,60,2016-2019
2.0,0.024133398581499474,487321,C_count_level,60,2016-2019
3.0,0.017941435422933805,231657,C_count_level,60,2016-2019
4.0,0.010600412281681886,47476,C_count_level,60,2016-2019
0.0,0.08203838089742192,144834,C_count_level,60,2020-2022
1.0,0.06438178607382115,544099,C_count_level,60,2020-2022
2.0,0.05171131637963036,374579,C_count_level,60,2020-2022
3.0,0.047084270870596134,189061,C_count_level,60,2020-2022
4.0,0.04843690358109885,44575,C_count_level,60,2020-2022
0.0,0.03291779580276472,134036,C_count_level,60,2023-2025
1.0,0.04863294699874035,562115,C_count_level,60,2023-2025
2.0,0.03469552492625062,404806,C_count_level,60,2023-2025
3.0,0.030806944852721653,208342,C_count_level,60,2023-2025
4.0,0.024268460734956615,51491,C_count_level,60,2023-2025
